source_section,example_name,normalized_name,source_formula,compact_notation,add_count,operator_tokens,movement_class,paradox_semantics,support_leg_semantics,notes
"4 adds",Paradox Whirl,paradox-whirl,CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,4,"clip;same;in;pdx;dex;op;clip;xbd;del",paradox-whirl,"paradox-in-dex ending op-clip cross-body (whirl terminal)","setting leg does paradox then catches on the other clipper","Source: 'whirl delay set from one clipper delay and caught on the other'"
"4 adds",Pogo Paradox Mirage,pogo-paradox-mirage,CLIP > (no plant while) OP IN [DEX] > OP IN [DEX] [BOD] > OP TOE [DEL],,4,"clip;no-plant;op;in;dex;bod;toe;del",pogo-paradox-mirage,"no-plant op-in-dex (pogo) then op-in-dex with body flag","pogo set — support leg never lands; setting leg does two in-dexes","Note: source lacks explicit [PDX] flag despite name. The 'op in then op in' pattern encodes paradox structurally via leg-switch"
"4 adds",Spinning Paradox Illusion,spinning-paradox-illusion,"CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL] OR TOE > (back) SPIN [BOD] > SAME OUT [PDX] [DEX] > OP TOE [DEL]",,4,"clip;toe;back;spin;bod;op;same;out;pdx;dex;op;toe;del",back-spin-paradox-illusion,"back-spin then paradox-out-dex","support leg used for spin then for paradox dex","TWO operational variants"
"4 adds",Spinning Paradox Mirage,spinning-paradox-mirage,"CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL] OR TOE > (back) SPIN [BOD] > SAME IN [PDX] [DEX] > OP TOE [DEL]",,4,"clip;toe;back;spin;bod;op;same;in;pdx;dex;op;toe;del",back-spin-paradox-mirage,"back-spin then paradox-in-dex",same as above,"TWO operational variants"
"4 adds","Blizzard (Stepping Paradox Illusion)",blizzard,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP TOE [DEL],stepping paradox illusion,4,"clip;op;in;dex;out;pdx;op;toe;del",stepping-paradox-illusion,"first dex is plain op-in (stepping); second is paradox-out","first leg over does step; second leg does paradox dex","Source: 'Identical to the Blur delay except the second mirage dexterity is in the other direction'. Folk name 'Blizzard'"
"4 adds","Blur (Stepping Paradox Mirage)",blur,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],stepping paradox mirage,4,"clip;op;in;dex;pdx;toe;del",stepping-paradox-mirage,"first op-in (stepping) then second op-in with paradox","stepping leg does first dex then paradox structure encodes on second","Modern DB has blur with same chain reading. Source operational notation differs from DB by [PDX] flag placement"
"4 adds",Paradox Drifter,paradox-drifter,CLIP > SAME IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],,4,"clip;same;in;pdx;dex;same;clip;xbd;del",paradox-drifter,"paradox-in-dex ending same-clip cross-body (drifter terminal)","setting leg does the paradox AND the drifter catch — same leg throughout","Source: 'The setting leg does all the work in this move'"
"5 adds","Fury (Barraging Paradox Mirage)",fury,CLIP > OP IN [DEX] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],barraging paradox mirage,5,"clip;op;same;in;dex;pdx;toe;del",barraging-paradox-mirage,"three dexes (one op-in stepping then same-in then op-in paradox)","support leg switches twice","Modern DB has fury with chain reading 'barraging paradox mirage' (Red pt6)"
"5 adds","Tomahawk (Ducking Paradox Whirl)",tomahawk,CLIP > DUCK [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],ducking paradox whirl,5,"clip;duck;bod;op;in;pdx;dex;op;clip;xbd;del",ducking-paradox-whirl,"DUCK body element then paradox-in-dex ending op-clip","head ducks under bag, then paradox dex to whirl terminal","Modern DB has tomahawk with chain reading 'blurry ducking torque' / 'stepping ducking paradox torque' — DOCTRINAL DIVERGENCE: paradoxMoves reads tomahawk as ducking-paradox-whirl; modern reads it as a paradox-torque variant"
"5 adds","Voodoo (Paradox Symposium Blur)",voodoo,CLIP > SAME IN [DEX] [BOD] > (NO PLANT WHILE) OP IN [BOD] [DEX] > OP TOE [DEL],paradox symposium blur,5,"clip;same;in;dex;bod;no-plant;op;pdx;toe;del",paradox-symposium-blur,"first dex has [BOD]; second is no-plant with [BOD] [DEX]","two dex actions where neither is explicitly paradox-flagged — encoded structurally","Source uses uppercase (NO PLANT WHILE). NOT in modern DB"
"5 adds","PS Whirl (Paradox Symposium Whirl)",ps-whirl,CLIP (plant) > (no plant while) SAME IN [BOD] [PDX] [DEX] > OP CLIP [XBD] [DEL],paradox symposium whirl,5,"clip;plant;no-plant;same;in;bod;pdx;dex;op;clip;xbd;del",paradox-symposium-whirl,"plant marker then no-plant paradox-in-dex with body flag, ending op-clip whirl terminal","clip plant then symposium hop with paradox","Modern DB has paradox-symposium-whirl with chain 'ps whirl'; PS Whirl is the short-form ID. Same trick"
"5 adds",Pogo Paradox Barrage,pogo-paradox-barrage,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],,5,"clip;no-plant;op;in;dex;pdx;same;toe;del",pogo-paradox-barrage,"pogo set then paradox-in then same-in (barrage element)","pogo never lands; setting leg cycles paradox + barrage","NOT in modern DB"
"5 adds",Pogo Paradox Drifter,pogo-paradox-drifter,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],,5,"clip;no-plant;op;in;dex;pdx;same;clip;xbd;del",pogo-paradox-drifter,"pogo set then paradox then drifter terminal","pogo + paradox + drifter combined","Source provides additional shorthand variant. NOT in modern DB"
"5 adds",Pogo Paradox Eggbeater,pogo-paradox-eggbeater,CLIP > (no plant while) OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],,5,"clip;no-plant;op;in;dex;out;pdx;same;toe;del",pogo-paradox-eggbeater,"pogo set then paradox-out then out-dex (eggbeater shape)","pogo + paradox + eggbeater pattern","NOT in modern DB. Source: 'pogo set to a right leg out to in dexterity'"
"5 adds",Pogo Paradox Whirl,pogo-paradox-whirl,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,5,"clip;no-plant;op;in;dex;pdx;op;clip;xbd;del",pogo-paradox-whirl,"pogo set then paradox then whirl terminal","pogo + paradox + whirl combined","NOT in modern DB"
"5 adds","Lotus (Spinning Paradox Drifter)",lotus,"CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL] OR TOE > (back) SPIN [BOD] > SAME IN [PDX] [DEX] > SAME CLIP [XBD] [DEL]",spinning paradox drifter,5,"clip;toe;back;spin;bod;op;same;in;pdx;dex;clip;xbd;del",spinning-paradox-drifter,"back-spin then paradox-in then drifter","spin then paradox then drifter terminal","NOT in modern DB; folk-named Lotus is missing"
"5 adds",Spinning Paradox Whirl,spinning-paradox-whirl,"CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL] OR TOE > (back) SPIN [BOD] > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL]",,5,"clip;toe;back;spin;bod;op;same;in;pdx;dex;clip;xbd;del",spinning-paradox-whirl,"back-spin then paradox-in then whirl terminal","spin then paradox then whirl","NOT in modern DB"
"5 adds","Avalanche (Stepping Ducking Paradox Illusion)",avalanche,CLIP > OP IN [DEX] > DUCK [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],stepping ducking paradox illusion,5,"clip;op;in;dex;duck;bod;out;pdx;toe;del",stepping-ducking-paradox-illusion,"step + duck + paradox-out","stepping leg over then duck then paradox dex","NOT in modern DB; folk-named Avalanche is missing"
"5 adds","Spike Hammer (Stepping Ducking Paradox Mirage)",spike-hammer,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],stepping ducking paradox mirage,5,"clip;op;in;dex;duck;bod;pdx;toe;del",stepping-ducking-paradox-mirage,"step + duck + paradox-in","stepping leg over then duck then paradox in-dex","NOT in modern DB; folk-named Spike Hammer is missing"
"5 adds","Blurrage (Stepping Paradox Barrage)",blurrage,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],stepping paradox barrage,5,"clip;op;in;dex;pdx;same;toe;del",stepping-paradox-barrage,"step then paradox-in then same-in (barrage)","step then paradox then second dex on same leg","NOT in modern DB; folk-named Blurrage missing"
"5 adds","Fog (Stepping Paradox Double Leg Over)",fog,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],stepping paradox double leg over,5,"clip;op;in;dex;pdx;out;same;toe;del",stepping-paradox-double-leg-over,"step + paradox + legover","step then paradox then legover terminal","Modern DB has fog (5 ADD; base=double-leg-over). Source: 'A Blur with an extra leg over at the end'"
"5 adds","Blurry Drifter (Stepping Paradox Drifter)",blurry-drifter,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],stepping paradox drifter,5,"clip;op;in;dex;pdx;same;clip;xbd;del",stepping-paradox-drifter,"step then paradox then drifter terminal","step then paradox then drifter","NOT in modern DB; folk-named Blurry Drifter missing"
"5 adds","Bedwetter (Stepping Paradox Eggbeater)",bedwetter,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],stepping paradox eggbeater,5,"clip;op;in;dex;out;pdx;same;toe;del",stepping-paradox-eggbeater,"step then paradox-out then op-out (eggbeater pattern)","step + paradox + eggbeater","NOT in modern DB; folk-named Bedwetter missing"
"5 adds","Blurry Whirl (Stepping Paradox Whirl)",blurry-whirl,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],stepping paradox whirl,5,"clip;op;in;dex;pdx;op;clip;xbd;del",stepping-paradox-whirl,"step then paradox then whirl terminal","step + paradox + whirl","Modern DB has blurry-whirl with chain 'blurry whirl' / 'stepping paradox whirl' (Red pt11)"
"5 adds","Surge (Surging Paradox Mirage)",surge,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],surging paradox mirage,5,"clip;back;spin;bod;same;in;dex;pdx;op;toe;del",surging-paradox-mirage,"back-spin + same-in + paradox-in (surging = spinning + stepping)","spin then dex then paradox dex","Modern DB has surge with chain 'surging paradox mirage' (Red pt2). Source notes 'gyro miraging paradox mirage or gyro blur' — surging unpacks to spinning+stepping per Red pt2"
"5 adds",Paradox Blender,paradox-blender,CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],,5,"clip;same;in;pdx;dex;back;spin;bod;same;clip;xbd;del",paradox-blender,"paradox-in then back-spin then same-clip (blender terminal)","setting leg does paradox then body spins into blender position","Modern DB has paradox-blender with chain 'paradox blender' / 'paradox whirling op osis'. Source: 'setting leg does all the work'"
"5 adds",Paradox Da Da Curve,paradox-da-da-curve,CLIP > SAME IN [PDX] [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL],,5,"clip;same;in;pdx;dex;no-plant;op;out;clip;xbd;del",paradox-dada-curve,"paradox-in then no-plant op-out (symposium element on second dex)","paradox + symposium combination","NOT in modern DB (dada-curve exists; paradox-dada-curve does not)"
"5 adds","Paradox High Plains Drifter (Paradox Double Drifter)",paradox-high-plains-drifter,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],paradox double drifter,5,"clip;same;in;pdx;dex;same;clip;xbd;del",paradox-double-drifter,"paradox-in then same-in (no leg switch) then same-clip terminal","setting leg does paradox THEN second dex still on same leg","NOT in modern DB. Memory mentions 'high-plains-drifter' redirect to drifter-family — investigate"
"5 adds",Paradox Ripwalk,paradox-ripwalk,CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL],,5,"clip;same;in;pdx;dex;plant;op;out;clip;xbd;del",paradox-ripwalk,"paradox-in WITH explicit plant marker then op-out","paradox dex includes the plant — distinct from no-plant variants","NOT in modern DB. Notable: (plant) marker AFTER [DEX] is unusual placement"
"5 adds",Paradox Torque,paradox-torque,CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],,5,"clip;same;in;pdx;dex;back;spin;bod;op;clip;xbd;del",paradox-torque,"paradox-in then back-spin then op-clip whirl-terminal","setting leg does paradox; opposite leg catches after spin","Modern DB has paradox-torque with chain 'paradox torque'"
"5 adds",Paradox Whirling Swirl,paradox-whirling-swirl,CLIP > SAME IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],,5,"clip;same;in;pdx;dex;op;back;swirl;same;clip;xbd;del",paradox-whirling-swirl,"paradox-in then op-back-swirl (whirl + swirl combo)","setting leg does paradox; then back-swirl on opposite leg","NOT in modern DB. Note 'OP BACK SWIRL' is a complex token construct"
"5 adds",Paradox Blurry Whirl,paradox-blurry-whirl,CLIP > SAME IN [DEX] [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],,5,"clip;same;in;dex;bod;op;clip;xbd;del",paradox-blurry-whirl,"first dex has [BOD] flag but no explicit [PDX]; second is plain op-in","2-dex structure with one body flag","NOT in modern DB. Source operational lacks [PDX] flag despite 'Paradox' in name — encoded structurally"
"6 adds","Symposium Tomahawk (Ducking Paradox Symposium Whirl)",symposium-tomahawk,CLIP > DUCK [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],ducking paradox symposium whirl,6,"clip;duck;bod;no-plant;op;in;pdx;dex;clip;xbd;del",ducking-paradox-symposium-whirl,"duck then no-plant paradox-in with body flag","duck + symposium + paradox on op leg","NOT in modern DB"
"6 adds","Paratoxic (Paradox Miraging Symposium Whirl)",paratoxic,CLIP > SAME IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],paradox miraging symposium whirl,6,"clip;same;in;pdx;dex;no-plant;op;bod;dex;clip;xbd;del",paradox-miraging-symposium-whirl,"paradox-in then no-plant op-in (symposium element)","paradox-mirage + symposium-whirl chained","NOT in modern DB"
"6 adds","Pogo Paradox Blender (Pogo Op Blender)",pogo-paradox-blender,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],pogo op blender,6,"clip;no-plant;op;in;dex;pdx;back;spin;bod;same;clip;xbd;del",pogo-paradox-blender,"pogo + paradox + back-spin","pogo + paradox + blender","NOT in modern DB"
"6 adds","Pogo Paradox Da Da Curve (Pogo Op Da Da Curve)",pogo-paradox-da-da-curve,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (no plant while) OP OUT [DEX] > OP CLIP [XBD] [DEL],pogo op da da curve,6,"clip;no-plant;op;in;dex;pdx;out;clip;xbd;del",pogo-paradox-dada-curve,"pogo + paradox + pogo-out","two pogo elements + paradox","NOT in modern DB. Two distinct (no plant while) elements"
"6 adds","Pogo Paradox Torque (Pogo Op Torque)",pogo-paradox-torque,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],pogo op torque,6,"clip;no-plant;op;in;dex;pdx;back;spin;bod;clip;xbd;del",pogo-paradox-torque,"pogo + paradox + back-spin (torque terminal)","pogo + paradox + torque","NOT in modern DB. Description: 'just ask Tuan Vu'"
"6 adds","Pogo Paradox Whirling Swirl (Pogo Op Whirling Swirl)",pogo-paradox-whirling-swirl,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],pogo op whirling swirl,6,"clip;no-plant;op;in;dex;pdx;back;swirl;same;clip;xbd;del",pogo-paradox-whirling-swirl,"pogo + paradox + op-back-swirl","pogo + paradox + whirling-swirl","NOT in modern DB. Description: 'just ask Kenny Shults'"
"6 adds",Spinning Paradox Blender,spinning-paradox-blender,"CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL] OR TOE > (back) SPIN [BOD] > SAME IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]",,6,"clip;toe;back;spin;bod;op;same;in;pdx;dex;clip;xbd;del",spinning-paradox-blender,"two back-spins surrounding a paradox-in","double-spin + paradox + blender","NOT in modern DB. Source provides TWO operational variants (the TOE-start variant lacks explicit [PDX] — encoded structurally)"
"6 adds","Whirlwind (Spinning Paradox Symposium Whirl)",whirlwind,"CLIP > (back) SPIN [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL] OR TOE > (back) SPIN [BOD] (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL]",spinning paradox symposium whirl,6,"clip;toe;back;spin;bod;no-plant;op;same;in;pdx;dex;clip;xbd;del",spinning-paradox-symposium-whirl,"back-spin + symposium + paradox","spin + symposium-paradox whirl","NOT in modern DB"
"6 adds","Marius (Spinning Paradox Torque)",marius,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],spinning paradox torque,6,"clip;back;spin;bod;op;in;pdx;dex;clip;xbd;del",spinning-paradox-torque,"two back-spins (one before paradox-in one after)","double spin + paradox-mirage + torque","NOT in modern DB. Source: 'A Spin into a torque'"
"6 adds","Blurry Symposium Whirl (Stepping Paradox Symposium Whirl)",blurry-symposium-whirl,CLIP > OP IN [DEX] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],stepping paradox symposium whirl,6,"clip;op;in;dex;no-plant;pdx;bod;clip;xbd;del",stepping-paradox-symposium-whirl,"step + symposium-paradox whirl","step + symposium + paradox","NOT in modern DB"
"6 adds","Blurry Torque (Stepping Paradox Torque)",blurry-torque,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],stepping paradox torque,6,"clip;op;in;dex;pdx;back;spin;bod;clip;xbd;del",stepping-paradox-torque,"step then paradox then back-spin","step + paradox + torque","Modern DB has blurry-torque with chain 'blurry torque' / 'stepping paradox torque' (Red pt11)"
"6 adds","Blurry Whirling Swirl (Stepping Paradox Whirling Swirl)",blurry-whirling-swirl,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],stepping paradox whirling swirl,6,"clip;op;in;dex;pdx;back;swirl;same;clip;xbd;del",stepping-paradox-whirling-swirl,"step + paradox + whirling-swirl","step + paradox + whirling-swirl","NOT in modern DB"
"6 adds","Surreal (Surging Paradox Whirl)",surreal,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],surging paradox whirl,6,"clip;back;spin;bod;same;in;dex;pdx;op;clip;xbd;del",surging-paradox-whirl,"back-spin + same-in + paradox-in (surging unpacks to spinning+stepping)","spin + step + paradox + whirl","Modern DB has surreal with chain 'surging paradox whirl' (Red pt2). Source: 'A gyro blurry whirl'"
"7 adds",Stepping Ducking Paradox Blender,stepping-ducking-paradox-blender,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],,7,"clip;op;in;dex;duck;bod;back;spin;bod;same;clip;xbd;del",stepping-ducking-paradox-blender,"step + duck + dex + back-spin (paradox encoded structurally)","step + duck + paradox + blender","NOT in modern DB. Note: source operational LACKS explicit [PDX] flag despite name"
"7 adds","Gauntlet (Stepping Ducking Paradox Torque)",gauntlet,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],stepping ducking paradox torque,7,"clip;op;in;dex;duck;bod;pdx;back;spin;clip;xbd;del",stepping-ducking-paradox-torque,"step + duck + paradox + back-spin (torque terminal)","step + duck + paradox + torque","Modern DB has gauntlet with chain 'blurry ducking torque' / 'stepping ducking paradox torque' (Red pt11). Notation in DB: 'STEPPING DUCKING PARADOX TORQUE' compact"
