"name","slug","governance_state","issue_type","sources","n_sources","source_adds","in_db","equivalent_to","doctrine_status","publication_status","parse_confidence","add_confidence","family","primary_operator","add_formula","parser_notes","unresolved_questions","provenance_notes"
"barraging osis","barraging-osis","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Big Apple","big-apple","1 Published Canonical","","footbagmoves","1","6","True","big-apple (live DB; FM Slice X Path B promotion; Gyro Symposium Torque)","hedged","observational","high","high","clip-spin-clip","gyro","gyro(+1) + symposium(+1) + torque(4) --> 6 ADDs","","","FB.org 6-ADD confirms 'Big Apple' (source_adds=6; jobs='CLIP > (back) SPIN [BOD] > (no plant while) SAME IN [BOD] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Bigwalk","bigwalk","1 Published Canonical","","footbagmoves","1","5","True","bigwalk (live DB; SCALE-8 pilot; pt2 = Surging Butterfly = 5)","settled","first_class_ready","high","high","no-notation","surging","surging(+2) + butterfly(3) --> 5 ADDs (pt2)","pt2 ruled Bigwalk = Surging Butterfly = 5. Surging = spinning + stepping idiom.","","FB.org 5-ADD confirms 'Bigwalk' (source_adds=5; jobs='CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"blazing","blazing","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Blender","blender","1 Published Canonical","","footbagmoves","1","4","True","blender (live DB; pt11 Whirling Osis; branch family-anchor)","settled","first_class_ready","high","high","clip-spin-whirl","spinning","whirling(+1) + osis(3) --> 4 ADDs (= Whirling Osis per pt11)","pt11 ruled Blender = Whirling Osis. Branch family-anchor.","","FB.org 4-ADD confirms 'Blender' (source_adds=4; jobs='SET > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]'; component_flags='[dex] [bod] [xbd] [del]'); ingested 2026-05-21."
"Blur","blur","1 Published Canonical","","footbagmoves","1","4","True","blur (live DB; pt10 Stepping Paradox Mirage)","settled","first_class_ready","high","high","clip-double-dex-toe","stepping","stepping(+1) + paradox(+1) + mirage(2) --> 4 ADDs","pt10: Blur = Stepping Paradox Mirage = 4 ADD. Blurry/stepping coexistence (Red 2026-05-21 Doctrine C): the 'blurry'-form name is the historically-compressed layer; the 'stepping (paradox)' reading is the later structurally-explicit layer. Both legitimate; neither supersedes the other.","","FB.org 4-ADD confirms 'Blur' (source_adds=4; jobs='CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL]'; component_flags='[dex] [pdx] [dex] [del]'); ingested 2026-05-21."
"Blurriest","blurriest","1 Published Canonical","","footbagmoves","1","5","True","","hedged","observational","high","high","clip-multi-dex-clip","stepping","stepping(+1) + barfly(4) --> 5 ADDs","Structural reading: stepping opposite-side barfly (stepping-only; no paradox); not individually Red-ruled. Blurry/stepping coexistence (Red 2026-05-21 Doctrine C): the 'blurry'-form name is the historically-compressed layer; the 'stepping (paradox)' reading is the later structurally-explicit layer. Both legitimate; neither supersedes the other.","","FB.org 5-ADD confirms 'Blurriest' (source_adds=5; jobs='CLIP > OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Blurry Torque","blurry-torque","1 Published Canonical","","fborg","1","6","True","blurry-torque (live DB; Red 2026-05-15 = Stepping Paradox Torque = 6)","settled","first_class_ready","","high","","stepping","stepping(+1) + paradox(+1) + torque(4) --> 6 ADDs (Red 2026-05-15)","Red 2026-05-15: Blurry Torque = Stepping Paradox Torque = 6. Blurry/stepping coexistence (Red 2026-05-21 Doctrine C): the 'blurry'-form name is the historically-compressed layer; the 'stepping (paradox)' reading is the later structurally-explicit layer. Both legitimate; neither supersedes the other.","",""
"Blurry Whirl","blurry-whirl","1 Published Canonical","","footbagmoves","1","5","True","blurry-whirl (live DB; Red 2026-05-15 = Stepping Paradox Whirl = 5)","settled","first_class_ready","none","high","no-notation","stepping","stepping(+1) + paradox(+1) + whirl(3) --> 5 ADDs (Red 2026-05-15)","Red 2026-05-15: Blurry Whirl = Stepping Paradox Whirl = 5. Blurry/stepping coexistence (Red 2026-05-21 Doctrine C): the 'blurry'-form name is the historically-compressed layer; the 'stepping (paradox)' reading is the later structurally-explicit layer. Both legitimate; neither supersedes the other.","","FB.org 5-ADD confirms 'Blurry Whirl' (source_adds=5; jobs='CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Bullwhip","bullwhip","1 Published Canonical","","footbagmoves","1","5","True","bullwhip (live DB; pt8 gyro family; §3.2 stated-ADD trio)","hedged","observational","high","high","clip-spin-clip","spinning","spinning(+1) + barfly(4) --> 5 ADDs","pt8 ruled Bullwhip = gyro family = 5. §3.2 stated-ADD-without-stated-structure row.","","FB.org 5-ADD confirms 'Bullwhip' (source_adds=5; jobs='CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Butterfly","butterfly","1 Published Canonical","","footbagmoves","1","3","True","butterfly (live DB; family-anchor)","settled","first_class_ready","medium","high","set-single-dex-clip","dex","dex(1) + xbody(1) + stall(1) --> 3 ADDs","Foundational rotational atom with ss-clipper terminal. Family-anchor per DP-1 FAMILY_INVARIANTS (hippy out dex > ss clipper).","","FB.org 3-ADD confirms 'Butterfly*' (source_adds=3; jobs_notation_raw='SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [xbd] [del]'); ingested 2026-05-21."
"Clipper","clipper","1 Published Canonical","","fborg","1","2","True","clipper-stall (live DB; displaySlug clipper)","settled","first_class_ready","","high","","stall","cross-body(1) + stall(1) --> 2 ADDs","Canonical 2-ADD foundational atom. Asterisk indicates video demonstration available.","",""
"clipper stall","clipper-stall","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Cloud Delay","cloud-delay","1 Published Canonical","","fborg","1","2","True","","settled","first_class_ready","","high","","stall","unusual surface(1) + stall(1) --> 2 ADDs","Foundational stall variant on calf surface. Pairs with 1-add Cloud Kick.","",""
"Cloud Kick","cloud-kick","1 Published Canonical","","fborg","1","1","True","","settled","first_class_ready","","high","","unusual-surface","unusual surface(1) --> 1 ADD","Unusual-surface kick on calf. Cloud Delay (2-add) is the stall counterpart.","",""
"cloud stall","cloud-stall","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"cross-body sole stall","cross-body-sole-stall","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Dada Curve","dada-curve","1 Published Canonical","","footbagmoves","1","4","True","","","","high","","set-double-dex-clip","","","","",""
"Dimwalk","dimwalk","1 Published Canonical","","footbagmoves","1","4","True","dimwalk (live DB; SCALE-4 pilot; Pixie Opposite Butterfly)","settled","first_class_ready","high","high","toe-walk-clip","pixie","pixie(+1) + butterfly(3) --> 4 ADDs","Walking-family member (ripwalk/sidewalk/bigwalk/dimwalk/parkwalk).","","FB.org 4-ADD confirms 'Dimwalk' (source_adds=4; jobs='TOE > SAME IN [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL].'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"Double Around the World","double-around-the-world","1 Published Canonical","","fborg","1","3","True","double-around-the-world (live DB; pt8 multiplicity exception)","settled","first_class_ready","","high","","dex","dex(1) + dex(1) + stall(1) --> 3 ADDs","pt8 ruled DATW = community-stabilized doubling exception. Alt notation: TOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL] (both directions worth same).","",""
"Double Knee","double-knee","1 Published Canonical","","curator","1","1","True","","settled","first_class_ready","","high","","flying","flying(1) --> 1 ADD","Per curator adjudication 2026-05-21: flying(1) → 1 ADD; promoted to first-class. Single flying-body movement (not a compound).","","manual curator addition 2026-05-21 (not in fborg-1add.txt)"
"Double Leg Over","double-leg-over","1 Published Canonical","","fborg","1","3","True","double-leg-over (live DB; pt4)","settled","first_class_ready","","high","","dex","dex(1) + dex(1) + stall(1) --> 3 ADDs (= miraging legover per pt4)","pt4 ruled DLO = miraging legover = 3 ADD. Community-stabilized doubling per pt8.","",""
"Double Spin","double-spin","1 Published Canonical","","fborg","1","2","True","","pending","observational","","high","","spin","body(1) + body(1) --> 2 ADDs","Multiplicity compound (two spins). Per pt8 multiplicity rule and project_freestyle_state, double-spin was reclassified as a modifier 2026-05-19. Treated here as observational intake.","Is double-spin a canonical 2-ADD trick or strictly a modifier on body-spin? Live DB classification shifted; spreadsheet intake preserves both possibilities.",""
"Dragonfly Kick","dragonfly-kick","1 Published Canonical","","fborg","1","2","True","","pending","observational","","high","","flying","flying(1) + dex(1) --> 2 ADDs","Per curator adjudication 2026-05-21: flying(1) + dex(1) → 2 ADDs; first_class=false for now (observational/foundation intake only).","Whether the dex precedes or follows the flying body action structurally.","curator interpretation 2026-05-21"
"Drifter","drifter","1 Published Canonical","","footbagmoves","1","3","True","drifter (live DB; pt11 = miraging clipper)","settled","first_class_ready","high","high","clip-single-dex-clip","dex","dex(1) + xbody(1) + stall(1) --> 3 ADDs (= miraging clipper per pt11)","pt11 ruled drifter = miraging clipper = 3 ADD. Branch family-anchor.","","FB.org 3-ADD confirms 'Drifter' (source_adds=3; jobs_notation_raw='SET > OP IN [DEX] > SAME CLIP [XBD] [DEL]'; component_flags='[dex] [xbd] [del]'); ingested 2026-05-21."
"ducking","ducking","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Ducking Butterfly","ducking-butterfly","1 Published Canonical","","footbagmoves","1","4","True","ducking-butterfly (live DB; FIRST_CLASS_TIER_2)","settled","first_class_ready","none","high","no-notation","ducking","ducking(+1) + butterfly(3) --> 4 ADDs","","","FB.org 4-ADD confirms 'Ducking Butterfly' (source_adds=4; jobs='SET > (DUCK) [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[bod] [dex] [xbd] [del]'); ingested 2026-05-21."
"Ducking Clipper","ducking-clipper","1 Published Canonical","","footbagmoves","1","3","True","","","","none","","no-notation","","","","",""
"Ducking Mirage","ducking-mirage","1 Published Canonical","","footbagmoves","1","3","True","ducking-mirage (live DB)","settled","first_class_ready","none","high","no-notation","ducking","ducking(+1) + mirage(2) --> 3 ADDs","Ducking modifier on mirage base. pt7 ducking semantics: bag goes over head on the same side as the set.","","FB.org 3-ADD confirms 'Ducking Mirage' (source_adds=3; jobs_notation_raw='SET > DUCK [BOD] > SAME or OP IN [DEX] > OP TOE [DEL]'; component_flags='[bod] [dex] [del]'); ingested 2026-05-21."
"Ducking Osis","ducking-osis","1 Published Canonical","","footbagmoves","1","4","True","ducking-osis (live DB; FIRST_CLASS_TIER_2)","settled","first_class_ready","none","high","no-notation","ducking","ducking(+1) + osis(3) --> 4 ADDs","","","FB.org 4-ADD confirms 'Ducking Osis' (source_adds=4; jobs='SET > DUCK [BOD] > SAME or OP OSIS [BOD] [XBD] [DEL]'; component_flags='[bod] [bod] [xbd] [del]'); ingested 2026-05-21."
"ducking whirl","ducking-whirl","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Dyno","dyno","1 Published Canonical","","fborg,footbagmoves","2","4","True","dyno (live DB; reverse-blender)","settled","first_class_ready","high","high","clip-spin-whirl","spinning","spinning(+1) + dyno-base(3?) --> 4 ADDs (= reverse-blender)","Sibling to blender with reversed dex direction.","",""
"Eclipse","eclipse","1 Published Canonical","","fborg","1","3","True","eclipse (live DB; pt1 jump-bearing 3-ADD)","settled","first_class_ready","","high","","flying","flying(1) + stall(1) + dex(1) --> 3 ADDs","pt1-ruled jump-bearing 3-ADD. Historical alias ""Catwalk"" preserved.","",""
"Eggbeater","eggbeater","1 Published Canonical","","footbagmoves","1","3","True","eggbeater (live DB; pt4 = Atomic Legover)","settled","first_class_ready","high","high","toe-double-dex-toe","atomic","atomic(+1) + legover(2) --> 3 ADDs","pt4 ruled Eggbeater = Atomic Legover = 3 ADD.","","FB.org 3-ADD confirms 'Eggbeater' (source_adds=3; jobs_notation_raw='TOE > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL]'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21."
"Fairy","fairy","1 Published Canonical","","fborg","1","2","True","fairy (live DB; fairy-as-base only)","settled","first_class_ready","","high","","dex","dex(1) + stall(1) --> 2 ADDs","Canonical 2-ADD foundational atom with explicit Jobs notation in source. Fairy-as-modifier still pt12 Q4-open per project memory.","",""
"Flail","flail","1 Published Canonical","","footbagmoves","1","3","True","flail (live DB; pt6+followup = Symposium Illusion)","settled","first_class_ready","high","high","set-to-toe","symposium","symposium(+1) + illusion(2) --> 3 ADDs","pt6+followup-2026-04: Flail = Symposium Illusion. Alternate name preserved.","","FB.org 3-ADD confirms 'Flail' (source_adds=3; jobs_notation_raw='SET > (no plant while) [BOD] OP OUT [DEX] > OP TOE [DEL]'; component_flags='[bod] [dex] [del]'); ingested 2026-05-21."
"Flapper","flapper","1 Published Canonical","","fborg,footbagmoves","2","2,3","True","","hedged","observational","none","medium","no-notation","unusual-surface","cross-body(1) + unusual surface(1) --> 2 ADDs","pt6 ruled Flapper Stall = 3 ADD; this 2-ADD entry is the kick form. Source treats them as distinct.","Distinction between Flapper (kick) and pt6-ruled Flapper Stall (3 ADD).",""
"Flapper Delay","flapper-delay","1 Published Canonical","","fborg","1","3","True","","settled","first_class_ready","","high","","stall","cross-body(1) + unusual surface(1) + stall(1) --> 3 ADDs","pt6-ruled Flapper Stall = 3 ADD. Specialized cross-body sole delay.","","source explicitly notes parenthetical alt-name: ""Cross-Body Sole Delay"""
"Flurry","flurry","1 Published Canonical","","footbagmoves","1","4","True","flurry (live DB; equivalence-topology pilot; barraging legover)","settled","first_class_ready","high","high","clip-multi-dex-toe","dex","dex(1) + dex(1) + dex(1) + stall(1) --> 4 ADDs (= barraging legover)","Equivalence-topology pilot: structural reading = barraging legover. ET-1 ratified 2026-05-21.","","FB.org 4-ADD confirms 'Flurry' (source_adds=4; jobs='CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]'; component_flags='[dex] [dex] [dex] [del]'); ingested 2026-05-21."
"Flying Clipper","flying-clipper","1 Published Canonical","","fborg","1","2","True","","settled","candidate","","high","","flying","flying(1) + cross-body(1) --> 2 ADDs","Body-flying variant of Clipper Kick. Sibling alias ""Jester"" preserved.","Canonical naming preference: Flying Clipper vs Jester.",""
"Flying Inside","flying-inside","1 Published Canonical","","fborg","1","1","True","","settled","first_class_ready","","high","","flying","flying(1) --> 1 ADD","Per curator adjudication 2026-05-21: flying(1) → 1 ADD; promoted to first-class.","","curator interpretation 2026-05-21"
"Flying Outside","flying-outside","1 Published Canonical","","fborg","1","1","True","","settled","first_class_ready","","high","","flying","flying(1) --> 1 ADD","Per curator adjudication 2026-05-21: flying(1) → 1 ADD; promoted to first-class.","","curator interpretation 2026-05-21"
"Fog","fog","1 Published Canonical","","footbagmoves","1","5","True","fog (live DB; SCALE-8 pilot; Stepping Paradox DLO)","settled","first_class_ready","high","high","clip-multi-dex-toe","stepping","stepping(+1) + paradox(+1) + DLO(3) --> 5 ADDs","blurry/stepping historical-layer note per Red 2026-05-21: ""Blur"" framing is the historical-compressed layer; ""Stepping Paradox DLO"" is the explicit layer.","","FB.org 5-ADD confirms 'Fog' (source_adds=5; jobs='CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL]'); ingested 2026-05-21."
"Food Processor","food-processor","1 Published Canonical","","footbagmoves","1","6","True","food-processor (live DB; Red 2026-05-15 = Stepping Paradox Blender = 6)","settled","first_class_ready","high","high","clip-spin-whirl","stepping","stepping(+1) + paradox(+1) + blender(4) --> 6 ADDs (Red 2026-05-15)","Red 2026-05-15: Food Processor = Blurry Blender = Stepping Paradox Blender = 6. Blurry/stepping coexistence (Red 2026-05-21 Doctrine C): the 'blurry'-form name is the historically-compressed layer; the 'stepping (paradox)' reading is the later structurally-explicit layer. Both legitimate; neither supersedes the other.","","FB.org 6-ADD confirms 'Food Processor' (source_adds=6; jobs='CLIP > OP IN [DEX] > OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Forehead Delay","forehead-delay","1 Published Canonical","","fborg","1","1","True","","settled","first_class_ready","","high","","unusual-surface","unusual surface(1) --> 1 ADD","Specialized surface stall.","",""
"forehead stall","forehead-stall","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"furious","furious","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Fury","fury","1 Published Canonical","","footbagmoves","1","6","True","fury (live DB; pt6 = furious+paradox+mirage = 5)","settled","first_class_ready","high","high","clip-multi-dex-toe","furious","furious(+2 rotational) + paradox(+1) + mirage(2) --> 5 ADDs (IFPA pt6)","FB.org's set vocabulary (footbag-sets-fborg.txt) defines Furious = Barraging Paradox Miraging; the FB.org name 'Barraging Paradox Mirage' and the IFPA pt6 name 'Furious Paradox Mirage' are equivalent (barraging is a component of furious, not a competing operator). No name divergence. Genuine divergence is ADD only: FB.org and IFPA pt6 both = 5; FM = 6.","","FM source has Fury at 6 ADD; FB.org + IFPA pt6 both at 5. | FB.org 5-ADD confirms 'Fury' (source_adds=5; jobs='CLIP > OP IN [DEX] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL]'); ingested 2026-05-21."
"Fusion","fusion","1 Published Canonical","","footbagmoves","1","5","True","fusion (live DB; Atomic Double Over Down)","settled","first_class_ready","high","high","toe-multi-dex-clip","atomic","atomic(+1) + double-over-down(4) --> 5 ADDs","","","FB.org 5-ADD confirms 'Fusion' (source_adds=5; jobs='TOE > OP OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Gauntlet","gauntlet","1 Published Canonical","","footbagmoves","1","7","True","gauntlet (live DB; flagship-density pilot; Stepping Ducking Paradox Torque)","settled","first_class_ready","high","high","clip-duck-clip","stepping","stepping(+1) + ducking(+1) + paradox-torque(5) --> 7 ADDs","Live-DB flagship-density row (modifier-layering panel active).","","FB.org 7-ADD confirms 'Gauntlet' (source_adds=7; jobs='CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Grave Digger","grave-digger","1 Published Canonical","","footbagmoves","1","5","True","grave-digger (live DB; SCALE-8 pilot; Stepping Torque)","settled","first_class_ready","high","high","clip-spin-clip","stepping","stepping(+1) + torque(4) --> 5 ADDs","","","FB.org 5-ADD confirms 'Grave Digger' (source_adds=5; jobs='CLIP > OP IN [DEX] (plant) > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"guay","guay","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"gyro","gyro","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Hatchet","hatchet","1 Published Canonical","","footbagmoves,passback","2","4","True","","","","high","","clip-dive-whirl","","","","",""
"Haze","haze","1 Published Canonical","","footbagmoves","1","4","True","haze (live DB; SCALE-8 pilot; Stepping DLO)","settled","first_class_ready","high","high","clip-multi-dex-toe","stepping","stepping(+1) + DLO(3) --> 4 ADDs (= flurry with mid-plant)","Plant-after-first-dex variant of flurry.","","FB.org 4-ADD confirms 'Haze' (source_adds=4; jobs='CLIP > OP IN [DEX] (plant) > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]'; component_flags='[dex] [dex] [dex] [del]'); ingested 2026-05-21."
"Head Stall","head-stall","1 Published Canonical","","fborg","1","1","True","","settled","first_class_ready","","high","","unusual-surface","unusual surface(1) --> 1 ADD","Specialized surface stall; pt8 ruled Head/Peak/Shoulder Stalls = 1 ADD each.","",""
"Heel Delay","heel-delay","1 Published Canonical","","fborg","1","2","True","","settled","first_class_ready","","high","","stall","unusual surface(1) + stall(1) --> 2 ADDs","Specialized surface stall on heel.","",""
"heel stall","heel-stall","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"High Plains Drifter","high-plains-drifter","1 Published Canonical","","footbagmoves","1","4","True","high-plains-drifter (live DB; clipper-set double-in compound)","settled","first_class_ready","high","high","clip-double-dex-clip","dex","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","Clipper-set double-in version of drifter.","","FB.org 4-ADD confirms 'High Plains Drifter' (source_adds=4; jobs='CLIP > OP IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"Hop Over","hop-over","1 Published Canonical","","fborg","1","2","True","","settled","candidate","","high","","body","body(1) + stall(1) --> 2 ADDs","Technique-focused 2-ADD body-flying-over-stall trick.","Whether ""Hop Over"" is a canonical trick or an instructional technique alias for a body-over-inside-delay.",""
"Illusion","illusion","1 Published Canonical","","fborg","1","2","True","illusion (live DB)","settled","first_class_ready","","high","","dex","dex(1) + stall(1) --> 2 ADDs","Canonical 2-ADD foundational atom with explicit Jobs notation in source.","",""
"illusioning","illusioning","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Inside Delay","inside-delay","1 Published Canonical","","fborg","1","1","True","","settled","first_class_ready","","high","","stall","stall(1) --> 1 ADD","Foundational stall surface. Asterisk in source indicates video demonstration available.","",""
"inside stall","inside-stall","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Jani Walker","jani-walker","1 Published Canonical","","fborg","1","5","True","jani-walker (live DB; §3.2 stated-ADD-without-stated-structure trio)","settled","first_class_ready","","high","","dex","barraging(+2 two-dex) + butterfly(3) --> 5 ADDs","§3.2 policy-class row (stated ADD, structure via records sort_name = Barraging Butterfly).","",""
"Knee Clipper","knee-clipper","1 Published Canonical","","fborg","1","2","True","","settled","candidate","","high","","flying","flying(1) + cross-body(1) --> 2 ADDs","Body-flying clipper variant with knee position.","",""
"Knee Delay","knee-delay","1 Published Canonical","","fborg","1","1","True","","settled","first_class_ready","","high","","stall","stall(1) --> 1 ADD","Foundational stall surface.","",""
"knee stall","knee-stall","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Leg Over","leg-over","1 Published Canonical","","fborg","1","2","True","legover (live DB)","settled","first_class_ready","","high","","dex","dex(1) + stall(1) --> 2 ADDs","Canonical 2-ADD foundational atom with explicit Jobs notation in source.","",""
"Legbeater","legbeater","1 Published Canonical","","footbagmoves","1","4","True","atomic-butterfly (live DB; FIRST_CLASS_TIER_2; pt10 demo of non-rotational atomic)","settled","first_class_ready","high","high","toe-double-dex-clip","atomic","atomic(+1) + butterfly(3) --> 4 ADDs","pt10 ruled atomic = +1 (non-rotational); atomic-butterfly = 4 ADD demonstrates the non-rotational atomic bonus directly. Alt name ""Legbeater"" preserved.","","FB.org 4-ADD confirms 'Legbeater' (source_adds=4; jobs='TOE > OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"Legeater","legeater","1 Published Canonical","","footbagmoves","1","3","True","","","","high","","toe-double-dex-toe","","","","",""
"legover","legover","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Magellan","magellan","1 Published Canonical","","footbagmoves","1","3","True","magellan (live DB; alternate name ""Pixie Same Legover"")","settled","first_class_ready","high","medium","toe-double-dex-toe","pixie","pixie(+1) + same-legover(2) --> 3 ADDs","Pixie modifier with same-side legover. Alternate name preserved.","","FB.org 3-ADD confirms 'Magellan' (source_adds=3; jobs_notation_raw='TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > SAME TOE [DEL]'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21."
"Mantis","mantis","1 Published Canonical","","footbagmoves","1","4","True","","","","high","","clip-spin-toe","","","","",""
