set_name,normalized_name,ifpa_modifier_exists,ifpa_modifier_type,ifpa_modifier_add_bonus,ifpa_trick_row_exists,ifpa_trick_adds,ifpa_trick_category,source_implied_add,agreement_status,discrepancy_type,curator_action,notes
Twinspinning,twinspinning,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Nuclear inspinning' compound"
Neutron,neutron,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Atomic spin' compound"
Swirling,swirling,yes,body,1,no,—,—,(+1 modifier),partial_agreement,modifier-only,document,"Modern: swirling=+1/+1 body modifier"
Whirling,whirling,yes,body,1,no,—,—,(+1 modifier),partial_agreement,modifier-only,document,"Modern: whirling=+1/+1 body modifier"
Blazing,blazing,yes,body,1,no (modifier-as-trick row exists),blank,modifier,(+1 modifier),partial_agreement,modifier-only,document,"Modern: blazing=+1/+1 body modifier (registered)"
Scattered,scattered,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Reverse Whirling' same-side variant"
Shattered,shattered,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Reverse Whirling' op-side variant"
Pogo,pogo,yes,set,0,yes,0,set,(0 modifier; 0 trick),exact_agreement-dual-identity-zero-add,zero-add-pattern,document,"Modern: pogo=+0/+0 set modifier AND 0-ADD canonical row. Confirms 'Symposium Whirling' source framing — pogo IS the no-plant whirling combo with no ADD"
Blistering,blistering,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Whirling Gyro' compound. Cross-references project_freestyle_state memory 'Blistering=Gyro Whirling Set' Red 2026-05-15"
Broken,broken,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Clipper reverse whirl'"
Finchy,finchy,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-unusual-surface,"curator decision","UNS set. NEW PINCH token"
Pixie Pinching,pixie-pinching,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-unusual-surface,"curator decision","PINCH-anchored pixie variant"
Twisted,twisted,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-unusual-surface,"curator decision","DRAGON-anchored compound"
Snapping,snapping,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-unusual-surface,"curator decision","DRAGON-anchored swirl set"
Arctic,arctic,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-unusual-surface,"curator decision","FRIGIDOSIS-anchored pixie variant"
Rooted,rooted,yes,set,0,yes,0,set,(0 modifier; 0 trick),exact_agreement-zero-add,zero-add-pattern,document,"Modern: rooted=+0/+0 set modifier AND 0-ADD canonical row"
Zoid,zoid,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Rooted toe clipper set'"
Ducking,ducking,yes,body,1,no (modifier-as-trick row exists),blank,modifier,(+1 modifier),partial_agreement,modifier-only,document,"Modern: ducking=+1/+1 body modifier (registered)"
Diving,diving,yes,body,1,no,—,—,(+1 modifier),partial_agreement,modifier-only,document,"Modern: diving=+1/+1 body modifier (registered)"
Spinning,spinning,yes,body,1,no (modifier-as-trick row exists),blank,modifier,(+1 modifier),partial_agreement,modifier-only,document,"Modern: spinning=+1/+1 body modifier. Cross-references 5-audit Wave 2 spinning/gyro question"
Inspinning,inspinning,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-modifier,"curator decision: add inspinning as forward-spin variant","Modern: NOT in modifier table. Cross-references 4-audit inspinning-gap question"
Gyro,gyro,yes,body,1,no (modifier-as-trick row exists),blank,modifier,(+1 modifier),partial_agreement,modifier-only,document,"Modern: gyro=+1/+1 body modifier. Source: 'CLIP > (BACK) SPIN [BOD] > (same dex component)' — distinguishes from spinning by anchor + continuation"
