"term","alternate_forms","passback_section","passback_explanation","existing_glossary_anchor","proposed_layer","match_status","review_status","notes"
"Full dex","","Dex Styles & Fullness","Dex Styles & Fullness Dexes can be done in two movement styles: hippy, where the dex motion comes from the hip and the thigh circles the bag, or leggy, where the dex motion comes from the knee and the calf circles the bag. Every dex can also be described in terms of “fullness”: A full dex is one that circles that bag entirely (leg starts on the left, circles the bag, and ends on the left). A half dex only circles the bag partially (leg starts on the left, circles the bag, and ends on the right).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Full symp","","Symposium modifiers","Full Symp + [base trick] means to change both the uptime and downtime components to symposium. Ex: Full Symp Atomsmasher = Symp Atomic Symp Mirage.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Gamma","","Symposium modifiers","There are alternate terms to refer to individual symposium dexes within a trick: alpha, beta, and gamma. For example: Beta Atomsmasher to mean Atomic Symp Mirage. (IMO) these terms are unnecessary and overly complicated; the above terms should make it obvious in the majority of cases which aspect of a trick is symposium.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Genuine","genuine guiltless","ADD Groupings","Within the guiltless tier are BOPs, which stand for the tricks “Butterfly”, “Osis”, and “Pdx Mirage”, which are the most basic guiltless tricks and the foundation for traditional guiltless play. Genuine Guiltless or just Genuine is a combo or string of Guiltless tricks that do not use BOPs, which is generally much more difficult.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Godly","","ADD Groupings","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Golf","","Non-Freestyle Footbag Disciplines/Games","Footbag golf is similar to disc golf, but with footbags.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Guiltless","","ADD Groupings","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Gyro","","Spins","Ducking: head moves towards the bag, bag falls to the opposite side the head moved Weaving: head moves towards the bag, bag falls to the same side the head moved Diving: head moves over the bag and under it back to the original position, bag falls to the same side as the initial head movement Zulu: head moves over the bag and under it back to the original position, bag falls to the opposite side as the initial head movement Spins Spins are performed by rotating the entire body to various degrees: gyro means to spin 180 degrees, while spinning means to spin 360 degrees. The two terms can be combined, along with double or triple, to create a spin of any half or full degree. Ex: Spinning Gyro = 450 degrees, Gyro Gyro = 180 degrees, then 180 degrees in the other direction.","gyro","educational","existing_term","auto_ok","matches UX1 token: Gyro (rotation modifier; +1)"
"Hacky sack (object)","hacks|HACK (game)|Hacky sack (game)","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Half dex","","Dex Styles & Fullness","Dex Styles & Fullness Dexes can be done in two movement styles: hippy, where the dex motion comes from the hip and the thigh circles the bag, or leggy, where the dex motion comes from the knee and the calf circles the bag. Every dex can also be described in terms of “fullness”: A full dex is one that circles that bag entirely (leg starts on the left, circles the bag, and ends on the left). A half dex only circles the bag partially (leg starts on the left, circles the bag, and ends on the right).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Handcatch","hand","Ending a trick or string","Ending a trick or string A string or a trick can be ended in one of a few ways. In footbag, players hit tricks, as opposed to “landing” them. If a player hits a trick and catches the bag, that is a handcatch, and in string notation can be written as [trick]>hand, which usually implies good execution and control. The term seal is also used to imply hitting a trick with enough control to do something after; ex: “Whirl sealed with Mirage.”","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Heel","","Contact Surfaces","Contact Surfaces The most common contact surfaces are the toe and inside surfaces of the shoe, as well as the less commonly used outside, heel, and sole surfaces. Any non-shoe surface just uses the name for the part of the body, such as knee, calf, or back.","heel","educational","existing_term","auto_ok","matches UX1 token: Heel (delay surface)"
"Hippy","","Dex Styles & Fullness","Dex Styles & Fullness Dexes can be done in two movement styles: hippy, where the dex motion comes from the hip and the thigh circles the bag, or leggy, where the dex motion comes from the knee and the calf circles the bag. Every dex can also be described in terms of “fullness”: A full dex is one that circles that bag entirely (leg starts on the left, circles the bag, and ends on the left). A half dex only circles the bag partially (leg starts on the left, circles the bag, and ends on the right).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Hit","","Ending a trick or string","Ending a trick or string A string or a trick can be ended in one of a few ways. In footbag, players hit tricks, as opposed to “landing” them. If a player hits a trick and catches the bag, that is a handcatch, and in string notation can be written as [trick]>hand, which usually implies good execution and control. The term seal is also used to imply hitting a trick with enough control to do something after; ex: “Whirl sealed with Mirage.”","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"In-out","in","Dex Directions","Dex Directions Dexes can be performed in two directions that are relative to the center of the body: in-out, or in for short, which move away from the body (from “in” the body to “out” of the body), and out-in or out for short, which move towards the body.","in","educational","existing_term","auto_ok","matches UX1 token: In (inward arc)"
"Inside (surface)","","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Inspin","in-","Spins","Spins are most commonly performed as backspins where the body turns away from the bag and the back passes the bag first. An inspin turns towards the bag and the chest passes the bag first. Unless the prefix in- is used, a spin is presumed to be a backspin. In can be applied to Spinning, Gyro, or even full trick names to change the direction of the spin (like In-Vortex to mean In-gyro Drifter).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Inspin","inspinning","Spins","Spins are most commonly performed as backspins where the body turns away from the bag and the back passes the bag first. An inspin turns towards the bag and the chest passes the bag first. Unless the prefix in- is used, a spin is presumed to be a backspin. In can be applied to Spinning, Gyro, or even full trick names to change the direction of the spin (like In-Vortex to mean In-gyro Drifter).","inspinning","educational","existing_term","auto_ok","matches UX1 token: Inspinning (rotation modifier)"
"Iron man","","Competitive Disciplines","Rippin’ Run, Iron Man, and Last Man Standing are all variations of “who can do the longest string before dropping.” Rippin’ Run (named after “Rippin” Rick Reese) and Iron Man are head-to-head, while Last Man Standing is every player at the same time.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Jackpot","","ADD Groupings","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Jam","","Events & Competition","Events & Competition There are generally two types of footbag events that are hosted: tournaments and jams. Tournaments are focused on competition, with the World Championships (or Worlds) being the biggest tournament of the year. Jams are more casual events, and may still have competition, but are more focused on getting regional players together for a fun time.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Job","Job’s|Jobs","Trick names","The technical name of a trick is related to its Job’s Notation (technically pronounced “Jobe”, but just as often pronounced “Jahb”), named after Ben Jobe, which is a written form of all of a trick’s components, in which phase they occur, and the sides they are performed on. Ex: Clipper>ss In Dex>>op Out Dex>ss Clipper","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Kick","","Contact Types","Contact Types The simplest type of contact is a kick. Toe kicks done with an ankle hinge are sometimes called toe flicks, and knee kicks are sometimes called knee bumps.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Last man standing","","Competitive Disciplines","Rippin’ Run, Iron Man, and Last Man Standing are all variations of “who can do the longest string before dropping.” Rippin’ Run (named after “Rippin” Rick Reese) and Iron Man are head-to-head, while Last Man Standing is every player at the same time.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Laver","","Shoes","Shoes Though footbag can be played barefoot or with any kind of shoe, there are certain kinds that are most-suited to the sport. Among the many brands and models used over the years, the two that have most become part of the culture are the Adidas Rod Laver and Quantums. For a long time, from the mid-90s to mid-2010s, Lavers were the standard freestyle shoe, but the specific model that was popular is no longer made. Quantums were the first shoes designed specifically for footbag by the community itself which had a run in the 2010s and have recently been redesigned and released.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Leggy","","Dex Styles & Fullness","Dex Styles & Fullness Dexes can be done in two movement styles: hippy, where the dex motion comes from the hip and the thigh circles the bag, or leggy, where the dex motion comes from the knee and the calf circles the bag. Every dex can also be described in terms of “fullness”: A full dex is one that circles that bag entirely (leg starts on the left, circles the bag, and ends on the left). A half dex only circles the bag partially (leg starts on the left, circles the bag, and ends on the right).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"LIMP","","Combining multiple tricks","LIMP tricks are the collection of basic toe tricks: Legover, Illusion, Mirage, and Pickup. CLIMP is an extension of LIMP which includes Clipper. An Everything drill is a drill which uses a single uptime set + each LIMP trick both sides. Ex: Pixie Everything = a drill of Pixie Legover, Pixie ss Legover, Pixie Illusion, Pixie ss Illusion, Pixie Mirage, Pixie ss Mirage, Pixie Pickup, and Pixie ss Pickup, each on both sides. An Everything drill has no set order, and just requires every unique trick be done once.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
