slug,current_status,family,base_trick,modifiers,source_notation_canonical_bracket,source_notation_fm,source_notation_stanford,suggested_job,suggested_job_confidence,derived_from,parser_status,doctrine_risk,official_add,cohort
superfly,canonical,barfly,barfly,symposium,,,X.+!0+0-X,<MOD:SYMPOSIUM> > CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],medium,symposium prepended to barfly JOB; curator chooses entry-position token,parser-clean,low,5,symposium
fog,canonical,double-leg-over,double-leg-over,stepping|paradox,,,X-1.-1-0+Z,<MOD:STEPPING> > <MOD:PARADOX> > SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],low,two-modifier stack (stepping + paradox); curator confirms ordering,parser-needs-review,low,5,stepping
venom,canonical,barfly,barfly,spinning|stepping,,,X\-1.-0+0-X,<MOD:SPINNING> > <MOD:STEPPING> > CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],low,two-modifier stack (spinning + stepping); curator confirms ordering,parser-needs-review,low,6,spinning
around-the-world,canonical,atw,around-the-world,,,,Z.+1+Z,<STANFORD:Z.+1+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,other
atom-smasher,canonical,mirage,mirage,,,,Z-0.-1-Z,<STANFORD:Z-0.-1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,mirage-descendants
atomic-butterfly,canonical,butterfly,butterfly,atomic,,,Z-0.-0-X,<STANFORD:Z-0.-0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,atomic
atomic-torque,canonical,torque,torque,atomic,,,Z-0.-1/-X,<STANFORD:Z-0.-1/-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,6,atomic
blaze,canonical,mirage,mirage,,,Clip > Op Front Whirl (DEX) >> Op In (DEX) > Op Toe (DEL),X-1.-1-Z,Clip > Op Front Whirl (DEX) >> Op In (DEX) > Op Toe (DEL),fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-clean,medium,3,mirage-descendants
blender,canonical,osis,osis,,,,*.-1\+X,<STANFORD:*.-1\+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,osis-descendants
blizzard,canonical,illusion,illusion,,,Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Toe (DEL),X-1.-0-Z,Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Toe (DEL),fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-clean,medium,3,stanford-double-dex
bullwhip,canonical,bullwhip,,,,,X.\+0+0-X,<STANFORD:X.\+0+0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,stanford-spin-compounds
butterfly,canonical,butterfly,butterfly,,,,*. 0-X,<STANFORD:*. 0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,butterfly-descendants
clipper,canonical,clipper,clipper,,,,*. X,<STANFORD:*. X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,1,clipper-descendants
dimwalk,canonical,butterfly,butterfly,pixie,,,Z+1.-0-X,<STANFORD:Z+1.-0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,pixie
ducking-butterfly,canonical,butterfly,butterfly,ducking,,,Z^-0-X,<STANFORD:Z^-0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,ducking
ducking-osis,canonical,osis,osis,ducking,,,Z^\-X,<STANFORD:Z^\-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,ducking
ducking-whirl,canonical,whirl,whirl,ducking,,,Z^-1-X,<STANFORD:Z^-1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,ducking
dyno,canonical,dyno,,,,,*.-0\+X,<STANFORD:*.-0\+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,stanford-spin-compounds
eclipse,canonical,eclipse,eclipse,,,,Z.-!L-0_,<STANFORD:Z.-!L-0_>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,other
eggbeater,canonical,legover,legover,,,,Z.-0-0+Z,<STANFORD:Z.-0-0+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,legover-descendants
fairy,canonical,fairy,fairy,,,,Z+0.-Z,<STANFORD:Z+0.-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,other
flail,canonical,illusion,illusion,symposium,,,Z.-!0-Z,<STANFORD:Z.-!0-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,symposium
flurry,canonical,legover,legover,,,,X.-1+1-0+Z,<STANFORD:X.-1+1-0+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,legover-descendants
fusion,canonical,dod,dod,,,,Z-0.-0+0-X,<STANFORD:Z-0.-0+0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,other
grave-digger,canonical,torque,torque,stepping,,,X-1_.+1/-X,<STANFORD:X-1_.+1/-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,stepping
illusion,canonical,illusion,illusion,,,,*.-0-Z,<STANFORD:*.-0-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,other
jani-walker,canonical,jani-walker,,,,,X-1+1.-0-X,<STANFORD:X-1+1.-0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,other
legover,canonical,legover,legover,,,,*.-0+Z,<STANFORD:*.-0+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,legover-descendants
magellan,canonical,legover,legover,pixie,,,Z+1_.+0+Z,<STANFORD:Z+1_.+0+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,pixie
merkon,canonical,legover,legover,spinning,,,X.\-0+Z,<STANFORD:X.\-0+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,spinning
mirage,canonical,mirage,mirage,,,,*.-1-Z,<STANFORD:*.-1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,mirage-descendants
orbit,canonical,orbit,,,,,Z.+0+Z,<STANFORD:Z.+0+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,other
osis,canonical,osis,osis,,,,X.\-X,<STANFORD:X.\-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,osis-descendants
paradox-blender,canonical,blender,blender,paradox,,,X.+1\+X,<STANFORD:X.+1\+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,paradox
paradox-drifter,canonical,drifter,drifter,paradox,,,X.+1+X,<STANFORD:X.+1+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,paradox
paradox-mirage,canonical,mirage,mirage,paradox,,,X.+1-Z,<STANFORD:X.+1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,paradox
paradox-torque,canonical,torque,torque,paradox,,,X.+1/-X,<STANFORD:X.+1/-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,paradox
paradox-whirl,canonical,whirl,whirl,paradox,,,X.+1-X,<STANFORD:X.+1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,paradox
parkwalk,canonical,butterfly,butterfly,,,,Z+1_.+0-X,<STANFORD:Z+1_.+0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,butterfly-descendants
pickup,canonical,pickup,pickup,,,,*.-1+Z,<STANFORD:*.-1+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,other
pixie,canonical,pixie,pixie,,,,Z+1.-Z,<STANFORD:Z+1.-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,other
plasma,canonical,plasma,,quantum,,,Z-1.-0+0-X,<STANFORD:Z-1.-0+0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,quantum
quantum,canonical,quantum,quantum,,,,Z-1_.-1-Z,<STANFORD:Z-1_.-1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,stanford-double-dex
rake,canonical,rake,,,,,Z.R,<STANFORD:Z.R>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,2,other
refraction,canonical,refraction,refraction,,,,*.-L-0-X,<STANFORD:*.-L-0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,other
ripstein,canonical,ripstein,,,,,X.+6+6+X,<STANFORD:X.+6+6+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,stanford-double-dex
royale,canonical,reverse-drifter,reverse-drifter,paradox,,,X.+0+X,<STANFORD:X.+0+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,paradox
schmoe,canonical,legover,legover,,,,X-1_.+0+Z,<STANFORD:X-1_.+0+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,legover-descendants
sidewalk,canonical,butterfly,butterfly,stepping,,,X-1.+0-X,<STANFORD:X-1.+0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,stepping
smear,canonical,mirage,mirage,pixie,,,Z+1.-1-Z,<STANFORD:Z+1.-1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,pixie
smoke,canonical,drifter,drifter,pixie,,,Z+1.-1+X,<STANFORD:Z+1.-1+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,pixie
smudge,canonical,illusion,illusion,pixie,,,Z+1.-0-Z,<STANFORD:Z+1.-0-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,pixie
spinning-butterfly,canonical,butterfly,butterfly,spinning,,,X.\-0-X,<STANFORD:X.\-0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,spinning
spinning-osis,canonical,osis,osis,spinning,,,X.\/-X,<STANFORD:X.\/-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,spinning
spinning-torque,canonical,torque,torque,spinning,,,X.\-1/-X,<STANFORD:X.\-1/-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,spinning
spinning-whirl,canonical,whirl,whirl,spinning,,,X.\-1-X,<STANFORD:X.\-1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,spinning
stepping-osis,canonical,osis,osis,stepping,,,X-1.\+X,<STANFORD:X-1.\+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,stepping
stepping-whirl,canonical,whirl,whirl,stepping,,,X-1_.+1-X,<STANFORD:X-1_.+1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,stepping
sumo,canonical,mirage,mirage,nuclear,,,X+0.-1-Z,<STANFORD:X+0.-1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,5,nuclear
swirl,canonical,swirl,swirl,,,,X.+9+X,<STANFORD:X.+9+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,swirl-descendants
swirl,canonical,swirl,swirl,,,,X.+6+X,<STANFORD:X.+6+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,swirl-descendants
symposium-mirage,canonical,mirage,mirage,symposium,,,*.-!1-Z,<STANFORD:*.-!1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,symposium
symposium-whirl,canonical,whirl,whirl,symposium,,,X.-!1-X,<STANFORD:X.-!1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,symposium
tapping-whirl,canonical,whirl,whirl,tapping,,,Z-0_.+1-X,<STANFORD:Z-0_.+1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,tapping
terrage,canonical,terrage,terrage,,,,Z.+1+1-Z,<STANFORD:Z.+1+1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,stanford-double-dex
tombstone,canonical,drifter,drifter,stepping,,,X-1_.+1+X,<STANFORD:X-1_.+1+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,stepping
torque,canonical,osis,osis,,,,X.-1/-X,<STANFORD:X.-1/-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,osis-descendants
whirl,canonical,whirl,whirl,,,,*.-1-X,<STANFORD:*.-1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,3,whirl-descendants
whirling-swirl,canonical,swirl,swirl,whirling,,,X-1.-6+X,<STANFORD:X-1.-6+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,medium,4,whirling
gauntlet,canonical,torque,torque,stepping|ducking|paradox,,,X-1^-1/-X,<STANFORD:X-1^-1/-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-complex,medium,7,ducking
surge,canonical,mirage,mirage,spinning|stepping|paradox,,,X\.+1-1-Z,<STANFORD:X\.+1-1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-complex,medium,5,spinning
surgery,canonical,rev-whirl,rev-whirl,spinning|stepping|symposium,,,X\+1.-!0-X,,low,more than two modifiers; curator-authored required,parser-complex,medium,6,spinning
surreal,canonical,whirl,whirl,spinning|stepping|paradox,,,X\+1.-1-X,<STANFORD:X\+1.-1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-complex,medium,6,spinning
assassin,canonical,mirage,mirage,pixie|ducking,,,Z+1^-1-Z,<STANFORD:Z+1^-1-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-needs-review,medium,4,pixie
bedwetter,canonical,eggbeater,eggbeater,,,Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL),,Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL),fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,4,other
bigwalk,canonical,butterfly,butterfly,spinning|stepping,,,X\+1.-0-X,<STANFORD:X\+1.-0-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-needs-review,medium,5,spinning
paradox-barrage,canonical,barrage,barrage,,,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,4,other
paradox-blizzard,canonical,blizzard,blizzard,,,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,4,other
paradox-high-plains-drifter,canonical,high-plains-drifter,high-plains-drifter,,,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,5,other
paradox-symposium-mirage,canonical,mirage,mirage,,,CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],,CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,4,mirage-descendants
paradox-symposium-whirl,canonical,whirl,whirl,paradox|symposium,,,X.+!1-X,<STANFORD:X.+!1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-needs-review,medium,5,symposium
spinning-paradox-blender,canonical,blender,blender,,,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,6,blender-descendants
spinning-paradox-illusion,canonical,illusion,illusion,,,CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],,CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,4,other
spinning-paradox-mirage,canonical,mirage,mirage,,,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,4,mirage-descendants
spinning-paradox-whirl,canonical,whirl,whirl,,,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,5,whirl-descendants
spinning-symposium-whirl,canonical,whirl,whirl,spinning|symposium,,,X.\-!1-X,<STANFORD:X.\-!1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-needs-review,medium,5,spinning
stepping-ducking-paradox-blender,canonical,blender,blender,,,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-needs-review,medium,7,blender-descendants
tomahawk,canonical,whirl,whirl,ducking|paradox,,,X^+1-X,<STANFORD:X^+1-X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-needs-review,medium,5,ducking
witchdoctor,canonical,mirage,mirage,atomic|symposium,,,Z-0.-!0-Z,<STANFORD:Z-0.-!0-Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-needs-review,medium,5,atomic
