example_name,normalized_name,ifpa_slug,ifpa_exists,ifpa_compact_notation,ifpa_chain_reading,ifpa_operational_notation,ifpa_adds,source_adds,agreement_status,discrepancy_type,curator_action,notes
Paradox Drifter,paradox-drifter,paradox-drifter,yes,(none),(none),(none),4,4,exact_agreement,missing-ifpa-compact-+-operational,"author IFPA compact + operational notation","Compact = 'PARADOX DRIFTER'; operational from source"
Fury (Barraging Paradox Mirage),fury,fury,yes,(none),barraging paradox mirage,(none),5,5,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source","Chain reading Red pt6-locked. Quick-win"
Tomahawk (Ducking Paradox Whirl),tomahawk,tomahawk,yes,(none),"blurry ducking torque / stepping ducking paradox torque",(none),5,5,paradox_doctrine_divergence,chain-reading-divergence,"surface as Red question: source reads tomahawk as 'Ducking Paradox Whirl'; modern chain registry reads it as 'blurry ducking torque' / 'stepping ducking paradox torque'. Different decompositions","Major doctrinal divergence. Source 5 ADD = ducking(+1)+paradox(+1)+whirl(3); modern = blurry(+1)+ducking(+1)+torque(?). Math differs"
Voodoo (Paradox Symposium Blur),voodoo,voodoo,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision",Folk-named compound missing
PS Whirl (Paradox Symposium Whirl),ps-whirl,paradox-symposium-whirl,yes,(none),ps whirl,(none),5,5,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source: CLIP (plant) > (no plant while) SAME IN [BOD] [PDX] [DEX] > OP CLIP [XBD] [DEL]","Chain reading 'ps whirl' confirmed. Quick-win"
Pogo Paradox Barrage,pogo-paradox-barrage,pogo-paradox-barrage,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Structurally derivable. ADD math: pogo(+0)+paradox(+1)+barraging(+1)+mirage(2)=4 ADD vs source 5 ADD — ADD discrepancy"
Pogo Paradox Drifter,pogo-paradox-drifter,pogo-paradox-drifter,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Same pogo-+-0-vs-source-5 ADD discrepancy pattern"
Pogo Paradox Eggbeater,pogo-paradox-eggbeater,pogo-paradox-eggbeater,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Same ADD discrepancy pattern"
Pogo Paradox Whirl,pogo-paradox-whirl,pogo-paradox-whirl,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Same ADD discrepancy pattern"
Lotus (Spinning Paradox Drifter),lotus,lotus,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing"
Spinning Paradox Whirl,spinning-paradox-whirl,spinning-paradox-whirl,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Structurally derivable; provides 2 operational variants"
Avalanche (Stepping Ducking Paradox Illusion),avalanche,avalanche,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing"
Spike Hammer (Stepping Ducking Paradox Mirage),spike-hammer,spike-hammer,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing"
Blurrage (Stepping Paradox Barrage),blurrage,blurrage,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing"
Fog (Stepping Paradox Double Leg Over),fog,fog,yes,(none),(none),(none),5,5,exact_agreement,missing-ifpa-compact-+-operational,"author IFPA compact + operational notation",Quick-win
Blurry Drifter (Stepping Paradox Drifter),blurry-drifter,blurry-drifter,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing. Could be canonicalized per Red pt11 (blurry = stepping paradox)"
Bedwetter (Stepping Paradox Eggbeater),bedwetter,bedwetter,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing"
Blurry Whirl (Stepping Paradox Whirl),blurry-whirl,blurry-whirl,yes,(none),"blurry whirl / stepping paradox whirl",(none),5,5,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source","Chain readings Red pt11-locked. Quick-win"
Surge (Surging Paradox Mirage),surge,surge,yes,(none),surging paradox mirage,(none),5,5,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source","Chain reading Red pt2-locked. Quick-win"
Paradox Blender,paradox-blender,paradox-blender,yes,(none),"paradox blender / paradox whirling op osis",(none),5,5,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source","Chain readings include deeper 'paradox whirling op osis' extending pt11-locked 'whirling osis'. Quick-win"
Paradox Da Da Curve,paradox-da-da-curve,paradox-dada-curve,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Structurally derivable. Note dada-curve exists; paradox+dada-curve does not"
Paradox High Plains Drifter (Paradox Double Drifter),paradox-high-plains-drifter,paradox-high-plains-drifter,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing. Note: memory references 'high-plains-drifter' redirect to drifter-family"
Paradox Ripwalk,paradox-ripwalk,paradox-ripwalk,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Structurally derivable. Notable: explicit (plant) marker AFTER [DEX] in source"
Paradox Torque,paradox-torque,paradox-torque,yes,(none),paradox torque,(none),5,5,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source",Quick-win
Paradox Whirling Swirl,paradox-whirling-swirl,paradox-whirling-swirl,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Notable: 'OP BACK SWIRL' is a complex token construct not common in modern grammar"
Paradox Blurry Whirl,paradox-blurry-whirl,paradox-blurry-whirl,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Source notation lacks [PDX] flag despite name"
Symposium Tomahawk (Ducking Paradox Symposium Whirl),symposium-tomahawk,symposium-tomahawk,no,(none),(none),(none),—,6,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing"
Paratoxic (Paradox Miraging Symposium Whirl),paratoxic,paratoxic,no,(none),(none),(none),—,6,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing. Source uses 'Paradox Miraging' as operator stack — interesting structural framing"
Pogo Paradox Blender (Pogo Op Blender),pogo-paradox-blender,pogo-paradox-blender,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Same pogo-ADD-math question"
Pogo Paradox Da Da Curve (Pogo Op Da Da Curve),pogo-paradox-da-da-curve,pogo-paradox-dada-curve,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Two distinct (no plant while) elements"
Pogo Paradox Torque (Pogo Op Torque),pogo-paradox-torque,pogo-paradox-torque,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Source: 'just ask Tuan Vu'"
Pogo Paradox Whirling Swirl (Pogo Op Whirling Swirl),pogo-paradox-whirling-swirl,pogo-paradox-whirling-swirl,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Source: 'just ask Kenny Shults'"
Spinning Paradox Blender,spinning-paradox-blender,spinning-paradox-blender,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Source provides 2 operational variants"
Whirlwind (Spinning Paradox Symposium Whirl),whirlwind,whirlwind,no,(none),(none),(none),—,6,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing"
Marius (Spinning Paradox Torque),marius,marius,no,(none),(none),(none),—,6,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound missing. Source: 'A Spin into a torque'"
Blurry Symposium Whirl (Stepping Paradox Symposium Whirl),blurry-symposium-whirl,blurry-symposium-whirl,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Structurally derivable; cross-references Red pt11 blurry compression"
Blurry Torque (Stepping Paradox Torque),blurry-torque,blurry-torque,yes,(none),"blurry torque / stepping paradox torque",(none),6,6,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source","Chain readings Red pt11-locked. Quick-win"
Blurry Whirling Swirl (Stepping Paradox Whirling Swirl),blurry-whirling-swirl,blurry-whirling-swirl,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Structurally derivable"
Surreal (Surging Paradox Whirl),surreal,surreal,yes,(none),surging paradox whirl,(none),6,6,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source","Chain reading Red pt2-locked. Quick-win"
Stepping Ducking Paradox Blender,stepping-ducking-paradox-blender,stepping-ducking-paradox-blender,no,(none),(none),(none),—,7,missing_canonical_row,missing-canonical,"curator decision","Structurally derivable. Source operational lacks explicit [PDX] flag"
Gauntlet (Stepping Ducking Paradox Torque),gauntlet,gauntlet,yes,STEPPING DUCKING PARADOX TORQUE,"blurry ducking torque / stepping ducking paradox torque",(none),7,7,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source","Chain readings Red pt11-locked. Quick-win"
