"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Pogo Butterfly","pogo-butterfly","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","pogo","","full","observational","","medium"
"Pogo Paradox Barrage","pogo-paradox-barrage","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","pogo|paradox","","full","observational","","medium"
"Pogo Paradox Blender","pogo-paradox-blender","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","blender-torque|pogo|paradox","","full","observational","","medium"
"Pogo Paradox Da Da Curve","pogo-paradox-da-da-curve","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","pogo|paradox","","full","observational","","medium"
"Pogo Paradox Drifter","pogo-paradox-drifter","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","pogo|paradox","","full","observational","","medium"
"Pogo Paradox Eggbeater","pogo-paradox-eggbeater","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","pogo|paradox","","full","observational","","medium"
"Pogo Paradox Mirage","pogo-paradox-mirage","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","pogo|paradox","","full","observational","","medium"
"Pogo Paradox Torque","pogo-paradox-torque","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","blender-torque|pogo|paradox","","full","observational","","medium"
"Pogo Paradox Whirl","pogo-paradox-whirl","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","whirl-swirl|pogo|paradox","","full","observational","","medium"
"Pogo Paradox Whirling Swirl","pogo-paradox-whirling-swirl","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","whirl-swirl|pogo|paradox","","full","observational","","medium"
"Pogo Voodoo","pogo-voodoo","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","pogo","","full","observational","","medium"
"Probe","probe","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Reverse Magellan","reverse-magellan","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","low"
"Spinning Butterfly Kick","spinning-butterfly-kick","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","spinning","","full","observational","","medium"
"Spyro Mirage","spyro-mirage","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","gyro-spyro","","full","observational","","medium"
"Stepping Opposite Reaper","stepping-opposite-reaper","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","stepping","","full","observational","","medium"
"Stepping P.S. Whirling x-body Rake","stepping-ps-whirling-x-body-rake","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","stepping|whirl-swirl|dragon-rake","","full","observational","","medium"
"Symposium Blizzard","symposium-blizzard","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","symposium","","full","observational","","medium"
"Symposium Tomahawk","symposium-tomahawk","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","symposium","","full","observational","","medium"
"Toe Double Drifter","toe-double-drifter","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Toe Whirr","toe-whirr","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Triple Spin","triple-spin","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Whirr","whirr","4 Pending symbolic resolution","PENDING-SYMBOLIC","multi","","","full","observational","high","medium"
"Alpine Blurry Whirl","alpine-blurry-whirl","5 Policy-dependent","POLICY-DEPENDENT","passback","whirl-swirl|blurry-furious","","full","observational","none",""
"Blistering Whirl","blistering-whirl","5 Policy-dependent","POLICY-DEPENDENT","fborg","whirl-swirl","","full","observational","","high"
"Blurrier","blurrier","5 Policy-dependent","POLICY-DEPENDENT","footbagmoves","","","full","observational","high","high"
"Blurry Chainsaw Massacre","blurry-chainsaw-massacre","5 Policy-dependent","POLICY-DEPENDENT","footbagmoves","blurry-furious","","full","observational","high",""
"Blurry Drifter","blurry-drifter","5 Policy-dependent","POLICY-DEPENDENT","multi","blurry-furious","","full","observational","none","high"
"Blurry Symposium Whirl","blurry-symposium-whirl","5 Policy-dependent","POLICY-DEPENDENT","fborg","symposium|whirl-swirl|blurry-furious","","full","observational","","high"
"Blurry Whirling Swirl","blurry-whirling-swirl","5 Policy-dependent","POLICY-DEPENDENT","fborg","whirl-swirl|blurry-furious","","full","observational","","high"
"Double Fairy","double-fairy","5 Policy-dependent","POLICY-DEPENDENT","passback","fairy","","full","observational","none","medium"
"Paradox Blurry Whirl","paradox-blurry-whirl","5 Policy-dependent","POLICY-DEPENDENT","fborg","whirl-swirl|blurry-furious|paradox","","full","observational","","medium"
"Pogo Pickup","pogo-pickup","5 Policy-dependent","POLICY-DEPENDENT","fborg","pogo","","full","observational","","low"
"S&M Smasher","sandm-smasher","5 Policy-dependent","POLICY-DEPENDENT","footbagmoves","","","full","observational","high","medium"
"Shooting Butterfly","shooting-butterfly","5 Policy-dependent","POLICY-DEPENDENT","fborg","shooting","","full","observational","","medium"
"Shooting Mirage","shooting-mirage","5 Policy-dependent","POLICY-DEPENDENT","fborg","shooting","","full","observational","","medium"
"Shooting Star","shooting-star","5 Policy-dependent","POLICY-DEPENDENT","fborg","shooting","","full","observational","","medium"
"Shooting Torque","shooting-torque","5 Policy-dependent","POLICY-DEPENDENT","fborg","blender-torque|shooting","","full","observational","","medium"
"Spyro Illusion","spyro-illusion","5 Policy-dependent","POLICY-DEPENDENT","fborg","gyro-spyro","","full","observational","","medium"
"Spyro Whirl","spyro-whirl","5 Policy-dependent","POLICY-DEPENDENT","fborg","gyro-spyro|whirl-swirl","","full","observational","","medium"
"Symposium Blur","symposium-blur","5 Policy-dependent","POLICY-DEPENDENT","fborg","symposium","","full","observational","","medium"
"Triage","triage","5 Policy-dependent","POLICY-DEPENDENT","footbagmoves","","","full","observational","high","medium"
"Voodoo","voodoo","5 Policy-dependent","POLICY-DEPENDENT","footbagmoves","","","full","observational","high","medium"
"Paradox Blur","paradox-blur","7 Structurally ambiguous","AMBIGUOUS","fborg","paradox","","full","observational","","high"
"Stepping Opposite Side Reverse Whirl","stepping-opposite-side-reverse-whirl","7 Structurally ambiguous","AMBIGUOUS","fborg","stepping|whirl-swirl","","full","observational","","medium"
"Blurry Barrage","blurry-barrage","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Blurry Double Legover","blurry-double-legover","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Blurry Ducking Eggbeater","blurry-ducking-eggbeater","3 Observationally represented","D","footbagmoves","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking Mirage","blurry-ducking-mirage","3 Observationally represented","D","footbagmoves","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking Torque","blurry-ducking-torque","3 Observationally represented","D","footbagmoves","ducking|blender-torque|blurry-furious","","name-only","","",""
"Blurry Eggbeater","blurry-eggbeater","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Blurry Illusion","blurry-illusion","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Blurry Illusioning Paradox Symposium Eggbeater","blurry-illusioning-paradox-symposium-eggbeater","3 Observationally represented","D","footbagmoves","symposium|blurry-furious|paradox","","name-only","","",""
"Blurry Mirage","blurry-mirage","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Blurry Symposium Whirling XBD Rake","blurry-symposium-whirling-xbd-rake","3 Observationally represented","D","footbagmoves","symposium|whirl-swirl|blurry-furious|dragon-rake","","name-only","","",""
"Blurry Zulu Blender","blurry-zulu-blender","3 Observationally represented","D","footbagmoves","blender-torque|blurry-furious","","name-only","","",""
"Furious Double Legover","furious-double-legover","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Furious Eggbeater","furious-eggbeater","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Furious Illusion","furious-illusion","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Furious Mirage","furious-mirage","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Furious Symposium Mirage","furious-symposium-mirage","3 Observationally represented","D","footbagmoves","symposium|blurry-furious","","name-only","","",""
"Furious Whirl","furious-whirl","3 Observationally represented","D","footbagmoves","whirl-swirl|blurry-furious","","name-only","","",""
"Illusioning Legover","illusioning-legover","3 Observationally represented","D","multi","","","name-only","","",""
"Nuclear Butterfly","nuclear-butterfly","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Nuclear Double Legover","nuclear-double-legover","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Nuclear Double Over Down","nuclear-double-over-down","3 Observationally represented","D","footbagmoves","dlo-double-down|blurry-furious","","name-only","","",""
"Nuclear Drifter","nuclear-drifter","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Nuclear Ducking Mirage","nuclear-ducking-mirage","3 Observationally represented","D","footbagmoves","ducking|blurry-furious","","name-only","","",""
"Nuclear Nova","nuclear-nova","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Nuclear Osis","nuclear-osis","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Nuclear ss Butterfly","nuclear-ss-butterfly","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Nuclear ss Dyno","nuclear-ss-dyno","3 Observationally represented","D","footbagmoves","blurry-furious","","name-only","","",""
"Nuclear ss Whirl","nuclear-ss-whirl","3 Observationally represented","D","footbagmoves","whirl-swirl|blurry-furious","","name-only","","",""
"Quantum Weaving Butterfly","quantum-weaving-butterfly","3 Observationally represented","D","footbagmoves","quantum|weaving","","name-only","","",""
"Shooting Eggbeater","shooting-eggbeater","3 Observationally represented","D","footbagmoves","shooting","","name-only","","",""
"Shooting Gyro Mirage","shooting-gyro-mirage","3 Observationally represented","D","footbagmoves","gyro-spyro|shooting","","name-only","","",""
"Antisymposium","antisymposium","3 Observationally represented","D","fborg","symposium","","name-only","","",""
"Blurrier (Stepping Down Double Down)","blurrier-stepping-down-double-down","3 Observationally represented","D","fborg","stepping|dlo-double-down","","name-only","","",""
"Blurry (Stepping Paradox)","blurry-stepping-paradox","3 Observationally represented","D","fborg","stepping|blurry-furious|paradox","","name-only","","",""
"Blurry Drifter (Stepping Paradox Drifter)","blurry-drifter-stepping-paradox-drifter","3 Observationally represented","D","fborg","stepping|blurry-furious|paradox","","name-only","","",""
"Blurry Symposium Whirl (Stepping Paradox Symposium Whirl)","blurry-symposium-whirl-stepping-paradox-symposium-whirl","3 Observationally represented","D","fborg","stepping|symposium|whirl-swirl|blurry-furious|paradox","","name-only","","",""
"Blurry Whirling Swirl (Stepping Paradox Whirling Swirl)","blurry-whirling-swirl-stepping-paradox-whirling-swirl","3 Observationally represented","D","fborg","stepping|whirl-swirl|blurry-furious|paradox","","name-only","","",""
"Nuclear","nuclear","3 Observationally represented","D","fborg","blurry-furious","","name-only","","",""
"Pogo Paradox Blender (Pogo Op Blender)","pogo-paradox-blender-pogo-op-blender","3 Observationally represented","D","fborg","blender-torque|pogo|paradox","","name-only","","",""
"Pogo Paradox Da Da Curve (Pogo Op Da Da Curve)","pogo-paradox-da-da-curve-pogo-op-da-da-curve","3 Observationally represented","D","fborg","pogo|paradox","","name-only","","",""
"Pogo Paradox Torque (Pogo Op Torque)","pogo-paradox-torque-pogo-op-torque","3 Observationally represented","D","fborg","blender-torque|pogo|paradox","","name-only","","",""
"Pogo Paradox Whirling Swirl (Pogo Op Whirling Swirl)","pogo-paradox-whirling-swirl-pogo-op-whirling-swirl","3 Observationally represented","D","fborg","whirl-swirl|pogo|paradox","","name-only","","",""
"Rooting/Rooted","rooting-rooted","3 Observationally represented","D","fborg","rail-rooted","","name-only","","",""
"Shooting Star (Shooting Double Over Down)","shooting-star-shooting-double-over-down","3 Observationally represented","D","fborg","dlo-double-down|shooting","","name-only","","",""
"Twinspinning (nuclear inspinning)","twinspinning-nuclear-inspinning","3 Observationally represented","D","fborg","spinning|inspinning|blurry-furious","","name-only","","",""
"BS Blurriest","bs-blurriest","3 Observationally represented","D","passback","","","name-only","","",""
"Illusioning far Clipper","illusioning-far-clipper","3 Observationally represented","D","passback","","","name-only","","",""
"Illusioning far Osis","illusioning-far-osis","3 Observationally represented","D","passback","","","name-only","","",""
"Illusioning far Symp. Butterfly","illusioning-far-symp-butterfly","3 Observationally represented","D","passback","symposium","","name-only","","",""
"Illusioning Flail","illusioning-flail","3 Observationally represented","D","passback","","","name-only","","",""
"Illusioning Symp. Eggbeater","illusioning-symp-eggbeater","3 Observationally represented","D","passback","symposium","","name-only","","",""
"Illusioning Symp. Illusioning Legover","illusioning-symp-illusioning-legover","3 Observationally represented","D","passback","symposium","","name-only","","",""
"Nuclear far Butterfly","nuclear-far-butterfly","3 Observationally represented","D","passback","blurry-furious","","name-only","","",""
"Nuclear far Double Down","nuclear-far-double-down","3 Observationally represented","D","passback","dlo-double-down|blurry-furious","","name-only","","",""
"Nuclear far Mirage","nuclear-far-mirage","3 Observationally represented","D","passback","blurry-furious","","name-only","","",""
"Nuclear near Butterfly","nuclear-near-butterfly","3 Observationally represented","D","passback","blurry-furious","","name-only","","",""
"Pogo far Mirage","pogo-far-mirage","3 Observationally represented","D","passback","pogo","","name-only","","",""
"Pogo Nuclear far Double Down","pogo-nuclear-far-double-down","3 Observationally represented","D","passback","dlo-double-down|pogo|blurry-furious","","name-only","","",""
"Shooting far Double Down","shooting-far-double-down","3 Observationally represented","D","passback","dlo-double-down|shooting","","name-only","","",""
"Symp. Illusioning Illusioning Mirage","symp-illusioning-illusioning-mirage","3 Observationally represented","D","passback","symposium","","name-only","","",""
"Blurry Barfly Swirl (Blurriest Swirl)","blurry-barfly-swirl-blurriest-swirl","3 Observationally represented","D","stanford","whirl-swirl|blurry-furious","","name-only","","",""
"Blurry Barrage (Blurrage)","blurry-barrage-blurrage","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Butterfly (Ripwalk)","blurry-butterfly-ripwalk","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Butterfly Swirl (Riptide)","blurry-butterfly-swirl-riptide","3 Observationally represented","D","stanford","whirl-swirl|blurry-furious","","name-only","","",""
"Blurry Butterfly Swivel (Puree)","blurry-butterfly-swivel-puree","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Clipper","blurry-clipper","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Da Da Curve","blurry-da-da-curve","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Ducking Barfly (Leviathan)","blurry-ducking-barfly-leviathan","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking Blender","blurry-ducking-blender","3 Observationally represented","D","stanford","ducking|blender-torque|blurry-furious","","name-only","","",""
"Blurry Ducking Butterfly (Ripped Warrior)","blurry-ducking-butterfly-ripped-warrior","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking Butterfly Swirl (Cyborg)","blurry-ducking-butterfly-swirl-cyborg","3 Observationally represented","D","stanford","ducking|whirl-swirl|blurry-furious","","name-only","","",""
"Blurry Ducking Eggbeater (Golden Shower)","blurry-ducking-eggbeater-golden-shower","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking Illusion (Avalanche)","blurry-ducking-illusion-avalanche","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking Mirage (Spike Hammer)","blurry-ducking-mirage-spike-hammer","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking Motion (Syberian Express)","blurry-ducking-motion-syberian-express","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking PS Mirage","blurry-ducking-ps-mirage","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Blurry Ducking PS Whirl","blurry-ducking-ps-whirl","3 Observationally represented","D","stanford","ducking|whirl-swirl|blurry-furious","","name-only","","",""
"Blurry Ducking Torque (Gauntlet)","blurry-ducking-torque-gauntlet","3 Observationally represented","D","stanford","ducking|blender-torque|blurry-furious","","name-only","","",""
"Blurry Ducking Voodoo (Hell Raiser)","blurry-ducking-voodoo-hell-raiser","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Blurry Dyno (Grab Your Balls And Squeeze)","blurry-dyno-grab-your-balls-and-squeeze","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Eggbeater (Bed Wetter)","blurry-eggbeater-bed-wetter","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Flail (Backside Blizzard)","blurry-flail-backside-blizzard","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Flurry","blurry-flurry","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Guay","blurry-guay","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Illusion (Blizzard)","blurry-illusion-blizzard","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Legover","blurry-legover","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Mirage (Blur)","blurry-mirage-blur","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Motion (Locomotion)","blurry-motion-locomotion","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Osis (Crispy Torque)","blurry-osis-crispy-torque","3 Observationally represented","D","stanford","blender-torque|blurry-furious","","name-only","","",""
"Blurry Pickup","blurry-pickup","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry PS Whirling XBD Rake (Warlock) (Sasquatch)","blurry-ps-whirling-xbd-rake-warlock-sasquatch","3 Observationally represented","D","stanford","whirl-swirl|blurry-furious|dragon-rake","","name-only","","",""
"Blurry Reaper","blurry-reaper","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Reverse Guay","blurry-reverse-guay","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Reverse Whirl","blurry-reverse-whirl","3 Observationally represented","D","stanford","whirl-swirl|blurry-furious","","name-only","","",""
"Blurry Symposium DLO","blurry-symposium-dlo","3 Observationally represented","D","stanford","symposium|dlo-double-down|blurry-furious","","name-only","","",""
"Blurry Symposium Eggbeater","blurry-symposium-eggbeater","3 Observationally represented","D","stanford","symposium|blurry-furious","","name-only","","",""
"Blurry Symposium Mirage (Backside Blur)","blurry-symposium-mirage-backside-blur","3 Observationally represented","D","stanford","symposium|blurry-furious","","name-only","","",""
"Blurry Symposium Reverse Whirl","blurry-symposium-reverse-whirl","3 Observationally represented","D","stanford","symposium|whirl-swirl|blurry-furious","","name-only","","",""
"Blurry Symposium Whirl (Whirlygig)","blurry-symposium-whirl-whirlygig","3 Observationally represented","D","stanford","symposium|whirl-swirl|blurry-furious","","name-only","","",""
"Blurry Voodoo","blurry-voodoo","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Zulu Blender (Odula)","blurry-zulu-blender-odula","3 Observationally represented","D","stanford","blender-torque|blurry-furious","","name-only","","",""
"Blurry Zulu Butterfly","blurry-zulu-butterfly","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Blurry Zulu Mirage","blurry-zulu-mirage","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Dragon Blurry Butterfly Dragon (Flipwalk)","dragon-blurry-butterfly-dragon-flipwalk","3 Observationally represented","D","stanford","blurry-furious|dragon-rake","","name-only","","",""
"Fairy Weaving Butterfly","fairy-weaving-butterfly","3 Observationally represented","D","stanford","fairy|weaving","","name-only","","",""
"Fairy Weaving Clipper","fairy-weaving-clipper","3 Observationally represented","D","stanford","fairy|weaving","","name-only","","",""
"Fairy Weaving Mirage","fairy-weaving-mirage","3 Observationally represented","D","stanford","fairy|weaving","","name-only","","",""
"Fairy Weaving Osis","fairy-weaving-osis","3 Observationally represented","D","stanford","fairy|weaving","","name-only","","",""
"Furious Butterfly (Jani Walker)","furious-butterfly-jani-walker","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Furious Butterfly Swirl (Tsunami)","furious-butterfly-swirl-tsunami","3 Observationally represented","D","stanford","whirl-swirl|blurry-furious","","name-only","","",""
"Furious DLO (Nebula)","furious-dlo-nebula","3 Observationally represented","D","stanford","dlo-double-down|blurry-furious","","name-only","","",""
"Furious Drifter","furious-drifter","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Furious Eggbeater (Clown Face)","furious-eggbeater-clown-face","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Furious Illusion (Fission)","furious-illusion-fission","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Furious Mirage (Fury)","furious-mirage-fury","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Furious Symposium Eggbeater (Walrus)","furious-symposium-eggbeater-walrus","3 Observationally represented","D","stanford","symposium|blurry-furious","","name-only","","",""
"Furious Symposium Mirage (Rage)","furious-symposium-mirage-rage","3 Observationally represented","D","stanford","symposium|blurry-furious","","name-only","","",""
"Furious Whirl (Genesis)","furious-whirl-genesis","3 Observationally represented","D","stanford","whirl-swirl|blurry-furious","","name-only","","",""
"Gyro Shooting Double Down (Gyro Shooting Star)","gyro-shooting-double-down-gyro-shooting-star","3 Observationally represented","D","stanford","gyro-spyro|dlo-double-down|shooting","","name-only","","",""
"Gyro Weaving Butterfly","gyro-weaving-butterfly","3 Observationally represented","D","stanford","gyro-spyro|weaving","","name-only","","",""
"High Stepping DDD (Arch Nemesis) (Furious George)","high-stepping-ddd-arch-nemesis-furious-george","3 Observationally represented","D","stanford","stepping|blurry-furious","","name-only","","",""
"Illusioning Clipper (Grifter)","illusioning-clipper-grifter","3 Observationally represented","D","stanford","","","name-only","","",""
"Illusioning Flail (Toe Massacre)","illusioning-flail-toe-massacre","3 Observationally represented","D","stanford","","","name-only","","",""
"Illusioning Legover (Eggbeater)","illusioning-legover-eggbeater","3 Observationally represented","D","stanford","","","name-only","","",""
"Illusioning Osis (Flux)","illusioning-osis-flux","3 Observationally represented","D","stanford","","","name-only","","",""
"Illusioning Symposium Mirage (Slaughter)","illusioning-symposium-mirage-slaughter","3 Observationally represented","D","stanford","symposium","","name-only","","",""
"Nuclear Butterfly (Matador)","nuclear-butterfly-matador","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear DDD (Cold Fusion) (Geesha)","nuclear-ddd-cold-fusion-geesha","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear DLO (Terminator)","nuclear-dlo-terminator","3 Observationally represented","D","stanford","dlo-double-down|blurry-furious","","name-only","","",""
"Nuclear Drifter (69)","nuclear-drifter-69","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear Ducking Mirage (Sumo Thong)","nuclear-ducking-mirage-sumo-thong","3 Observationally represented","D","stanford","ducking|blurry-furious","","name-only","","",""
"Nuclear Osis (Nucleosis) (Aeon Flux) (Paradox Flux)","nuclear-osis-nucleosis-aeon-flux-paradox-flux","3 Observationally represented","D","stanford","blurry-furious|paradox","","name-only","","",""
"Nuclear ss Butterfly (Barfry)","nuclear-ss-butterfly-barfry","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear ss Dyno (Godzilla)","nuclear-ss-dyno-godzilla","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear ss Guay","nuclear-ss-guay","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear ss Illusion","nuclear-ss-illusion","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear ss Legover","nuclear-ss-legover","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear ss Mirage","nuclear-ss-mirage","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear ss Pickup","nuclear-ss-pickup","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear ss Reverse Guay","nuclear-ss-reverse-guay","3 Observationally represented","D","stanford","blurry-furious","","name-only","","",""
"Nuclear ss Reverse Whirl","nuclear-ss-reverse-whirl","3 Observationally represented","D","stanford","whirl-swirl|blurry-furious","","name-only","","",""
