"family_slug","axis","description","sample_members","approx_member_count","source","observational_status"
"clipper-start","contact-position","Tricks whose operational notation opens with Clip as the first contact.","Barrage, Barfly, Barfry, Bling Blang","188 (FM corpus first-token frequency)","OPERATIONAL_NOTATION_GRAMMAR + master","observational"
"set-start","contact-position","Tricks whose operational notation opens with Set (generic set surface; bracket-style notation primarily).","Butterfly, Flail","4-10 (bracketed-style rows)","OPERATIONAL_NOTATION_GRAMMAR + master","observational"
"toe-ending","contact-position","Tricks whose final contact lands on a toe (Op Toe or Same Toe with DEL flag).","Atomsmasher, Mirage, Whirl, Blaze","majority of non-XBD compounds","OPERATIONAL_NOTATION_GRAMMAR + master","observational"
"clipper-ending","contact-position","Tricks whose final contact lands on a clipper (Op Clip or Same Clip with XBD+DEL).","Butterfly, Phoenix, Alex Zerbe, Ripwalk","many; clip-finish + xbd-finish combined","OPERATIONAL_NOTATION_GRAMMAR + master","observational"
"flapper-ending","contact-position","Tricks whose final contact lands on a flapper surface (UNS class).","Buttersole, Ricochet","3 (UNS family)","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"recursive-set-name","compositional","Tricks whose operational notation begins with another canonical trick name as the substructure (substructure-as-set).","Dragonstein (Dragon-prefix), Arcwalk (Frigidosis-prefix)","2 known patterns (Dragon 8x, Frigidosis 3x in FM corpus)","SYMBOLIC_GRAMMAR_MASTER unresolved-token analysis","observational"
"same-side-execution","positional","Tricks whose execution holds same-side body direction throughout (ss qualifier in records sort_name; ss=+0 per pt12).","sidewalk, parkwalk, ripstein (double swirl ss), dada-curve","many (54-row same-side display-suffix cohort in records)","SYMBOLIC_GRAMMAR + records sort_name","observational"
"cross-body-xbd","positional","Tricks whose final contact carries the XBD (cross-body) component flag (recovery surface on the opposite side from the plant foot).","butterfly, ripwalk, sidewalk, dimwalk, parkwalk, phoenix","228 XBD-tagged beats in FM corpus","OPERATIONAL_NOTATION_GRAMMAR + master","observational"
"no-plant-while-symposium","temporal","Tricks whose notation contains the (no plant while) pre-state flag (symposium-style; support leg held off-ground during specified beat).","Alex Zerbe is the greatest, montage, superfly","load-bearing in symposium-family rows","OPERATIONAL_NOTATION_GRAMMAR + SCALE","observational"
"rooted-pre-state","temporal","Tricks whose notation contains the (rooted) pre-state flag (held-position; no support-leg plant per pt8).","Railwalk, +2 other rows in FM corpus","3 known rows; pt8 rooted=0-ADD set","OPERATIONAL_NOTATION_GRAMMAR","observational"
"directional-reverse","positional","Tricks marked as reverse-direction variants of an anchor row (direction-is-structural rule).","reverse-drifter, rev-whirl, rev-up","3+ pilot pairs","SCALE pilot cohort data","observational"
"productive-multiplicity-stabilized","compositional","Tricks marked as 'double X' or 'triple X' that have been community-stabilized as canonical rows per pt8 (multiplicity policy §10).","double-leg-over, double-around-the-world, double-spin","3 stabilized exceptions","pt8 CANONICALIZATION_POLICY §10","observational"
"stated-ADD-without-structure","compositional","Tricks whose asserted ADD does not reduce cleanly to a modifier+base arithmetic; per CANONICALIZATION_POLICY §3.2 stated-ADD-without-stated-structure class.","nemesis, jani-walker, bullwhip","3 published exemplars at pilot tier","CANONICALIZATION_POLICY §3.2","observational"
