slug,canonical_name,adds,category,is_core,has_notation,has_op_notation,gap_status,reason
reverse-around-the-world,reverse around the world,2,dex,0,n,n,resolved,Sprint 2 (2026-05-18): pt-ruled / positional / multi-operator / folk-name resolution (see freestyleResolvedFormulas.ts)
sailing,sailing,2,set,0,y,n,resolved,notation present
sole-stall,sole stall,2,surface,0,n,y,resolved,notation present
squeeze,squeeze,2,,0,y,y,resolved,notation present
surging,surging,2,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
walk-over,walk over,2,body,0,y,n,resolved,notation present
barrage,barrage,3,,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
butterfly,butterfly,3,compound,1,y,n,resolved,notation present
cross-body-sole-stall,cross-body sole stall,3,surface,0,n,n,intentionally_atomic,surface stall — single primitive; no compositional formula
double-around-the-world,double around the world,3,dex,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
double-leg-over,double leg over,3,compound,0,y,n,resolved,notation present
drifter,drifter,3,compound,0,y,n,resolved,notation present
ducking-clipper,ducking clipper,3,compound,0,n,n,resolved,Sprint 2 (2026-05-18): pt-ruled / positional / multi-operator / folk-name resolution (see freestyleResolvedFormulas.ts)
eclipse,eclipse,3,compound,0,y,n,resolved,notation present
eggbeater,eggbeater,3,compound,0,n,n,resolved,Sprint 2 (2026-05-18): pt-ruled / positional / multi-operator / folk-name resolution (see freestyleResolvedFormulas.ts)
flail,flail,3,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
legeater,legeater,3,compound,0,y,y,resolved,notation present
magellan,magellan,3,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
merkon,merkon,3,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
omelette,omelette,3,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
osis,osis,3,compound,1,y,n,resolved,notation present
paradox-mirage,paradox mirage,3,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
paste,paste,3,compound,0,y,y,resolved,notation present
reaper,reaper,3,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
refraction,refraction,3,dex,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
rev-up,rev up,3,dex,0,n,n,resolved,Sprint 3 (2026-05-18): positional reverse on whirl base (see freestyleResolvedFormulas.ts; curator-uncertainty note flagged)
rev-whirl,rev whirl,3,dex,0,n,n,resolved,Sprint 2 (2026-05-18): pt-ruled / positional / multi-operator / folk-name resolution (see freestyleResolvedFormulas.ts)
reverse-drifter,reverse-drifter,3,dex,0,y,n,resolved,notation present
scrambled-eggbeater,scrambled eggbeater,3,compound,0,y,y,resolved,notation present
shooting,shooting,3,set,0,y,n,resolved,notation present
smear,smear,3,compound,0,y,n,resolved,notation present
smudge,smudge,3,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
spinning-clipper,spinning clipper,3,compound,0,n,n,resolved,Sprint 2 (2026-05-18): pt-ruled / positional / multi-operator / folk-name resolution (see freestyleResolvedFormulas.ts)
swirl,swirl,3,dex,1,y,n,resolved,notation present
symposium-mirage,symposium mirage,3,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
tap,tap,3,compound,0,y,y,resolved,notation present
terraging,terraging,3,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
whirl,whirl,3,dex,1,y,n,resolved,notation present
assassin,assassin,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
atom-smasher,atom smasher,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
atomic-butterfly,atomic butterfly,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
barfly,barfly,4,compound,0,y,y,resolved,notation present
blender,blender,4,compound,0,y,n,resolved,notation present
blur,blur,4,compound,0,y,y,resolved,notation present
dada-curve,dada curve,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
dimwalk,dimwalk,4,compound,0,n,n,resolved,Sprint 2 (2026-05-18): pt-ruled / positional / multi-operator / folk-name resolution (see freestyleResolvedFormulas.ts)
ducking-butterfly,ducking butterfly,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
ducking-osis,ducking osis,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
ducking-whirl,ducking whirl,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
dyno,dyno,4,compound,0,y,n,resolved,notation present
flurry,flurry,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
hatchet,hatchet,4,compound,0,y,y,resolved,notation present
haze,haze,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
high-plains-drifter,high-plains-drifter,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
mantis,mantis,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
nova,nova,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
paradon,paradon,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
paradox-drifter,paradox drifter,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
paradox-whirl,paradox whirl,4,compound,0,y,n,resolved,notation present
parkwalk,parkwalk,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
pigbeater,pigbeater,4,compound,0,y,y,resolved,notation present
ripstein,ripstein,4,compound,0,y,n,resolved,notation present
ripwalk,ripwalk,4,compound,0,y,n,resolved,notation present
royale,royale,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
sidewalk,sidewalk,4,compound,0,y,n,resolved,notation present
smog,smog,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
smoke,smoke,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
spinning-butterfly,spinning butterfly,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
spinning-osis,spinning osis,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
spinning-whirl,spinning whirl,4,compound,0,y,n,resolved,notation present
stepping-osis,stepping osis,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
stepping-whirl,stepping whirl,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
symposium-whirl,symposium whirl,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
tapdown,tapdown,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
tapping-whirl,tapping whirl,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
terrage,terrage,4,,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
tombstone,tombstone,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
torque,torque,4,compound,0,y,n,resolved,notation present
tripwalk,tripwalk,4,compound,0,y,y,resolved,notation present
vortex,vortex,4,compound,0,y,n,resolved,notation present
whirling-swirl,whirling swirl,4,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
witchdoctor,witchdoctor,4,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
barraging-osis,barraging osis,5,compound,0,n,n,wave2_blocked,Wave 2 barraging operator class question
bigwalk,bigwalk,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
blurriest,blurriest,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
blurry-whirl,blurry whirl,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
bullwhip,bullwhip,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
fog,fog,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
fury,fury,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
fusion,fusion,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
grave-digger,grave digger,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
jani-walker,jani walker,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
matador,matador,5,compound,0,y,y,resolved,notation present
mobius,mobius,5,compound,0,y,n,resolved,notation present
paradox-blender,paradox blender,5,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
paradox-symposium-whirl,paradox symposium whirl,5,compound,0,n,n,resolved,Sprint 2 (2026-05-18): pt-ruled / positional / multi-operator / folk-name resolution (see freestyleResolvedFormulas.ts)
paradox-torque,paradox torque,5,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
phoenix,phoenix,5,compound,0,y,y,resolved,notation present
plasma,plasma,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
spinal-tap,spinal tap,5,compound,0,y,y,resolved,notation present
spinning-symposium-whirl,spinning symposium whirl,5,compound,0,y,n,resolved,notation present
spinning-torque,spinning torque,5,compound,0,n,n,resolved,Sprint 1 (2026-05-18): published as +1 stack on settled base (see freestyleResolvedFormulas.ts)
sumo,sumo,5,compound,0,y,n,resolved,notation present
superfly,superfly,5,compound,0,y,n,resolved,notation present
surge,surge,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
tomahawk,tomahawk,5,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
atomic-torque,atomic torque,6,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
big-apple,big apple,6,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
blurry-torque,blurry torque,6,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
food-processor,food processor,6,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
mind-bender,mind bender,6,compound,0,y,y,resolved,notation present
mullet,mullet,6,compound,0,y,y,resolved,notation present
nemesis,nemesis,6,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
spender,spender,6,compound,0,y,y,resolved,notation present
surgery,surgery,6,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
surreal,surreal,6,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
venom,venom,6,compound,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
gauntlet,gauntlet,7,compound,0,y,n,resolved,notation present
montage,montage,7,compound,0,y,y,resolved,notation present
barraging,barraging,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
blazing,blazing,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
ducking,ducking,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
gyro,gyro,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
paradox,paradox,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
spinning,spinning,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
stepping,stepping,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
symposium,symposium,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
tapping,tapping,,modifier,0,n,n,intentionally_atomic,modifier — no own formula; contributes via operators to compound bases
