trick_name,source,claimed_formula_or_description,claimed_add,reason_not_in_ifpa_dictionary,status,next_step
Nuclear Legover (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Nuclear Mirage (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Nuclear Pickup,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Nuclear Pickup (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Osmosis,footbagmoves,Slapping Osis,4,curator review needed,missing_needs_curator,curator_review
Park Avenue,footbagmoves,Fairy ss Butterfly,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Pdx DLO,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Phase,footbagmoves,Phasing ss Mirage,4,curator review needed,missing_needs_curator,curator_review
Pixie Drifter (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Ducking Legover,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Ducking Mirage,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Ducking Pickup,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Eggbeater,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Symposium Illusion,footbagmoves,Pixie Flail,4,curator review needed,missing_needs_curator,curator_review
Pixie Symposium Illusion (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Symposium Mirage,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Symposium Mirage (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Double Switchover (far),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Dragster,footbagmoves,Miraging Dragon,3,curator review needed,missing_needs_curator,curator_review
Ducking Illusion,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Ducking Legover,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Ducking Mirage,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Ducking Pickup,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Fairy Illusion (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Fairy Legover,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Fairy Legover (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Fairy Mirage (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Fairy Pickup,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Far Reverse Whirl,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Fear,footbagmoves,Fairy Mirage,3,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Firefly,footbagmoves,Butterfly Dragon,3,curator review needed,missing_needs_curator,curator_review
Fudge,footbagmoves,Fairy Illusion,3,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Grifter,footbagmoves,Reverse Drifter,3,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Grifter (same side),footbagmoves,Reverse Drifter,3,curator review needed,missing_needs_curator,curator_review
Gyro Clipper,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Gyro Illusion,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Gyro Mirage,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Icon,footbagmoves,Inspinning Legover,3,curator review needed,missing_needs_curator,curator_review
Inspinning Clipper,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Inspinning Osis,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Nallegam,footbagmoves,Fairy Pickup (same side),3,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Osis (far),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Osis (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Pandora`s Box,footbagmoves,Gyro Pickup,3,curator review needed,missing_needs_curator,curator_review
Parallax,footbagmoves,Gyro Legover,3,curator review needed,missing_needs_curator,curator_review
Pdx Illusion,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Pixie Illusion (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Pixie Legover,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Pixie Mirage (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Pixie Pickup,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Pixie Pickup (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Quantum Illusion,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Quantum Illusion (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Quantum Legover,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Quantum Legover (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Quantum Mirage,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Quantum Mirage (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Quantum Pickup (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Rake,footbagmoves,,3,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Red Ribbon,footbagmoves,Zulu Clipper,3,curator review needed,missing_needs_curator,curator_review
Reverse Whirl (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Shmoe,footbagmoves,Stepping Legover,3,curator review needed,missing_needs_curator,curator_review
Snapdragon,footbagmoves,Reverse Swirl Dragon,3,curator review needed,missing_needs_curator,curator_review
Spinning Pickup,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Spitfire,footbagmoves,Swirl Dragon,3,curator review needed,missing_needs_curator,curator_review
Stepping Clipper (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Stepping far Clipper,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Stepping Legover (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Stepping Pickup,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Stepping Pickup (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symp Illusion,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symp Illusion (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symp Mirage,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symp Mirage,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symp Mirage (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symple Butterfly,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symple Butterfly (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symple Reverse Swirl (far),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symple Reverse Swirl (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symple Swirl (far),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Symple Swirl (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Weaving Clipper,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Weaving Legover,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Weaving Pickup,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Whirl (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Zulu Legover,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Zulu Pickup,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Pixie Whirl,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pixie Whirl (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
PS Illusion,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
PS Mirage,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Pteradon,footbagmoves,Toe set os Double Over Down Dragon,4,curator review needed,missing_needs_curator,curator_review
Puck,footbagmoves,Pixie Ducking Legover,4,curator review needed,missing_needs_curator,curator_review
Quagmire,footbagmoves,Quantum Gyro Mirage,4,curator review needed,missing_needs_curator,curator_review
Quantum Butterfly (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Quantum Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Reverse Swirling Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Reverse Whirling Rake,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Revstein,footbagmoves,Double Reverse Swirl,4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Slap,footbagmoves,Slapping Mirage,4,curator review needed,missing_needs_curator,curator_review
Slapdown,footbagmoves,Slapping Butterfly,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Spinning Ducking Clipper,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Spinning Pdx Illusion,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Spinning Pdx Mirage,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Stepping Eggbeater (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Stepping Illusion (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Stepping Mirage (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Stepping Osis (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Swifter,footbagmoves,Drifter Swirl,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Symp Whirl,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Symp Whirl,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Symp Whirl (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Symposium Eggbeater,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Tap Dance,footbagmoves,Pixie ss Original Tap,4,curator review needed,missing_needs_curator,curator_review
Tapdown,footbagmoves,Tapping Butterfly,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Torus,footbagmoves,Fyro Mirage,4,curator review needed,missing_needs_curator,curator_review
Tremor,footbagmoves,Tapping Drifter,4,curator review needed,missing_needs_curator,curator_review
Triple ATW in-out,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Triple ATW out-in,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Twirl,footbagmoves,Reverse Swirling Osis,4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Wahnsinn,footbagmoves,Pixie Ducking Spinning Toe,4,curator review needed,missing_needs_curator,curator_review
Weaving Butterfly,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Weaving Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Weaving Whirl,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Whale Tail,footbagmoves,Surging Legover,4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
What!?,footbagmoves,Butterflying Symposium Reverse Swirling Toe,4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Whirling far Butterfly,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Whirling pdx Mirage,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Whirling Rake,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Whirr,footbagmoves,Double Whirl,4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Zig Zag,footbagmoves,Swirling Reverse Swirl,4,curator review needed,missing_needs_curator,curator_review
Zipwalk,footbagmoves,Zipper Stepping Op Butterfly Zipper,4,curator review needed,missing_needs_curator,curator_review
Zulu Le Loup,footbagmoves,Zulu Butterfly,4,curator review needed,missing_needs_curator,curator_review
Zulu Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Trixie,footbagmoves,Triple Pixie,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Trochus,footbagmoves,Atomic Flail,5,curator review needed,missing_needs_curator,curator_review
Tutifruti,footbagmoves,Frootie Legover,5,curator review needed,missing_needs_curator,curator_review
Vertigo,footbagmoves,Ducking Paradox Drifter,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Wentletrappe,footbagmoves,Fyro Double Legover,5,curator review needed,missing_needs_curator,curator_review
Whirlwalk,footbagmoves,Blazing Paradox Whirl,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Whisk,footbagmoves,Paradox Symposium Eggbeater,5,curator review needed,missing_needs_curator,curator_review
Yoda,footbagmoves,Pixie Quantum Butterfly,5,curator review needed,missing_needs_curator,curator_review
Zulu Whirl,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
69,footbagmoves,Nuclear Drifter,6,curator review needed,missing_needs_curator,curator_review
Anoxia,footbagmoves,Spinning Ducking Paradox Symposium Mirage,6,curator review needed,missing_needs_curator,curator_review
Arch Nemesis,footbagmoves,Barraging ss Double Double Down,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Atom Bomb,footbagmoves,Flailing Symposium Mirage,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Big Apple,footbagmoves,Gyro Symposium Torque,6,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Bill & Ted`s Bogus Journey,footbagmoves,Flailing ss Symposium Double Legover,6,curator review needed,missing_needs_curator,curator_review
Blurrage,footbagmoves,Blurry Barrage,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Colossus,footbagmoves,Spyro Diving Symposium Whirl,6,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Compound Fracture,footbagmoves,Railing ss Double Legover,6,curator review needed,missing_needs_curator,curator_review
Cristal,footbagmoves,Quantum Ducking Whirl,6,curator review needed,missing_needs_curator,curator_review
Croissant,footbagmoves,Pixie Symposium Whirling Swirl,6,curator review needed,missing_needs_curator,curator_review
Cyborg,footbagmoves,Stepping Ducking Far Butterfly Swirl,6,curator review needed,missing_needs_curator,curator_review
Dorshatrix,footbagmoves,Railing Mirage,6,curator review needed,missing_needs_curator,curator_review
Downward Spiral,footbagmoves,Phasing ss Dyno,6,curator review needed,missing_needs_curator,curator_review
Dwirl,footbagmoves,Double Twirl,6,curator review needed,missing_needs_curator,curator_review
Ego,footbagmoves,Atomic Ducking Whirl,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fairy Tale,footbagmoves,Fairy Spinning Double Over Down,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fender Bender,footbagmoves,Fairy Ducking Blender,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fission,footbagmoves,Furious Illusion,6,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Forquelift,footbagmoves,Fairy Ducking Torque,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Gary Coleman,footbagmoves,Atomic Symposium Whirl,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Golden Shower,footbagmoves,Blurry Ducking Eggbeater,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Heart,footbagmoves,Pixie Quantum Double Over Down Swirl,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Ill Frenzy,footbagmoves,Frootie Illusion,6,curator review needed,missing_needs_curator,curator_review
Irish Cream,footbagmoves,Neutron Torque,6,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Johny Vodka,footbagmoves,Pyro Torque,6,curator review needed,missing_needs_curator,curator_review
Juno Reactor,footbagmoves,Sailing Whirl,6,curator review needed,missing_needs_curator,curator_review
Kill Frenzy,footbagmoves,Frootie Mirage,6,curator review needed,missing_needs_curator,curator_review
Kiss Of The Scorpion,footbagmoves,Pixie Spinning Double Over Down,6,curator review needed,missing_needs_curator,curator_review
Kiwi,footbagmoves,Tapping Double Over Down,6,not enough evidence,missing_insufficient_evidence,leave_or_pill
Leviathan,footbagmoves,Stepping Ducking Far Double Over Down,6,curator review needed,missing_needs_curator,curator_review
Locomotion,footbagmoves,Stepping Far Motion,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Maelstrom,footbagmoves,Spinning Ducking Paradox Whirl,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Massacre,footbagmoves,Bubba Paradox Flail,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Moby Dick,footbagmoves,Gyro Torquescrew,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Mofly,footbagmoves,Miraging Symposium Double Over Down,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Morpheus,footbagmoves,Spinning Ducking Paradox Drifter,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Motion Sickness,footbagmoves,Spinning Motion,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Omelette Du Fromage,footbagmoves,Railing Illusion,6,curator review needed,missing_needs_curator,curator_review
Orpheus,footbagmoves,Toe set ss Triple Over Down,6,curator review needed,missing_needs_curator,curator_review
Paratoxic,footbagmoves,Paradox Toxic,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Phobia,footbagmoves,Fyro Torque,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Quark,footbagmoves,Quantum Torque,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Raildown,footbagmoves,Railing ss Butterfly,6,curator review needed,missing_needs_curator,curator_review
Railwalk,footbagmoves,Railing Butterfly,6,curator review needed,missing_needs_curator,curator_review
Ropaduleo,footbagmoves,Railing Ducking Legover,6,curator review needed,missing_needs_curator,curator_review
S&M Smasher,footbagmoves,Atomic Barrage,6,curator review needed,missing_needs_curator,curator_review
Slapstick,footbagmoves,Pixie Spinning Paradox Whirl,6,curator review needed,missing_needs_curator,curator_review
Smashwalk,footbagmoves,Atomic Miraging Butterfly,6,curator review needed,missing_needs_curator,curator_review
Stepping Ducking DLO,footbagmoves,,6,formula unclear,missing_insufficient_evidence,curator_review
Stepping Pdx Torque,footbagmoves,,6,formula unclear,missing_insufficient_evidence,curator_review
Sumo Thong,footbagmoves,Nuclear Ducking Mirage,6,curator review needed,missing_needs_curator,curator_review
Superduperfly,footbagmoves,Spinning Symposium Double Over Down,6,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Terminator,footbagmoves,Nuclear Double Legover,6,curator review needed,missing_needs_curator,curator_review
Timberwulff,footbagmoves,Leaning Torque,6,curator review needed,missing_needs_curator,curator_review
Tofu,footbagmoves,Quantum Blender,6,curator review needed,missing_needs_curator,curator_review
Torch-r Rack,footbagmoves,Stepping Superfly,6,curator review needed,missing_needs_curator,curator_review
Triadon,footbagmoves,Toe set os Triple Over Down,6,curator review needed,missing_needs_curator,curator_review
Triage,footbagmoves,Triple Mirage,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Trifly,footbagmoves,Far Triple Over Down,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Tunguska,footbagmoves,Atomic Ducking Double Legover,6,curator review needed,missing_needs_curator,curator_review
Voodoo,footbagmoves,Paradox Merlin,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Whirlygig,footbagmoves,Blurry Symposium Whirl,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Wookie,footbagmoves,Pixie Wonton Butterfly,6,curator review needed,missing_needs_curator,curator_review
84,footbagmoves,Wiggle Butterfly,5,curator review needed,missing_needs_curator,curator_review
Aeon Flux,footbagmoves,Nuclear Osis,5,curator review needed,missing_needs_curator,curator_review
Amadeus,footbagmoves,Gyro Dada Curve,5,curator review needed,missing_needs_curator,curator_review
Arachnophobia,footbagmoves,Stepping Diving Double Legover,5,curator review needed,missing_needs_curator,curator_review
Atomic DLO,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Atomic Drifter,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Avalanche,footbagmoves,Stepping Ducking Pdx Illusion,5,curator review needed,missing_needs_curator,curator_review
Bedwetter,footbagmoves,Blurry Eggbeater,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Blacula,footbagmoves,Symposium Double Over Down,5,curator review needed,missing_needs_curator,curator_review
