slug,source,external_name,ifpa_add,external_add,delta,operator_tokens,governing_rule,difference_type,severity,recommended_action,slice_q_category,slice_q_action,slice_q_notes,pending_red,curator_action,notes
atomic,ifpa-internal,,2,,,ATOMIC,,unresolved-tokens,medium,defer; needs operator definition for: atomic,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_self_atom [unresolved: atomic]
stepping,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
gyro,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
tapping,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
blazing,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
barraging,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
toe-stall,ifpa-internal,,1,,,TOE|STALL,,unresolved-tokens,medium,"defer; needs operator definition for: toe,stall",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: toe,stall]"
heel-stall,ifpa-internal,,1,,,HEEL|STALL,,unresolved-tokens,medium,"defer; needs operator definition for: heel,stall",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: heel,stall]"
outside-stall,ifpa-internal,,1,,,OUTSIDE|STALL,,unresolved-tokens,medium,"defer; needs operator definition for: outside,stall",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: outside,stall]"
flying-inside,ifpa-internal,,1,,,FLYING|INSIDE,,unresolved-tokens,medium,"defer; needs operator definition for: flying,inside",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: flying,inside]"
flying-outside,ifpa-internal,,1,,,FLYING|OUTSIDE,,unresolved-tokens,medium,"defer; needs operator definition for: flying,outside",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: flying,outside]"
hop-over,ifpa-internal,,2,,,HOP|OVER,,unresolved-tokens,medium,"defer; needs operator definition for: hop,over",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: hop,over]"
double-spin,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
walk-over,ifpa-internal,,2,,,WALK|OVER,,unresolved-tokens,medium,"defer; needs operator definition for: walk,over",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: walk,over]"
spyro,ifpa-internal,,1,,,SPYRO,,unresolved-tokens,medium,defer; needs operator definition for: spyro,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: spyro]
surging,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
sidewalk,ifpa-internal,,4,,,SIDEWALK,,unresolved-tokens,medium,defer; needs operator definition for: sidewalk,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: sidewalk]
tombstone,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
fury,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
vortex,ifpa-internal,,4,,,VORTEX,,unresolved-tokens,medium,defer; needs operator definition for: vortex,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: vortex]
quantum,ifpa-internal,,2,,,QUANTUM,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,policy_dependent
merkon,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
terrage,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
barrage,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
royale,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
ripstein,ifpa-internal,,4,,,RIPSTEIN,,unresolved-tokens,medium,defer; needs operator definition for: ripstein,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: ripstein]
flail,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
omelette,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
sumo,ifpa-internal,,5,,,SUMO,,unresolved-tokens,medium,defer; needs operator definition for: sumo,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: sumo]
flying-clipper,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
inside-stall,ifpa-internal,,1,,,INSIDE|STALL,,unresolved-tokens,medium,"defer; needs operator definition for: inside,stall",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: inside,stall]"
clipper-stall,ifpa-internal,,2,,,CLIPPER|STALL,,unresolved-tokens,medium,defer; needs operator definition for: stall,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_self_atom [unresolved: stall]
dragonfly-kick,ifpa-internal,,2,,,DRAGONFLY|KICK,,unresolved-tokens,medium,"defer; needs operator definition for: dragonfly,kick",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: dragonfly,kick]"
dada-curve,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
knee-stall,ifpa-internal,,1,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
sole-stall,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
cloud-stall,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
forehead-stall,ifpa-internal,,1,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
neck-stall,ifpa-internal,,1,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
cross-body-sole-stall,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
symposium-mirage,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
squeeze,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
spin,ifpa-internal,,1,,,SPIN,,unresolved-tokens,medium,defer; needs operator definition for: spin,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: spin]
pendulum,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
whirling-swirl,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
bigwalk,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
surge,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
surreal,ifpa-internal,,6,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
surgery,ifpa-internal,,6,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
venom,ifpa-internal,,6,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
dyno,ifpa-internal,,4,,,DYNO,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
paradon,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
high-plains-drifter,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
reaper,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
magellan,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
witchdoctor,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
furious,ifpa-internal,,2,,,FURIOUS,,unresolved-tokens,medium,defer; needs operator definition for: furious,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_self_atom [unresolved: furious]
pogo,ifpa-internal,,0,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
terraging,ifpa-internal,,3,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
illusioning,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
reverse-drifter,ifpa-internal,,3,,,REV|DRIFTER,,unresolved-tokens,medium,defer; needs operator definition for: rev,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,exact_modifier_derived [unresolved: rev]
refraction,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
knee-clipper,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
shooting,ifpa-internal,,3,,,SHOOTING,,unresolved-tokens,medium,defer; needs operator definition for: shooting,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_self_atom [unresolved: shooting]
smudge,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
smog,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
haze,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
head-stall,ifpa-internal,,1,,,HEAD|STALL,,unresolved-tokens,medium,"defer; needs operator definition for: head,stall",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: head,stall]"
shoulder-stall,ifpa-internal,,1,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
bullwhip,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
nemesis,ifpa-internal,,6,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
gauntlet,ifpa-internal,,7,,,STEPPING|DUCKING|PARADOX|TORQUE,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
sole-kick,ifpa-internal,,1,,,SOLE|KICK,,unresolved-tokens,medium,"defer; needs operator definition for: sole,kick",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: sole,kick]"
smoke,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
plasma,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
grave-digger,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
jani-walker,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
rooted,ifpa-internal,,0,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
cloud-kick,ifpa-internal,,1,,,CLOUD|KICK,,unresolved-tokens,medium,"defer; needs operator definition for: cloud,kick",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"exact_self_atom [unresolved: cloud,kick]"
sailing,ifpa-internal,,2,,,SAILING,,unresolved-tokens,medium,defer; needs operator definition for: sailing,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: sailing]
tap,ifpa-internal,,3,,,TAPPING|MIRAGE,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
paste,ifpa-internal,,3,,,PIXIE|PICKUP,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
hatchet,ifpa-internal,,4,,,DIVING|WHIRL,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
pigbeater,ifpa-internal,,4,,,PIXIE|EGGBEATER,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
montage,ifpa-internal,,7,,,SPINNING|DUCKING|PARADOX|SYMPOSIUM|WHIRL,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
mullet,ifpa-internal,,6,,,DUCKING|PARADOX|SYMPOSIUM|WHIRL,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
spender,ifpa-internal,,6,,,SPINNING|PARADOX|BLENDER,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
scrambled-eggbeater,ifpa-internal,,3,,,ATOMIC|PICKUP,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
matador,ifpa-internal,,5,,,NUCLEAR|BUTTERFLY,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
phoenix,ifpa-internal,,5,,,PIXIE|DUCKING|BUTTERFLY,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
mind-bender,ifpa-internal,,6,,,DUCKING|PARADOX|BLENDER,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
tripwalk,ifpa-internal,,4,,,QUANTUM|BUTTERFLY,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
legeater,ifpa-internal,,3,,,QUANTUM|PICKUP,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
spinal-tap,ifpa-internal,,5,,,TAPPING|TORQUE,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
hurl,fm,Hurl,5,4,-1,Nuclear|ss|Whirl,SS=+0 universal (Red 2026-05-11),fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (Red 2026-05-11)',false,,matrix_disposition: federation_math_divergence; Case A from RED_PT12_SS_SEMANTICS.md. Folk-alias treatment: do not adopt FM=4 into IFPA. No IFPA dictionary row to updat
barfry,fm,Barfry,5,4,-1,Nuclear|ss|Butterfly,SS=+0 universal (Red 2026-05-11),fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (Red 2026-05-11)',false,,matrix_disposition: federation_math_divergence; Case B from RED_PT12_SS_SEMANTICS.md (pt12 item 4). Curated fm_alias_terminology_extract.csv lists 'Nuclear far Butterfl
godzilla,fm,Godzilla,6,5,-1,Nuclear|ss|Dyno,SS=+0 universal (Red 2026-05-11),fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (Red 2026-05-11)',false,,matrix_disposition: federation_math_divergence; Newly surfaced by SS resolution pass. Matches Hurl/Barfry -1 delta pattern. Not in original packet.
