candidate_name,source,proposed_formula,proposed_base_trick,proposed_modifiers,proposed_add,reason_safe,multi_source_evidence,notes
Reactor,footbagmoves,Atomic Whirl,whirl,atomic|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Ripcurl,footbagmoves,Stepping Butterfly Swirl,swirl,stepping|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Riptide,footbagmoves,Stepping Far Butterfly Swirl,swirl,stepping|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Whirlwalk,footbagmoves,Blazing Paradox Whirl,whirl,whirling|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Assassin,footbagmoves,Pixie Ducking Mirage,mirage,pixie|ducking|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Blaze,footbagmoves,Blazing Mirage,mirage,whirling|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Big Apple,footbagmoves,Gyro Symposium Torque,mobius,spinning|paradox|symposium|symposium,6,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Colossus,footbagmoves,Spyro Diving Symposium Whirl,whirl,spinning|diving|paradox|symposium,6,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Assassin,footbagmoves,Pixie Mirage (op) (ducking),mirage,pixie|ducking|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Bladerunner,footbagmoves,Atomic Eggbeater (op),eggbeater,atomic,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Motion,footbagmoves,Motion (op),osis,double|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Motion,footbagmoves,Motion (op),osis,double|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Motion,footbagmoves,Motion (op),osis,double|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Swifter,footbagmoves,Stepping Swirl (op),swirl,stepping|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Swifter,footbagmoves,Stepping Swirl (op),swirl,stepping|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Whirlygig,footbagmoves,Stepping Whirl (op) (symp),whirl,stepping|paradox|symposium,6,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Armaggedon,passback,Miraging Symp. Eggbeater,eggbeater,miraging|symposium,3,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Assassin,passback,Pixie Ducking far Mirage,mirage,pixie|ducking|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Badger,passback,Symp. Butterfly Swirl,swirl,symposium,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Bedwetter,passback,Stepping far Eggbeater,eggbeater,stepping|paradox,3,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Big Apple,passback,"Spinning near Symp. Torque, Symp. Mobius",mobius,spinning|paradox|symposium|symposium,1,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Bladerunner,passback,Atomic far Eggbeater,eggbeater,atomic,3,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Blaze,passback,Whirling far Mirage,mirage,whirling|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Blizzard,passback,Stepping far Illusion,illusion,stepping|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Colossus,passback,Spinning Diving near Symp. Whirl,whirl,spinning|diving|paradox|symposium,1,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Darkwalk,passback,Pixie Diving near Butterfly,butterfly,pixie|diving|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Flare,passback,Symp. Whirling far Mirage,mirage,symposium|whirling|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
"GDLO (""gee-dee-ell-oh"")",passback,Gyro DLO,double-leg-over,gyro,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Golden Shower,passback,Stepping Ducking far Symp. Eggbeater,eggbeater,stepping|ducking|paradox|symposium,3,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
GYBAS/Grab Your Balls and Squeeze,passback,Stepping far Dyno,dyno,stepping|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Irish Cream,passback,"Atomic Gyro Torque, Tapping Mobius",mobius,atomic|gyro|tapping,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Johnny Vodka,passback,Pixie Mobius,mobius,pixie,,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Mantis,passback,Spinning near Eggbeater,eggbeater,spinning|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Motion,passback,Double Down near Osis,osis,double|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Nova,passback,Symp. DLO,double-leg-over,symposium,,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Pandora's Box,passback,Gyro Pickup,pickup,gyro,1,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Predator,passback,Atomic far DLO,double-leg-over,atomic|paradox,3,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Reactor,passback,Atomic far Whirl,whirl,atomic|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Ripcurl,passback,"Stepping near Butterfly Swirl, Sidewalk Swirl",swirl,stepping|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Riptide,passback,"Stepping far Butterfly Swirl, Ripwalk Swirl",swirl,stepping|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Schmoe,passback,Stepping near Legover,legover,stepping|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Slapdown,passback,Quantum near Butterfly,butterfly,quantum|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Spikehammer,passback,Stepping Ducking Mirage,mirage,stepping|ducking,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Swifter,passback,Stepping far Swirl,swirl,stepping|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Twist,passback,Rev. Swirl,swirl,rev,1,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Whirlwalk,passback,Whirling far Whirl,whirl,whirling|paradox,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Whirlygig,passback,Stepping far Symp. Whirl,whirl,stepping|paradox|symposium,2,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Bladerunner,passback,Atomic Eggbeater,eggbeater,atomic,,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
