candidate_slug,external_name,source,alternate_names,technical_name,dex_count,ifpa_match,slice_r_category,confidence,slice_r_action,proposed_base_trick,proposed_modifiers,rationale,pending_red,curator_action,notes
cheese-processor,Cheese Processor,passback,,Surging Ducking far Blender,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,blender,surging|ducking|paradox,candidate descends from branch anchor 'blender'; reveals additional family member not yet in IFPA,true,,
cloud,Cloud,passback,,"Calf Stall w/ leg in ""Whirl"" position",,,unsupported-symbolic-compression,pattern-derived,defer,whirl,in,"unknown tokens in reading: calf,w,leg,position — external uses vocabulary IFPA doesn't recognize",true,,
clownface,Clownface,passback,,Barraging far Eggbeater,4,,canonical-gap,pattern-derived,curator-decide,eggbeater,barraging|paradox,clean structural decomposition with base 'eggbeater'; curator decides whether to add as canonical row,false,,
cold-fusion,Cold Fusion,passback,,"Nuclear far Double Down, Pdx. Fusion",3,,canonical-gap,pattern-derived,curator-decide,fusion,nuclear|paradox|double|paradox,clean structural decomposition with base 'fusion'; curator decides whether to add as canonical row,false,,
colossus,Colossus,passback,,Spinning Diving near Symp. Whirl,1,,canonical-gap,pattern-derived,curator-decide,whirl,spinning|diving|paradox|symposium,clean structural decomposition with base 'whirl'; curator decides whether to add as canonical row,false,,
creature,Creature,passback,,(downtime) Miraging Symp. Illusion,2,,unsupported-symbolic-compression,pattern-derived,defer,illusion,miraging|symp,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
darkwalk,Darkwalk,passback,,Pixie Diving near Butterfly,2,,canonical-gap,pattern-derived,curator-decide,butterfly,pixie|diving|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
datwdouble-atw,DATW/Double ATW,passback,,double-dex ATW,2,,unsupported-symbolic-compression,pattern-derived,defer,around-the-world,,unknown tokens in reading: double-dex — external uses vocabulary IFPA doesn't recognize,true,,
ddddown-double-down,DDD/Down Double Down,passback,,Clipper near Double Down,2,,canonical-gap,pattern-derived,curator-decide,clipper,paradox|double,clean structural decomposition with base 'clipper'; curator decides whether to add as canonical row,false,,
delusion,Delusion,passback,,double-dex Illusion,2,,unsupported-symbolic-compression,pattern-derived,defer,illusion,,unknown tokens in reading: double-dex — external uses vocabulary IFPA doesn't recognize,true,,
dimmier,Dimmier,passback,,Pixie near Double Down,3,,folk-derived-unstable,speculative,defer,,,all reading tokens recognized but no IFPA base trick anchor; candidate may be a folk-named compound without canonical root,false,,
dimmiest,Dimmiest,passback,,Pixie far Double Down,3,,folk-derived-unstable,speculative,defer,,,all reading tokens recognized but no IFPA base trick anchor; candidate may be a folk-named compound without canonical root,false,,
dlo-dee-ell-oh,"DLO (""dee-ell-oh"")",passback,Double Legover,(downtime) Miraging far Legover,2,,unsupported-symbolic-compression,pattern-derived,defer,legover,miraging|far,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
doddouble-over-down,DOD/Double Over Down,passback,,Toe near Double Down,2,,unsupported-symbolic-compression,pattern-derived,defer,,near|double,unknown tokens in reading: toe — external uses vocabulary IFPA doesn't recognize,true,,
dolomite,Dolomite,passback,,Toe far Symp. Double Down,2,,unsupported-symbolic-compression,pattern-derived,defer,,far|symp|double,unknown tokens in reading: toe — external uses vocabulary IFPA doesn't recognize,true,,
double-down,Double Down,passback,,double-dex Butterfly,2,,unsupported-symbolic-compression,pattern-derived,defer,butterfly,,unknown tokens in reading: double-dex — external uses vocabulary IFPA doesn't recognize,true,,
dragon,Dragon,passback,,Xbd Outside Stall,,,unsupported-symbolic-compression,pattern-derived,defer,,,"unknown tokens in reading: xbd,outside — external uses vocabulary IFPA doesn't recognize",true,,
dso,DSO,passback,Double Switch|Double Switchover,double-dex Legover,2,,unsupported-symbolic-compression,pattern-derived,defer,legover,,unknown tokens in reading: double-dex — external uses vocabulary IFPA doesn't recognize,true,,
e-walk,E-Walk,passback,,Frantic op Butterfly,,,unsupported-symbolic-compression,pattern-derived,defer,butterfly,op,unknown tokens in reading: frantic — external uses vocabulary IFPA doesn't recognize,true,,
ego,Ego,passback,,Atomic far Blender,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,blender,atomic|paradox,candidate descends from branch anchor 'blender'; reveals additional family member not yet in IFPA,true,,
enterrage,Enterrage,passback,,"Terraging Legover, (midtime) Toe near Flurry",3,,unsupported-symbolic-compression,pattern-derived,defer,flurry,near,"unknown tokens in reading: midtime,toe — external uses vocabulary IFPA doesn't recognize",true,,
fairy-archaic,Fairy (archaic),passback,,Midtime Toe near Illusion,,,unsupported-symbolic-compression,pattern-derived,defer,illusion,near,"unknown tokens in reading: midtime,toe — external uses vocabulary IFPA doesn't recognize",true,,
fairy-beater,Fairy Beater,passback,Shutdown,Fairy far Butterfly,2,,canonical-gap,pattern-derived,curator-decide,butterfly,fairy|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
fear,Fear,passback,,Fairy far Mirage,2,,canonical-gap,pattern-derived,curator-decide,mirage,fairy|paradox,clean structural decomposition with base 'mirage'; curator decides whether to add as canonical row,false,,
fission,Fission,passback,,Barraging far Illusion,3,,canonical-gap,pattern-derived,curator-decide,illusion,barraging|paradox,clean structural decomposition with base 'illusion'; curator decides whether to add as canonical row,false,,
flare,Flare,passback,,Symp. Whirling far Mirage,2,,canonical-gap,pattern-derived,curator-decide,mirage,symposium|whirling|paradox,clean structural decomposition with base 'mirage'; curator decides whether to add as canonical row,false,,
flurricane,Flurricane,passback,,Gyro Flurry,3,,canonical-gap,pattern-derived,curator-decide,flurry,gyro,clean structural decomposition with base 'flurry'; curator decides whether to add as canonical row,false,,
flux,Flux,passback,,(downtime) Illusioning far Osis,1,,unsupported-symbolic-compression,pattern-derived,defer,osis,illusioning|far,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
frankenstein,Frankenstein,passback,,"Fairy near Swirling near Swirl, Phasing near Swirl, Fairy Ripstein",3,,unsupported-symbolic-compression,pattern-derived,defer,ripstein,fairy|near|near|phasing|near|fairy,unknown tokens in reading: swirling — external uses vocabulary IFPA doesn't recognize,true,,
fudge,Fudge,passback,,Fairy far Illusion,2,,canonical-gap,pattern-derived,curator-decide,illusion,fairy|paradox,clean structural decomposition with base 'illusion'; curator decides whether to add as canonical row,false,,
gangsta-party,Gangsta Party,passback,,Spinning Ducking far Blender,1,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,blender,spinning|ducking|paradox,candidate descends from branch anchor 'blender'; reveals additional family member not yet in IFPA,true,,
gary-coleman,Gary Coleman,passback,,"BS Reactor, Atomic far Symp. Whirl",2,,unsupported-symbolic-compression,pattern-derived,defer,whirl,atomic|far|symp,"unknown tokens in reading: bs,reactor — external uses vocabulary IFPA doesn't recognize",true,,
gdlo-gee-dee-ell-oh,"GDLO (""gee-dee-ell-oh"")",passback,Whale Tail,Gyro DLO,2,,canonical-gap,pattern-derived,curator-decide,double-leg-over,gyro,clean structural decomposition with base 'double-leg-over'; curator decides whether to add as canonical row,false,,
genesis,Genesis,passback,,Barraging far Whirl,3,,canonical-gap,pattern-derived,curator-decide,whirl,barraging|paradox,clean structural decomposition with base 'whirl'; curator decides whether to add as canonical row,false,,
ghost,Ghost,passback,,Whirling Rake,,,unsupported-symbolic-compression,pattern-derived,defer,,whirling,unknown tokens in reading: rake — external uses vocabulary IFPA doesn't recognize,true,,
golden-shower,Golden Shower,passback,,Stepping Ducking far Symp. Eggbeater,3,,canonical-gap,pattern-derived,curator-decide,eggbeater,stepping|ducking|paradox|symposium,clean structural decomposition with base 'eggbeater'; curator decides whether to add as canonical row,false,,
goliath,Goliath,passback,,"Pixie Ducking far DLO, Alpine Smog",3,,unsupported-symbolic-compression,pattern-derived,defer,smog,pixie|ducking|far,unknown tokens in reading: alpine — external uses vocabulary IFPA doesn't recognize,true,,
green-eggs-and-ham,Green Eggs and Ham,passback,,Stepping Ducking far Swivel,2,,unsupported-symbolic-compression,pattern-derived,defer,,stepping|ducking|far,unknown tokens in reading: swivel — external uses vocabulary IFPA doesn't recognize,true,,
grifter,Grifter,passback,,(downtime) Illusioning far Clipper,1,,unsupported-symbolic-compression,pattern-derived,defer,clipper,illusioning|far,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
gybasgrab-your-balls-and-squeeze,GYBAS/Grab Your Balls and Squeeze,passback,,Stepping far Dyno,2,,canonical-gap,pattern-derived,curator-decide,dyno,stepping|paradox,clean structural decomposition with base 'dyno'; curator decides whether to add as canonical row,false,,
heart,Heart,passback,,Frantic far Double Down Swirl,5,,unsupported-symbolic-compression,pattern-derived,defer,swirl,far|double,unknown tokens in reading: frantic — external uses vocabulary IFPA doesn't recognize,true,,
icarus,Icarus,passback,,Atomic Ducking far Torque,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,torque,atomic|ducking|paradox,candidate descends from branch anchor 'torque'; reveals additional family member not yet in IFPA,true,,
id,Id,passback,,"Atomic Ducking far Double Down, Alpine Fusion",,,unsupported-symbolic-compression,pattern-derived,defer,fusion,atomic|ducking|far|double,unknown tokens in reading: alpine — external uses vocabulary IFPA doesn't recognize,true,,
irish-cream,Irish Cream,passback,,"Atomic Gyro Torque, Tapping Mobius",2,,canonical-gap,pattern-derived,curator-decide,mobius,atomic|gyro|tapping,clean structural decomposition with base 'mobius'; curator decides whether to add as canonical row,false,,
jackknife,Jackknife,passback,,"Stepping Diving ss Butterfly, Alpine Sidewalk",2,,unsupported-symbolic-compression,pattern-derived,defer,sidewalk,stepping|diving|ss,unknown tokens in reading: alpine — external uses vocabulary IFPA doesn't recognize,true,,
janiwalker-johnny-walker,"Janiwalker (""johnny walker"")",passback,,Barraging far Butterfly,3,,canonical-gap,pattern-derived,curator-decide,butterfly,barraging|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
johnny-vodka,Johnny Vodka,passback,,Pixie Mobius,,,canonical-gap,pattern-derived,curator-decide,mobius,pixie,clean structural decomposition with base 'mobius'; curator decides whether to add as canonical row,false,,
kilo,Kilo,passback,,Miraging Kilo,3,,unsupported-symbolic-compression,pattern-derived,defer,,miraging,unknown tokens in reading: kilo — external uses vocabulary IFPA doesn't recognize,true,,
king-koopa,King Koopa,passback,,"Spinning Ducking far Symp.Torque, Alpine Super Mario",1,,unsupported-symbolic-compression,pattern-derived,defer,torque,spinning|ducking|far|symp,"unknown tokens in reading: alpine,super,mario — external uses vocabulary IFPA doesn't recognize",true,,
kiwi,Kiwi,passback,,Tapping Double Down,,,folk-derived-unstable,speculative,defer,,,all reading tokens recognized but no IFPA base trick anchor; candidate may be a folk-named compound without canonical root,false,,
lawn-moir,Lawn Moir,passback,,Slicing far Butterfly,,,unsupported-symbolic-compression,pattern-derived,defer,butterfly,far,unknown tokens in reading: slicing — external uses vocabulary IFPA doesn't recognize,true,,
legbreaker,Legbreaker,passback,,"Flailing far Butterfly, Symp. Atomic far Butterfly",2,,canonical-gap,pattern-derived,curator-decide,butterfly,flailing|paradox|symposium|atomic|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
leviathon,Leviathon,passback,,Stepping Ducking far Double Down,3,,folk-derived-unstable,speculative,defer,,,all reading tokens recognized but no IFPA base trick anchor; candidate may be a folk-named compound without canonical root,false,,
locomotion,Locomotion,passback,,Stepping far Motion,3,,unsupported-symbolic-compression,pattern-derived,defer,,stepping|far,unknown tokens in reading: motion — external uses vocabulary IFPA doesn't recognize,true,,
maelstrom,Maelstrom,passback,,"Spinning Ducking far Whirl, Alpine Spinning Whirl, Spinning Tomahawk",1,,unsupported-symbolic-compression,pattern-derived,defer,tomahawk,spinning|ducking|far|spinning|spinning,unknown tokens in reading: alpine — external uses vocabulary IFPA doesn't recognize,true,,
mama-curve,Mama Curve,passback,,(downtime) Illusioning far Symp. Butterfly,2,,unsupported-symbolic-compression,pattern-derived,defer,butterfly,illusioning|far|symp,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
mantis,Mantis,passback,,Spinning near Eggbeater,2,,canonical-gap,pattern-derived,curator-decide,eggbeater,spinning|paradox,clean structural decomposition with base 'eggbeater'; curator decides whether to add as canonical row,false,,
massacre,Massacre,passback,,(downtime) Illusioning Flail,2,,unsupported-symbolic-compression,pattern-derived,defer,flail,illusioning,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
merlin,Merlin,passback,,(downtime) Miraging Symp.Mirage,2,,unsupported-symbolic-compression,pattern-derived,defer,mirage,miraging|symp,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
moby-dick,Moby Dick,passback,,"Mobiusscrew, Gyro Torquescrew",2,,unsupported-symbolic-compression,pattern-derived,defer,,gyro,"unknown tokens in reading: mobiusscrew,torquescrew — external uses vocabulary IFPA doesn't recognize",true,,
mofly,Mofly,passback,,(downtime) Miraging far Symp. Double Down,3,,unsupported-symbolic-compression,pattern-derived,defer,,miraging|far|symp|double,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
monster,Monster,passback,,Symp. Swirling Gyro Inside,,,unsupported-symbolic-compression,pattern-derived,defer,,symp|gyro,"unknown tokens in reading: swirling,inside — external uses vocabulary IFPA doesn't recognize",true,,
morpheus,Morpheus,passback,,"Spinning Ducking far Drifter, Alpine Void",1,,unsupported-symbolic-compression,pattern-derived,defer,drifter,spinning|ducking|far,"unknown tokens in reading: alpine,void — external uses vocabulary IFPA doesn't recognize",true,,
mortal-kombat,Mortal Kombat,passback,,Stepping Ducking far Grifter,2,,unsupported-symbolic-compression,pattern-derived,defer,,stepping|ducking|far,unknown tokens in reading: grifter — external uses vocabulary IFPA doesn't recognize,true,,
motion,Motion,passback,,Double Down near Osis,2,,canonical-gap,pattern-derived,curator-decide,osis,double|paradox,clean structural decomposition with base 'osis'; curator decides whether to add as canonical row,false,,
motion-sickness,Motion Sickness,passback,,Spinning far Motion,2,,unsupported-symbolic-compression,pattern-derived,defer,,spinning|far,unknown tokens in reading: motion — external uses vocabulary IFPA doesn't recognize,true,,
motorfly,Motorfly,passback,,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
nallegam,Nallegam,passback,,Fairy near Pickup,2,,canonical-gap,pattern-derived,curator-decide,pickup,fairy|paradox,clean structural decomposition with base 'pickup'; curator decides whether to add as canonical row,false,,
nebula,Nebula,passback,,Barraging far DLO,4,,canonical-gap,pattern-derived,curator-decide,double-leg-over,barraging|paradox,clean structural decomposition with base 'double-leg-over'; curator decides whether to add as canonical row,false,,
nemosis,Nemosis,passback,,"Barraging far Motion, Nemesis Osis",4,,unsupported-symbolic-compression,pattern-derived,defer,osis,barraging|far,unknown tokens in reading: motion — external uses vocabulary IFPA doesn't recognize,true,,
nova,Nova,passback,,Symp. DLO,,,canonical-gap,pattern-derived,curator-decide,double-leg-over,symposium,clean structural decomposition with base 'double-leg-over'; curator decides whether to add as canonical row,false,,
pandemonium,Pandemonium,passback,,"Pixie far Symp. Eggbeater, BS Pigbeater",3,,unsupported-symbolic-compression,pattern-derived,defer,pigbeater,pixie|far|symp,unknown tokens in reading: bs — external uses vocabulary IFPA doesn't recognize,true,,
pandoras-box,Pandora's Box,passback,,Gyro Pickup,1,,canonical-gap,pattern-derived,curator-decide,pickup,gyro,clean structural decomposition with base 'pickup'; curator decides whether to add as canonical row,false,,
paratoxic,Paratoxic,passback,,Pdx. Toxic,2,,unsupported-symbolic-compression,pattern-derived,defer,,pdx,unknown tokens in reading: toxic — external uses vocabulary IFPA doesn't recognize,true,,
phobia,Phobia,passback,,"Fairy Mobius, Fairy Gyro Torque",2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,torque,fairy|fairy|gyro,candidate descends from branch anchor 'torque'; reveals additional family member not yet in IFPA,true,,
pixie-archaic,Pixie (archaic),passback,,Midtime Toe near Mirage,,,unsupported-symbolic-compression,pattern-derived,defer,mirage,near,"unknown tokens in reading: midtime,toe — external uses vocabulary IFPA doesn't recognize",true,,
plo,PLO,passback,,Pixie far Legover,2,,canonical-gap,pattern-derived,curator-decide,legover,pixie|paradox,clean structural decomposition with base 'legover'; curator decides whether to add as canonical row,false,,
pod,POD,passback,Pixie Over Down,"Pixie DOD, Pixie near Double Down",3,,unresolved-decomposition,speculative,curator-review,dod,,structural reading is partially recognized but does not match any clean classifier pattern,false,,
porque,Porque,passback,,Pixie Torque,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,torque,pixie,candidate descends from branch anchor 'torque'; reveals additional family member not yet in IFPA,true,,
predator,Predator,passback,,Atomic far DLO,3,,canonical-gap,pattern-derived,curator-decide,double-leg-over,atomic|paradox,clean structural decomposition with base 'double-leg-over'; curator decides whether to add as canonical row,false,,
quark,Quark,passback,,Quantum far Torque,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,torque,quantum|paradox,candidate descends from branch anchor 'torque'; reveals additional family member not yet in IFPA,true,,
rage,Rage,passback,,"BS Fury, (uptime) Baragging far Symp. Mirage",3,,unsupported-symbolic-compression,pattern-derived,defer,mirage,far|symp,"unknown tokens in reading: bs,uptime,baragging — external uses vocabulary IFPA doesn't recognize",true,,
rake,Rake,passback,Xbd Rake,Toe Stall dragged from Xbd position,,,unsupported-symbolic-compression,pattern-derived,defer,,,"unknown tokens in reading: toe,dragged,from,xbd,position — external uses vocabulary IFPA doesn't recognize",true,,
reactor,Reactor,passback,,Atomic far Whirl,2,,canonical-gap,pattern-derived,curator-decide,whirl,atomic|paradox,clean structural decomposition with base 'whirl'; curator decides whether to add as canonical row,false,,
revstein,Revstein,passback,,double-dex Twist,2,,unsupported-symbolic-compression,pattern-derived,defer,,,"unknown tokens in reading: double-dex,twist — external uses vocabulary IFPA doesn't recognize",true,,
ripcurl,Ripcurl,passback,,"Stepping near Butterfly Swirl, Sidewalk Swirl",2,,canonical-gap,pattern-derived,curator-decide,swirl,stepping|paradox,clean structural decomposition with base 'swirl'; curator decides whether to add as canonical row,false,,
ripped-warrior,Ripped Warrior,passback,,"Stepping Ducking Butterfly, Alpine Ripwalk",2,,unsupported-symbolic-compression,pattern-derived,defer,ripwalk,stepping|ducking,unknown tokens in reading: alpine — external uses vocabulary IFPA doesn't recognize,true,,
riptide,Riptide,passback,,"Stepping far Butterfly Swirl, Ripwalk Swirl",2,,canonical-gap,pattern-derived,curator-decide,swirl,stepping|paradox,clean structural decomposition with base 'swirl'; curator decides whether to add as canonical row,false,,
rotor,Rotor,passback,,(downtime) Swirling Gyro Inside Stall,,,unsupported-symbolic-compression,pattern-derived,defer,,gyro,"unknown tokens in reading: downtime,swirling,inside — external uses vocabulary IFPA doesn't recognize",true,,
schmoe,Schmoe,passback,,Stepping near Legover,2,,canonical-gap,pattern-derived,curator-decide,legover,stepping|paradox,clean structural decomposition with base 'legover'; curator decides whether to add as canonical row,false,,
scorpions-tail,Scorpion's Tail,passback,,Spinning far Double Down,2,,folk-derived-unstable,speculative,defer,,,all reading tokens recognized but no IFPA base trick anchor; candidate may be a folk-named compound without canonical root,false,,
shaft,Shaft,passback,,"Clipper near Symp. Double Down, Symp. DDD",2,,unsupported-symbolic-compression,pattern-derived,defer,clipper,near|symp|double|symp,unknown tokens in reading: ddd — external uses vocabulary IFPA doesn't recognize,true,,
shooting-star,Shooting Star,passback,,"Shooting far Double Down, Pogo Nuclear far Double Down",4,,folk-derived-unstable,speculative,defer,,,all reading tokens recognized but no IFPA base trick anchor; candidate may be a folk-named compound without canonical root,false,,
sidewinder,Sidewinder,passback,,"Fairy Spinning near Barraging far Buterfly, Fairy Gyro Janiwalker",4,,unsupported-symbolic-compression,pattern-derived,defer,,fairy|spinning|near|barraging|far|fairy|gyro,"unknown tokens in reading: buterfly,janiwalker — external uses vocabulary IFPA doesn't recognize",true,,
sidwalk,Sidwalk,passback,,Stepping near Butterfly,2,,canonical-gap,pattern-derived,curator-decide,butterfly,stepping|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
skullsmasher,Skullsmasher,passback,Rasmus,"Atomic Ducking far Mirage, Alpine Atomsmasher",2,,unsupported-symbolic-compression,pattern-derived,defer,mirage,atomic|ducking|far,"unknown tokens in reading: alpine,atomsmasher — external uses vocabulary IFPA doesn't recognize",true,,
slapdown,Slapdown,passback,,Quantum near Butterfly,2,,canonical-gap,pattern-derived,curator-decide,butterfly,quantum|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
snowflake,Snowflake,passback,,Drifter Rake,1,,unsupported-symbolic-compression,pattern-derived,defer,drifter,,unknown tokens in reading: rake — external uses vocabulary IFPA doesn't recognize,true,,
spanishfly,Spanishfly,passback,,Clipper Ducking far Double Down,2,,canonical-gap,pattern-derived,curator-decide,clipper,ducking|paradox|double,clean structural decomposition with base 'clipper'; curator decides whether to add as canonical row,false,,
spikehammer,Spikehammer,passback,,Stepping Ducking Mirage,2,,canonical-gap,pattern-derived,curator-decide,mirage,stepping|ducking,clean structural decomposition with base 'mirage'; curator decides whether to add as canonical row,false,,
sunilwalk,Sunilwalk,passback,,Barraging near Butterfly,3,,canonical-gap,pattern-derived,curator-decide,butterfly,barraging|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
super-ego,Super Ego,passback,,Atomic Ducking Blender,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,blender,atomic|ducking,candidate descends from branch anchor 'blender'; reveals additional family member not yet in IFPA,true,,
super-mario,Super Mario,passback,,"Spinning far Symp. Torque, Symp. Marius",1,,unsupported-symbolic-compression,pattern-derived,defer,torque,spinning|far|symp|symp,unknown tokens in reading: marius — external uses vocabulary IFPA doesn't recognize,true,,
superdeeduperfly,Superdeeduperfly,passback,,"Spinning Ducking Superfly, Alpine Superduperfly",2,,unsupported-symbolic-compression,pattern-derived,defer,superfly,spinning|ducking,"unknown tokens in reading: alpine,superduperfly — external uses vocabulary IFPA doesn't recognize",true,,
superduperfly,Superduperfly,passback,,Spinning Superfly,2,,canonical-gap,pattern-derived,curator-decide,superfly,spinning,clean structural decomposition with base 'superfly'; curator decides whether to add as canonical row,false,,
swifter,Swifter,passback,,Stepping far Swirl,2,,canonical-gap,pattern-derived,curator-decide,swirl,stepping|paradox,clean structural decomposition with base 'swirl'; curator decides whether to add as canonical row,false,,
swirlwind,Swirlwind,passback,,"Spinning far Symp. Whirling Swirl, Whirlwind Swirl",2,,unsupported-symbolic-compression,pattern-derived,defer,swirl,spinning|far|symp|whirling,unknown tokens in reading: whirlwind — external uses vocabulary IFPA doesn't recognize,true,,
