source_section,set_name,normalized_name,source_formula,compact_notation,add_count,timing_class,support_leg_semantics,operator_tokens,dual_identity,movement_class,notes
"Standard sets","Flailing (Symposium Reverse Miraging)",flailing,SET > (no plant while) OP OUT [BOD] [DEX] >,(prefix-form),(unclear),uptime,no-plant-then-out-dex,"set;no-plant;op;out;bod;dex",NOT in modern doctrine,operator-modifier-candidate,"Source: 'Symposium Reverse Miraging'. NOT in modifier table"
"Standard sets",Fairy Atomic,fairy-atomic,TOE > SAME OUT [DEX] > OP OUT [DEX] >,(prefix-form),(2-ADD; structurally derivable),uptime,fairy-segment-then-atomic-segment,"toe;same;out;dex;op",NOT in modern doctrine,compound-operator,"Compound of two set primitives (fairy + atomic). NOT in modifier table"
"Standard sets","Shooting (Stepping Paradox Illusion)",shooting,CLIP > OP IN [DEX] > OP OUT [PDX][DEX] >,(prefix-form),(+3 modifier),uptime,stepping-then-paradox-out-dex,"clip;op;in;dex;out;pdx",NO (modifier only in modern),set-primitive,"Source: 'Stepping Paradox Illusion' compact reading. Modern DB: shooting=+3/+3 set modifier"
"Standard sets","Furious (Barraging Paradox Miraging)",furious,CLIP > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] >,(prefix-form),(+1/+2 rotational modifier),uptime,3-dex-chain-stepping-barraging-miraging,"clip;op;in;dex;same",NO (modifier only in modern),operator-modifier,"Source: 'Barraging Paradox Miraging' compact reading. Modern DB: furious=+1/+2 rotational set modifier. Used in chain 'fury = furious paradox mirage' (Red pt6)"
"Standard sets",Infracting,infracting,(no operational form),(prefix-form),(unclear),uptime,opposite-of-Refraction,"(NOT defined),NOT in modern doctrine,operator-modifier-candidate,"Source: 'opposite of a Refraction done as a set'. NO operational form provided. NOT in modifier table"
"Spinning sets",Fairy Spinning,fairy-spinning,TOE > SAME OUT [DEX] > (BACK) SPIN [BOD] >,(prefix-form),(unclear),uptime,fairy-then-back-spin,"toe;same;out;dex;back;spin;bod",NOT in modern doctrine,compound-operator,"Compound fairy + spinning. NOT in modifier table"
"Spinning sets",Pixie Inspinning,pixie-inspinning,TOE > SAME IN [DEX] > (FRONT) SPIN [BOD] >,(prefix-form),(unclear),uptime,pixie-then-front-spin,"toe;same;in;dex;front;spin;bod",NOT in modern doctrine,compound-operator,"Compound pixie + inspinning. Modern: inspinning not in modifier table. NOT in DB"
"Spinning sets",Sonic (double spinning),sonic,CLIP > (BACK) SPIN [BOD] > (BACK) SPIN [BOD] >,(prefix-form),(unclear),uptime,double-back-spin,"clip;back;spin;bod",NOT in modern doctrine,operator-modifier-candidate,"Source: 'double spinning'. NOT in modifier table"
"Spinning sets",Peeking (double spinning),peeking,SET > (BACK) SPIN [BOD] > (BACK) SPIN [BOD] >,(prefix-form),(unclear),uptime,double-back-spin-from-set,"set;back;spin;bod",NOT in modern doctrine,operator-modifier-candidate,"Source: 'double spinning'. Same structure as sonic but starts at SET not CLIP. NOT in modifier table"
"Spinning sets",Leaning (stepping inspinning),leaning,CLIP > OP IN [DEX] > (front) SPIN [BOD] >,(prefix-form),(unclear),uptime,stepping-then-inspinning,"clip;op;in;dex;front;spin;bod",NOT in modern doctrine,compound-operator,"Source: 'stepping inspinning'. NOT in modifier table"
"Spinning sets",Go-Go (stepping backspinning),go-go,CLIP > OP IN [DEX] > (back) spin [bod] >,(prefix-form),(unclear),uptime,stepping-then-back-spinning,"clip;op;in;dex;back;spin;bod",NOT in modern doctrine,compound-operator,"Source: 'stepping backspinning'. NOT in modifier table"
"Spinning sets",Surging (spinning miraging),surging,SET > (BACK/FRONT) SPIN [BOD] > OP IN [DEX] >,(prefix-form),(2 ADD compound in DB),uptime,spin-then-op-in-dex,"set;back;front;spin;bod;op;in;dex",NOT in modern doctrine,compound-operator,"DOCTRINAL DIVERGENCE: Source says surging=spinning+MIRAGING; modern Red pt2 says surging=spinning+STEPPING. See SD-3"
"Spinning sets",Twinspinning (nuclear inspinning),twinspinning,CLIP > SAME OUT [DEX] > (FRONT) SPIN [BOD] >,(prefix-form),(unclear),uptime,nuclear-then-inspinning,"clip;same;out;dex;front;spin;bod",NOT in modern doctrine,compound-operator,"Source: 'nuclear inspinning'. NOT in modifier table"
"Spinning sets",Neutron (Atomic spin),neutron,TOE > OP OUT [DEX] > (BACK) SPIN [BOD] >,(prefix-form),(unclear),uptime,atomic-then-back-spin,"toe;op;out;dex;back;spin;bod",NOT in modern doctrine,compound-operator,"Source: 'Atomic spin'. NOT in modifier table"
"Whirl/swirl sets",Swirling,swirling,CLIP > SAME BACK/FRONT SWIRL [DEX] >,(prefix-form),(+1 modifier),uptime,setting-leg-does-swirl,"clip;same;back;front;swirl;dex",NO (modifier-only),operator-modifier,"Modern: swirling=+1 body modifier"
"Whirl/swirl sets",Whirling,whirling,CLIP > OP IN [DEX] > (same side component),(prefix-form),(+1 modifier),uptime,opposite-leg-in-dex-with-same-side-continuation,"clip;op;in;dex",NO (modifier-only),operator-modifier,"Modern: whirling=+1 body modifier"
"Whirl/swirl sets",Blazing,blazing,CLIP > OP IN [DEX] > (op side component),(prefix-form),(+1 modifier),uptime,opposite-leg-in-dex-with-op-side-continuation,"clip;op;in;dex",NO (modifier-only),operator-modifier,"Modern: blazing=+1 body modifier (registered)"
"Whirl/swirl sets",Scattered (Reverse Whirling),scattered,CLIP > OP OUT [DEX] > (same side component),(prefix-form),(unclear),uptime,reverse-whirling-same-side,"clip;op;out;dex",NOT in modern doctrine,operator-modifier-candidate,"Source: 'Reverse Whirling'. NOT in modifier table"
"Whirl/swirl sets",Shattered (Reverse Whirling),shattered,CLIP > OP OUT [DEX] > (op side component),(prefix-form),(unclear),uptime,reverse-whirling-op-side,"clip;op;out;dex",NOT in modern doctrine,operator-modifier-candidate,"Source: 'Reverse Whirling' (op-side variant). NOT in modifier table"
"Whirl/swirl sets",Pogo (Symposium Whirling),pogo,CLIP > (no plant while) OP IN [DEX] >,(prefix-form),(+0 modifier),uptime,no-plant-whirling,"clip;no-plant;op;in;dex",NO (modifier-only at +0 ADD),operator-modifier-zero-add,"Source: 'Symposium Whirling' compact reading. Modern: pogo=+0/+0 set modifier. Cross-references the no-plant doctrinal ambiguity"
"Whirl/swirl sets",Blistering (Whirling Gyro),blistering,CLIP > OP IN [DEX] > (BACK) SPIN [BOD] >,(prefix-form),(unclear),uptime,whirling-then-back-spin,"clip;op;in;dex;back;spin;bod",NOT in modern doctrine,compound-operator,"Source: 'Whirling Gyro' compact reading. Cross-references project_freestyle_state memory 'Blistering=Gyro Whirling Set' Red 2026-05-15"
"Whirl/swirl sets",Broken (clipper reverse whirl),broken,CLIP > OP OUT [DEX] > (SAME),(prefix-form),(unclear),uptime,reverse-whirl-same-leg-continuation,"clip;op;out;dex;same",NOT in modern doctrine,operator-modifier-candidate,"NOT in modifier table"
"Whirl/swirl sets",clipper reverse whirl spinning,clipper-reverse-whirl-spinning,CLIP > OP OUT [DEX] > (BACK) SPIN [BOD] >,(prefix-form),(unclear),uptime,reverse-whirl-then-spin,"clip;op;out;dex;back;spin;bod",NOT in modern doctrine,compound-operator,"NOT named in source. NOT in DB"
"UNS sets",Finchy (Pinching Fairy set),finchy,PINCH > SAME OUT [DEX] >,(prefix-form),(unclear),uptime,pinching-then-fairy-dex,"pinch;same;out;dex",NOT in modern doctrine,unusual-surface-set,"Source: 'Pinching Fairy'. NEW TOKEN: PINCH (unusual-surface opener). NOT in modifier table"
"UNS sets",Pixie Pinching,pixie-pinching,PINCH > SAME IN [DEX] >,(prefix-form),(unclear),uptime,pinching-then-pixie-dex,"pinch;same;in;dex",NOT in modern doctrine,unusual-surface-set,"PINCH-anchored variant of pixie"
"UNS sets",Twisted (Dragon set Swirling Paradox),twisted,DRAGON > SAME FRONT SWIRL [DEX] > SAME IN/OUT [PDX][DEX] >,(prefix-form),(unclear),uptime,dragon-then-front-swirl-then-paradox-dex,"dragon;same;front;swirl;dex;in-out;pdx",NOT in modern doctrine,unusual-surface-set,"NEW TOKEN: DRAGON (unusual-surface opener). Uses SAME IN/OUT alternation"
"UNS sets",Snapping (Dragon set Swirling),snapping,DRAGON > SAME FRONT SWIRL [DEX] >,(prefix-form),(unclear),uptime,dragon-then-front-swirl,"dragon;same;front;swirl;dex",NOT in modern doctrine,unusual-surface-set,"DRAGON-anchored swirl set"
"UNS sets",Arctic (frigidosis Pixie),arctic,FRIGIDOSIS > SAME IN [DEX] >,(prefix-form),(unclear),uptime,frigidosis-then-pixie-dex,"frigidosis;same;in;dex",NOT in modern doctrine,unusual-surface-set,"NEW TOKEN: FRIGIDOSIS (unusual-surface opener; possibly a specific stall position)"
"Antisymposium",Rooting / Rooted,rooted,(setting foot is on the ground),(no operational form),(+0 modifier),(antisymposium),setting-foot-stays-grounded,"set;rooted",NO (modifier-only),operator-modifier-zero-add,"Modern: rooted=+0/+0 set modifier"
"Antisymposium",Zoid,zoid,(rooted toe clipper set),(no operational form),(unclear),(antisymposium),rooted-toe-to-clipper,"toe;clip;rooted",NOT in modern doctrine,operator-modifier-candidate,"Source: 'rooted toe clipper set'. NOT in DB"
"Components-of-sets",Ducking,ducking,SET > DUCK [BOD] >,(component-form),(+1 modifier),midtime/body-action,head-ducks-under-bag,"set;duck;bod",NO (modifier-only),operator-modifier,"Modern: ducking=+1 body modifier"
"Components-of-sets",Diving,diving,SET > DIVE [BOD] >,(component-form),(+1 modifier),midtime/body-action,head-dives-under-bag,"set;dive;bod",NO (modifier-only),operator-modifier,"Modern: diving=+1 body modifier"
"Components-of-sets",Spinning,spinning,SET > (BACK) SPIN [BOD] >,(component-form),(+1 modifier),uptime/body-action,full-body-back-spin,"set;back;spin;bod",NO (modifier-only),operator-modifier,"DOCTRINAL FINDING: Source defines spinning as ANY-set + back-spin component. Cross-references 5-audit Wave 2 spinning/gyro question"
"Components-of-sets",Inspinning,inspinning,SET > (FRONT) SPIN [BOD] >,(component-form),(implicit +1; not in modifier table),uptime/body-action,full-body-front-spin,"set;front;spin;bod",NOT in modern doctrine,operator-modifier-candidate,"Modern: NOT in modifier table. Cross-references 4-audit inspinning-gap question"
"Components-of-sets",Gyro,gyro,CLIP > (BACK) SPIN [BOD] > (same dex component),(component-form),(+1 modifier),uptime/body-action,clip-anchored-back-spin-with-same-dex-continuation,"clip;back;spin;bod",NO (modifier-only),operator-modifier,"DOCTRINAL FINDING: Source defines gyro as CLIP-ANCHORED back-spin + same-dex continuation. DIFFERENT from spinning (anchor + continuation distinction). Resolves 5-audit Wave 2 spinning/gyro question via new evidence: source distinguishes by ANCHOR + CONTINUATION not direction or magnitude"
