operator_token,curator_status,fm_observed_count,pb_observed_count,total_observed_count,evidence_class,note
calf,surface,0,1,1,singleton,
outside,surface,0,1,1,singleton,
dex,operational,0,6,6,moderate_recurrence,
leggy,operational,0,5,5,moderate_recurrence,
in,operational,0,4,4,low_recurrence,
out,operational,0,3,3,low_recurrence,
pdx,operational,3,0,3,low_recurrence,
butterfly,base_or_unknown,54,19,73,high_recurrence,
mirage,base_or_unknown,49,12,61,high_recurrence,
legover,base_or_unknown,41,16,57,high_recurrence,
down,base_or_unknown,32,14,46,high_recurrence,
whirl,base_or_unknown,26,12,38,high_recurrence,
over,base_or_unknown,30,1,31,high_recurrence,
swirl,base_or_unknown,18,12,30,high_recurrence,
osis,base_or_unknown,20,9,29,high_recurrence,
torque,base_or_unknown,23,4,27,high_recurrence,
eggbeater,base_or_unknown,18,8,26,high_recurrence,
drifter,base_or_unknown,21,4,25,high_recurrence,
blender,base_or_unknown,15,4,19,moderate_recurrence,
pickup,base_or_unknown,7,12,19,moderate_recurrence,
illusion,base_or_unknown,11,6,17,moderate_recurrence,
diving,base_or_unknown,9,5,14,moderate_recurrence,
motion,base_or_unknown,4,6,10,moderate_recurrence,
swirling,base_or_unknown,5,3,8,moderate_recurrence,
barfly,base_or_unknown,7,0,7,moderate_recurrence,
stall,base_or_unknown,0,7,7,moderate_recurrence,
dyno,base_or_unknown,5,1,6,moderate_recurrence,
flail,base_or_unknown,5,0,5,moderate_recurrence,
rake,base_or_unknown,4,1,5,moderate_recurrence,
alpine,base_or_unknown,0,4,4,low_recurrence,
atw,base_or_unknown,0,4,4,low_recurrence,
dlo,base_or_unknown,0,4,4,low_recurrence,
flapper,base_or_unknown,3,1,4,low_recurrence,
frootie,base_or_unknown,4,0,4,low_recurrence,
fyro,base_or_unknown,4,0,4,low_recurrence,
grifter,base_or_unknown,1,3,4,low_recurrence,
barrage,base_or_unknown,3,0,3,low_recurrence,
illusioning,base_or_unknown,2,1,3,low_recurrence,
rev,base_or_unknown,0,3,3,low_recurrence,
shooting,base_or_unknown,2,1,3,low_recurrence,
slapping,base_or_unknown,3,0,3,low_recurrence,
twirl,base_or_unknown,3,0,3,low_recurrence,
zulu,base_or_unknown,3,0,3,low_recurrence,
arctic,base_or_unknown,2,0,2,low_recurrence,
curve,base_or_unknown,2,0,2,low_recurrence,
dada,base_or_unknown,2,0,2,low_recurrence,
direction,base_or_unknown,0,2,2,low_recurrence,
downing,base_or_unknown,2,0,2,low_recurrence,
dso,base_or_unknown,0,2,2,low_recurrence,
flurry,base_or_unknown,2,0,2,low_recurrence,
nova,base_or_unknown,2,0,2,low_recurrence,
or,base_or_unknown,0,2,2,low_recurrence,
torquescrew,base_or_unknown,2,0,2,low_recurrence,
wiggle,base_or_unknown,2,0,2,low_recurrence,
zipper,base_or_unknown,2,0,2,low_recurrence,
"""whirl""",base_or_unknown,0,1,1,singleton,
apple,base_or_unknown,0,1,1,singleton,
atomsmasher,base_or_unknown,0,1,1,singleton,
bent,base_or_unknown,1,0,1,singleton,
big,base_or_unknown,0,1,1,singleton,
blurriest,base_or_unknown,0,1,1,singleton,
bs,base_or_unknown,0,1,1,singleton,
buterfly,base_or_unknown,0,1,1,singleton,
butterflying,base_or_unknown,1,0,1,singleton,
butterfy,base_or_unknown,0,1,1,singleton,
crossbody,base_or_unknown,1,0,1,singleton,
dod,base_or_unknown,0,1,1,singleton,
eggbeager,base_or_unknown,0,1,1,singleton,
firewalk,base_or_unknown,1,0,1,singleton,
flaring,base_or_unknown,1,0,1,singleton,
flip,base_or_unknown,0,1,1,singleton,
floating,base_or_unknown,1,0,1,singleton,
flux,base_or_unknown,0,1,1,singleton,
foot,base_or_unknown,0,1,1,singleton,
frozen,base_or_unknown,1,0,1,singleton,
fusing,base_or_unknown,1,0,1,singleton,
fusion,base_or_unknown,0,1,1,singleton,
ground,base_or_unknown,0,1,1,singleton,
hippy,base_or_unknown,0,1,1,singleton,
hopover,base_or_unknown,1,0,1,singleton,
into,base_or_unknown,0,1,1,singleton,
janiwalker,base_or_unknown,0,1,1,singleton,
kilo,base_or_unknown,0,1,1,singleton,
leg,base_or_unknown,0,1,1,singleton,
mario,base_or_unknown,0,1,1,singleton,
marius,base_or_unknown,0,1,1,singleton,
merlin,base_or_unknown,1,0,1,singleton,
mobius,base_or_unknown,0,1,1,singleton,
moved,base_or_unknown,0,1,1,singleton,
nemesis,base_or_unknown,0,1,1,singleton,
null,base_or_unknown,1,0,1,singleton,
on,base_or_unknown,0,1,1,singleton,
original,base_or_unknown,1,0,1,singleton,
paradon,base_or_unknown,1,0,1,singleton,
place,base_or_unknown,0,1,1,singleton,
position,base_or_unknown,0,1,1,singleton,
pyro,base_or_unknown,1,0,1,singleton,
refraction,base_or_unknown,0,1,1,singleton,
sidewalk,base_or_unknown,0,1,1,singleton,
step,base_or_unknown,0,1,1,singleton,
strong,base_or_unknown,0,1,1,singleton,
super,base_or_unknown,0,1,1,singleton,
superfly,base_or_unknown,1,0,1,singleton,
switchover,base_or_unknown,1,0,1,singleton,
swivel,base_or_unknown,0,1,1,singleton,
symp.torque,base_or_unknown,0,1,1,singleton,
tap,base_or_unknown,1,0,1,singleton,
to,base_or_unknown,0,1,1,singleton,
toxic,base_or_unknown,1,0,1,singleton,
w,base_or_unknown,0,1,1,singleton,
warping,base_or_unknown,1,0,1,singleton,
weaving,base_or_unknown,1,0,1,singleton,
whipping,base_or_unknown,0,1,1,singleton,
whirr,base_or_unknown,0,1,1,singleton,
wonton,base_or_unknown,1,0,1,singleton,
