name,section,current_bucket,primary,flags,next_action,rationale,provisional_add,decomposition
Miraging far Symp. Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Nuclear DDD (Cold Fusion) (Geesha),doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Nuclear Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Nuclear far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Pixie Quantum Double Over Down Swirl,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Pixie Spinning Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Pixie far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Pixie near Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Pogo Nuclear far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Quantum far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Sailing DOD,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Shooting DDD (Shooting Star),doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Shooting Star (Shooting Double Over Down),doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Shooting far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Spinning Symposium Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Spinning Symposium Down Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Spinning far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Spinning near Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Stepping Ducking Far Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Stepping Ducking far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Stepping far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Stepping far Symp. Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Stepping near Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Surging far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Symposium Down Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Tapping Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Toe far Symp. Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Toe near Symp. Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Toe set Spinning Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Alpine Blurry Whirl,doctrine,Doctrine cluster: other,Doctrine Blocked,,Red ruling / operator definition pending: alpine,undefined or open-doctrine operator (alpine),,
Blurry Zulu Blender,doctrine,Doctrine cluster: other,Doctrine Blocked,,Red ruling / operator definition pending: zulu,undefined or open-doctrine operator (zulu),,
Blurry Zulu Blender (Odula),doctrine,Doctrine cluster: other,Doctrine Blocked,,Red ruling / operator definition pending: zulu,undefined or open-doctrine operator (zulu),,
Blurry Zulu Butterfly,doctrine,Doctrine cluster: other,Doctrine Blocked,,Red ruling / operator definition pending: zulu,undefined or open-doctrine operator (zulu),,
Blurry Zulu Mirage,doctrine,Doctrine cluster: other,Doctrine Blocked,,Red ruling / operator definition pending: zulu,undefined or open-doctrine operator (zulu),,
"POD, Pixie Over Down",doctrine,Doctrine cluster: other,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Rooting/Rooted,doctrine,Doctrine cluster: other,Ready for Authoring,verification_needed,"Author notation; rooted = settled set, 0 ADD",rooted is a settled set-primitive (0 ADD); stale doctrine flag,,
Fairy Weaving Butterfly,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Fairy Weaving Clipper,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Fairy Weaving Mirage,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Fairy Weaving Osis,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Gyro Weaving Butterfly,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Pixie Weaving Butterfly,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Pixie Weaving Mirage,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Pixie Weaving Osis,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Pixie Weaving Symposium Mirage,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Pixie Weaving Whirl,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Quantum Weaving Butterfly,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Slapping Weaving Butterfly (Quantanamera),doctrine,Doctrine cluster: weaving,Doctrine Blocked,,"Red ruling / operator definition pending: slapping,weaving","undefined or open-doctrine operator (slapping,weaving)",,
Stepping Weaving Butterfly,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Stepping Weaving Mirage,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Tapping Weaving Mirage,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Butterfly,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Clipper,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Drifter,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Eclipse,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Guay,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Illusion,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Legover,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Magellan,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Mirage,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Osis,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Pickup,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Pigbeater,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Reverse Guay,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Symposium Mirage,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Toe Stall,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving Whirl,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Weaving XBD Rake,doctrine,Doctrine cluster: weaving,Doctrine Blocked,,Red ruling / operator definition pending: weaving,undefined or open-doctrine operator (weaving),,
Atomic Ducking Mirage,frontier,Needs Authoring (frontier),Ready for Authoring,duplicate_or_alias_candidate,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,4,atomic(+1) + ducking(+1) + mirage(2) = 4
Atomic Ducking Mirage (Rasmus) (Skull Smasher),frontier,Needs Authoring (frontier),Ready for Authoring,duplicate_or_alias_candidate,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,4,atomic(+1) + ducking(+1) + mirage(2) = 4
Atomic Ducking far Mirage,frontier,Needs Authoring (frontier),Ready for Authoring,positional_variant|verification_needed,Author notation; verify far X-Dex +1 on receiver base,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,4,atomic(+1) + ducking(+1) + mirage(2) = 4
Atomic Gyro Torque,frontier,Needs Authoring (frontier),Ready for Authoring,,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,6,atomic(+1) + gyro(+1) + torque(4) = 6
Atomic Reverse Swirl,frontier,Needs Authoring (frontier),Ready for Authoring,,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,4,atomic(+1) + swirl(3) = 4
Atomic Swirl,frontier,Needs Authoring (frontier),Ready for Authoring,,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,4,atomic(+1) + swirl(3) = 4
Atomic Symposium Whirl,frontier,Needs Authoring (frontier),Ready for Authoring,duplicate_or_alias_candidate,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,5,atomic(+1) + symposium(+1) + whirl(3) = 5
Atomic Whirl,frontier,Needs Authoring (frontier),Ready for Authoring,duplicate_or_alias_candidate,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,4,atomic(+1) + whirl(3) = 4
Atomic far Symp. Whirl,frontier,Needs Authoring (frontier),Ready for Authoring,positional_variant|verification_needed,Author notation; verify far X-Dex +1 on receiver base,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,5,atomic(+1) + symposium(+1) + whirl(3) = 5
Atomic far Whirl,frontier,Needs Authoring (frontier),Ready for Authoring,positional_variant|verification_needed,Author notation; verify far X-Dex +1 on receiver base,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,4,atomic(+1) + whirl(3) = 4
BS Blurriest,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Backside Symposium Smear,frontier,Needs Authoring (frontier),Ready for Authoring,,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,5,backside(+1) + symposium(+1) + smear(3) = 5
Backside Symposium Toe Blizzard,frontier,Needs Authoring (frontier),Ready for Authoring,,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,5,backside(+1) + symposium(+1) + blizzard(3) = 5
Blurry (Stepping Paradox),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Barfly Swirl (Blurriest Swirl),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Barrage,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Barrage (Blurrage),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Butterfly (Ripwalk),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Butterfly Swirl (Riptide),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Butterfly Swivel (Puree),frontier,Needs Authoring (frontier),Doctrine Blocked,,Red ruling / operator definition pending: swivel,undefined or open-doctrine operator (swivel),,
Blurry Chainsaw Massacre,frontier,Needs Authoring (frontier),Needs Curator Review,verification_needed,Curator identifies the unresolved base/reading,"unresolved token(s): chainsaw,massacre",,
Blurry Clipper,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Da Da Curve,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Double Legover,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Drifter,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Drifter (Stepping Paradox Drifter),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Barfly (Leviathan),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Blender,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Butterfly (Ripped Warrior),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Butterfly Swirl (Cyborg),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Ducking Eggbeater,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Eggbeater (Golden Shower),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Illusion (Avalanche),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Mirage,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Mirage (Spike Hammer),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Motion (Syberian Express),frontier,Needs Authoring (frontier),Doctrine Blocked,,Red ruling / operator definition pending: motion,undefined or open-doctrine operator (motion),,
Blurry Ducking PS Mirage,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking PS Whirl,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Torque,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Torque (Gauntlet),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Ducking Voodoo (Hell Raiser),frontier,Needs Authoring (frontier),Needs Curator Review,verification_needed,Curator identifies the unresolved base/reading,unresolved token(s): voodoo,,
Blurry Dyno (Grab Your Balls And Squeeze),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Eggbeater,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Eggbeater (Bed Wetter),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Flail (Backside Blizzard),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Flurry,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Guay,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Illusion,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Illusion (Blizzard),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Illusioning Paradox Symposium Eggbeater,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Legover,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Mirage,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Mirage (Blur),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Motion (Locomotion),frontier,Needs Authoring (frontier),Doctrine Blocked,,Red ruling / operator definition pending: motion,undefined or open-doctrine operator (motion),,
Blurry Osis (Crispy Torque),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry PS Whirling XBD Rake (Warlock) (Sasquatch),frontier,Needs Authoring (frontier),Needs Curator Review,duplicate_or_alias_candidate|verification_needed,Curator selects canonical identity among candidates,multiple candidate identities (2 folk aliases),,
Blurry Pickup,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Reaper,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Reverse Guay,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Reverse Whirl,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Symposium DLO,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Symposium Eggbeater,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Symposium Mirage (Backside Blur),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Symposium Reverse Whirl,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Symposium Whirl,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Symposium Whirl (Stepping Paradox Symposium Whirl),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Symposium Whirl (Whirlygig),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Symposium Whirling XBD Rake,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; reading determined,all operators settled; compression-ambiguity flag is stale,,
Blurry Voodoo,frontier,Needs Authoring (frontier),Needs Curator Review,verification_needed,Curator identifies the unresolved base/reading,unresolved token(s): voodoo,,
Blurry Whirling Swirl,frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
Blurry Whirling Swirl (Stepping Paradox Whirling Swirl),frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",,
"Butterfly, Down",frontier,Needs Authoring (frontier),Ready for Authoring,,Author operational notation; tokens now settled,every token resolves to a settled operator; flag is stale,,
Dragon Blurry Butterfly Dragon (Flipwalk),frontier,Needs Authoring (frontier),Doctrine Blocked,,Red ruling / operator definition pending: dragon,undefined or open-doctrine operator (dragon),,
Far Reverse Guay,frontier,Needs Authoring (frontier),Ready for Authoring,positional_variant,Promote: notation + promote to red_additions,settled operators; decomposition + ADD already derived,2,guay(2) = 2
