passback_name,technical_name,uptime_component,downtime_component,dex_count,notes,gate
Your Mom,"Atomic far Symp. Double Down, BS Fusion",Atomic,Symp. Double Down,3,,Red Wave 2 (no promotion until grammar questions rule)
Your Sister,Full Symp Kiwi,Atomic,Double Down,,,Red Wave 2 (no promotion until grammar questions rule)
>,,,,,"Combo notation; footbag ex: legover>atw, football ex: htw-atw",Red Wave 2 (no promotion until grammar questions rule)
Atomic DSO,,,,,,Red Wave 2 (no promotion until grammar questions rule)
Contact,,,,,,Red Wave 2 (no promotion until grammar questions rule)
"Dex, Dexterity",,,,,,Red Wave 2 (no promotion until grammar questions rule)
Double Orbit,,,,,Dex/Rev directions are reversed between sports,Red Wave 2 (no promotion until grammar questions rule)
DSO,Double Switchover,,,,,Red Wave 2 (no promotion until grammar questions rule)
Fairy ss Legover,,,,,,Red Wave 2 (no promotion until grammar questions rule)
Flip side,flip,,,,,Red Wave 2 (no promotion until grammar questions rule)
"Gyro, Spinning, Spinning Gyro, Double Spinning",,,,,,Red Wave 2 (no promotion until grammar questions rule)
In(-Out) Dex,,,,,Dex/rev directions reversed between sports,Red Wave 2 (no promotion until grammar questions rule)
Nagellam,,,,,,Red Wave 2 (no promotion until grammar questions rule)
Out(-In) Dex,,,,,Dex/rev directions reversed between sports,Red Wave 2 (no promotion until grammar questions rule)
Pixie DSO,,,,,,Red Wave 2 (no promotion until grammar questions rule)
Pixie op Toe,,,,,"Footbag version could be interpreted in two ways, depending on how ""uptime"" or ""midtime"" the first dex is, so both are listed (""uptime""/""midtime"")",Red Wave 2 (no promotion until grammar questions rule)
Pixie ss Mirage,,,,,Footbag version doesn't have ATW at the end,Red Wave 2 (no promotion until grammar questions rule)
Pixie ss Pickup,,,,,,Red Wave 2 (no promotion until grammar questions rule)
PLO,Pixie Legover,,,,"Footbag version could be interpreted in two ways, depending on how ""uptime"" or ""midtime"" the first dex is, so both are listed (""uptime""/""midtime"")",Red Wave 2 (no promotion until grammar questions rule)
Smear>Fairy ss [Legover/Pickup],,,,,"Football trick/variation is counted as 1, but in footbag it's a 2-trick combo",Red Wave 2 (no promotion until grammar questions rule)
Strong side,strong,,,,,Red Wave 2 (no promotion until grammar questions rule)
Toe ss Symp Swirl,,,,,"Football trick ends on heel touch, footbag trick ends on clipper",Red Wave 2 (no promotion until grammar questions rule)
Triple Orbit,,,,,,Red Wave 2 (no promotion until grammar questions rule)
