compound_slug,prerequisite_base_slug,proxy_note
assassin,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
mullet,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
nemesis,barfly,structural prerequisite (learn base first); NOT true PassBack learn-order
nova,double-leg-over,structural prerequisite (learn base first); NOT true PassBack learn-order
pandemonium,symposium-eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
parkwalk,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
paste,pickup,structural prerequisite (learn base first); NOT true PassBack learn-order
phoenix,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
pigbeater,eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
predator,double-leg-over,structural prerequisite (learn base first); NOT true PassBack learn-order
paradox-symposium-whirl,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
reactor,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
reaper,clipper-stall,structural prerequisite (learn base first); NOT true PassBack learn-order
ripped-warrior,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
ripwalk,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
royale,reverse-drifter,structural prerequisite (learn base first); NOT true PassBack learn-order
schmoe,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
scorpions-tail,down-double-down,structural prerequisite (learn base first); NOT true PassBack learn-order
smear,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
smog,double-leg-over,structural prerequisite (learn base first); NOT true PassBack learn-order
smoke,drifter,structural prerequisite (learn base first); NOT true PassBack learn-order
smudge,illusion,structural prerequisite (learn base first); NOT true PassBack learn-order
spender,blender,structural prerequisite (learn base first); NOT true PassBack learn-order
sumo,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
superfly,barfly,structural prerequisite (learn base first); NOT true PassBack learn-order
surge,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
surreal,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
tap,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
tapdown,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
tomahawk,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
tombstone,drifter,structural prerequisite (learn base first); NOT true PassBack learn-order
torque,osis,structural prerequisite (learn base first); NOT true PassBack learn-order
tripwalk,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
trixie,pixie,structural prerequisite (learn base first); NOT true PassBack learn-order
twirl,osis,structural prerequisite (learn base first); NOT true PassBack learn-order
venom,barfly,structural prerequisite (learn base first); NOT true PassBack learn-order
vortex,drifter,structural prerequisite (learn base first); NOT true PassBack learn-order
rev-whirl,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
spinning-symposium-whirl,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
bladerunner,eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
double-pickup,pickup,structural prerequisite (learn base first); NOT true PassBack learn-order
eggbeater,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
fairy-eggbeater,eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
fairy-legover,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
flurry,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
magellan,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
paradon-swirl,swirl,structural prerequisite (learn base first); NOT true PassBack learn-order
pigbeater,eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
smear,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
smog,double-leg-over,structural prerequisite (learn base first); NOT true PassBack learn-order
triple-around-the-world,around-the-world,structural prerequisite (learn base first); NOT true PassBack learn-order
