canonical_name,adds,base_trick,category,aliases,modifier_links,description,review_status,is_active,review_note
shooting,3,,set,,,Shooting set; 3 ADD standalone. Acts as +3 ADD modifier when prefixing a base trick.,expert_reviewed,1,"Red pt7 2026-05-04: Shooting is a SET (3 ADD) AND a modifier (+3). Shooting Butterfly = 3+3 = 6 ADD. Rotational behavior +3 confirmed per Red pt9 2026-05-09 (answered Yes to whether Shooting stays +3 on rotational tricks)."
smudge,3,illusion,compound,pixie illusion,pixie,Pixie-modified illusion.,expert_reviewed,1,"Red pt7 2026-05-04: Smudge = Pixie Illusion (3 ADD). Math: pixie(1)+illusion(2)=3."
smog,4,double-leg-over,compound,pixie double leg over|pixie dlo|pixie double legover,pixie,Pixie-modified double leg over.,expert_reviewed,1,"Red pt7 2026-05-04: Smog = Pixie Double Leg Over (4 ADD). Math: pixie(1)+dlo(3)=4."
haze,4,double-leg-over,compound,stepping double leg over|stepping dlo,stepping,Stepping-modified double leg over.,expert_reviewed,1,"Red pt7 2026-05-04: Haze = Stepping Double Leg Over (4 ADD). Math: stepping(1)+dlo(3)=4."
head stall,1,head stall,surface,head delay,,Balance the bag on top of your head.,expert_reviewed,1,"Red pt7 2026-05-04: 1 ADD confirmed (standard surface stall). Parallel toe/heel/inside/outside/forehead/neck/knee. canonical_name normalized to spaced form 2026-05-22 to match sibling stalls; slug 'head-stall' unchanged via trick_name_to_slug."
shoulder stall,1,shoulder stall,surface,shoulder delay,,Balance the bag on your shoulder.,expert_reviewed,1,"Red pt7 2026-05-04: 1 ADD confirmed (standard surface stall). canonical_name normalized to spaced form 2026-05-22 to match sibling stalls; slug 'shoulder-stall' unchanged via trick_name_to_slug."
bullwhip,5,,compound,spinning near double down,,Compound trick.,expert_reviewed,1,"Red pt6 2026-05-04: 5 ADDs, Giro family. fb.org alt 'Spyro Double Down' (showmove/290); decomp spyro(1)+double-down(4)=5 if accepted, but double-down not canonical so base_trick deferred. Red pt8 2026-05-06: 'Base trick is Gyro' (Red's wording). Schema models gyro as a modifier (not a base trick), so 'base' here likely means family ancestor; structural decomposition still deferred pending glossary alignment with Red."
nemesis,6,barfly,compound,furious barfly|barraging far double down,furious,Furious-modified barfly.,expert_reviewed,1,"Red pt8 2026-05-06: Nemesis = Furious Barfly. Math: furious(+2 rotational) + barfly(4) = 6 (barfly inferred rotational from the math). fb.org alt 'barraging barfly' (showmove/188) NOT endorsed by Red. Red asked clarification on what 'base' means — flagged for glossary alignment."
gauntlet,7,torque,compound,stepping-ducking-paradox-torque,stepping|ducking|paradox,Stepping-ducking-paradox-modified torque.,expert_reviewed,1,"Red pt6 2026-05-04: 7 ADDs, Alpine family (Stepping Ducking). fb.org alt 'Stepping Ducking Paradox Torque' (showmove/232). Math: stepping(1)+ducking(1)+paradox(1)+torque(4)=7."
sole kick,1,sole kick,body,,,Sole-foot kick motion.,expert_reviewed,1,"TT #10 (r-G4qBrQSN0 'Sole') confirms 1-ADD kick (distinct from sole stall, 2 ADD). fb.org showmove/14 'Sole Kick' 1 ADD agrees."
smoke,4,drifter,compound,pixie drifter,pixie,Pixie-modified drifter.,expert_reviewed,1,"Red pt8 2026-05-06: Smoke = Pixie Drifter, 4 ADDs. Math: pixie(+1) + drifter(3) = 4. fb.org showmove/102 confirms naming."
plasma,5,,compound,quantum double down|quantum double over down|quantum far double down,quantum,Compound trick.,expert_reviewed,1,"Red pt8 2026-05-06: Plasma = Quantum Double Down, 5 ADDs. fb.org name 'Quantum Double Over Down' (showmove/249). 'double-down' not canonical so base_trick deferred. Red asked structural clarification."
grave digger,5,torque,compound,stepping same-side torque|stepping torque,stepping,Stepping-modified same-side torque.,expert_reviewed,1,"Red pt8 2026-05-06: Grave Digger = Stepping Same-Side Torque, 5 ADDs. fb.org name 'Stepping Torque' (showmove/280). Math: stepping(+1) + torque(4) = 5."
jani walker,5,,compound,,,Compound trick.,expert_reviewed,1,"Red pt8 2026-05-06: Jani Walker is 5 ADDs. Red did NOT endorse fb.org 'Barraging Butterfly' (showmove/151); structure unresolved — base_trick + modifier_links deferred. Activate on Red's ADD authority. Supersedes prior trick_aliases.csv mapping 'jani walker → furious butterfly' which was inferred without Red confirmation (mapping removed)."
rooted,0,rooted,set,,,Rooted set; does not contribute ADD when modifying a base trick.,expert_reviewed,1,"Red pt8 2026-05-06: Rooted is a unique set with one initial dexterity attached. No ADD value — non-scoring like pogo. Mirror trick_modifiers entry: rooted,0,0,set."
cloud kick,1,cloud kick,body,,,Kick off the back of the shin.,expert_reviewed,1,"James direct adjudication 2026-05-08: TT #11 (qEjsigE0_FA) is Cloud Kick (NOT Cloud Stall); 1 ADD body trick; distinct from 2-ADD cloud-stall surface."
sailing,2,sailing,set,,,Sailing set. 2 ADD standalone. Per Red pt9 equivalent to Pixie Quantum set.,expert_reviewed,1,"Red pt9 2026-05-09: 'Sailing as a set is 2 ADDS. It is Pixie Quantium set' (Quantium treated as Quantum typo). Math: pixie(1) + quantum(1) = 2 matches the stated value. Modifier behavior (set-as-modifier per shooting precedent) NOT classified — Red's pt9 wording was set-only; pending Red follow-up if a modifier ADD value is needed."
atomic butterfly,4,butterfly,compound,leg beater|legbeater,atomic,Atomic-modified butterfly.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
atomic torque,5,torque,compound,silo,atomic,Atomic-modified torque.,expert_reviewed,1,"atomic = +1 (final); the +2-rotational reading is retired. torque(4) + atomic(+1) = 5 ADD; torque is not X-Dex-eligible (consistent with the published atomic-blender / atomic-drifter siblings at base+1)."
barraging osis,5,osis,compound,baroque,furious,Barraging-modified osis.,expert_reviewed,1,"Barraging is a two-dex uptime set (+2) per Red pt14: math osis(3)+barraging(2)=5, exact. Supersedes the prior known-approximate divergence (was osis(3)+barraging(+1)=4)."
blur,4,mirage,compound,,blurry,Blurry-modified mirage.,expert_reviewed,1,"Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted. Aliases column cleared 2026-05-26 (S3/S5 governance migration): 'blurry mirage' is a compressed-intermediary structural reading that now lives in S5 (SYMBOLIC_EQUIVALENCE_CHAINS) at atom level as 'stepping paradox mirage' per the atom-level preference rule."
blurriest,5,barfly,compound,blurr-iest|stepping far double down,blurry,Blurry-modified barfly.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
blurry torque,6,torque,compound,,blurry,Blurry-modified torque.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
blurry whirl,5,whirl,compound,bw|blurry w,blurry,Blurry-modified whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
dimwalk,4,butterfly,compound,dim walk,pixie,Pixie-modified butterfly.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
ducking butterfly,4,butterfly,compound,,ducking,Ducking-modified butterfly.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
ducking clipper,3,clipper-stall,compound,,ducking,Ducking-modified clipper stall.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
ducking osis,4,osis,compound,,ducking,Ducking-modified osis.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
ducking whirl,4,whirl,compound,,ducking,Ducking-modified whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
food processor,6,blender,compound,blurry blender|foot processor,blurry,Blurry-modified blender.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
mobius,5,torque,compound,möbius|moebius|toe mobius,gyro,Gyro-modified torque.,expert_reviewed,1,"Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted. Aliases column trimmed 2026-05-26 (S3/S5 governance migration): 'gyro torque' is a structural compression owned by S5 (mobius is a flagship pedagogical exemplar with a 3-depth ladder). Spelling variants möbius + moebius retained as pure S3 aliases."
paradox blender,5,blender,compound,pdx blender|p. blender,paradox,Paradox-modified blender.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
paradox drifter,4,drifter,compound,pdx drifter|p. drifter,paradox,Paradox-modified drifter.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
paradox mirage,3,mirage,compound,pdx mirage|p. mirage|pdx mirage,paradox,Paradox-modified mirage.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
paradox symposium whirl,5,whirl,compound,ps whirl|pdx symposium whirl,paradox|symposium,Paradox-modified symposium whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
paradox torque,5,torque,compound,pdx torque|p torque|p. torque|paradox t,paradox,Paradox-modified torque.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
paradox whirl,4,whirl,compound,pdx whirl|p-whirl|p. whirl,paradox,Paradox-modified whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
ripwalk,4,butterfly,compound,,stepping,Stepping-modified butterfly.,expert_reviewed,1,"Ripwalk is stepping butterfly: 4 ADD = stepping(+1) + butterfly(3). The modifier link and description read stepping to match the corrected JOB notation and the glossary flagship; the earlier 'blurry butterfly' value was arithmetically inconsistent (blurry = stepping + paradox gives a 5-ADD reading) and is superseded."
smear,3,mirage,compound,,pixie,Pixie-modified mirage.,expert_reviewed,1,"Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted. Aliases column cleared 2026-05-26 (S3/S5 governance migration): 'pixie mirage' is a structural compression owned by S5 (SYMBOLIC_EQUIVALENCE_CHAINS); S3 must not duplicate it."
spinning butterfly,4,butterfly,compound,,spinning,Spinning-modified butterfly.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
spinning clipper,3,clipper-stall,compound,,spinning,Spinning-modified clipper stall.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
spinning osis,4,osis,compound,,spinning,Spinning-modified osis.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
spinning symposium whirl,6,whirl,compound,,spinning|symposium,Spinning-modified symposium whirl.,expert_reviewed,1,"Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted. Curator ruling: retired as a duplicate of the folk-named sole-survivor (identical structure and 5 ADD); aliases moved there; see the is_active correction."
spinning torque,6,torque,compound,marius,spinning,Spinning-modified torque.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
spinning whirl,5,whirl,compound,,spinning,Spinning-modified whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
stepping osis,4,osis,compound,,stepping,Stepping-modified osis.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
stepping whirl,4,whirl,compound,,stepping,Stepping-modified whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
superfly,5,barfly,compound,super fly|superfly|clipper far symposium double down,symposium,Symposium-modified barfly.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
symposium whirl,4,whirl,compound,symposium wirl,symposium,Symposium-modified whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
tapping whirl,4,whirl,compound,,tapping,Tapping-modified whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
tomahawk,5,whirl,compound,,ducking|paradox,Ducking-modified paradox whirl.,expert_reviewed,1,Phase 5e Tier A3 modifier-link backfill 2026-05-09: math closes baseAdds + modifier(s) = asserted
tap,3,mirage,compound,,tapping,Tapping-modified mirage.,expert_reviewed,1,"FM Wave-1 canonical 2026-05-10: FM tech 'Tapping Mirage'; math tapping(+1)+mirage(2)=3; 1 IFPA record holder; federation-not-adoption preserved"
paste,3,pickup,compound,,pixie,Pixie-modified pickup.,expert_reviewed,1,"FM Wave-1 canonical 2026-05-10: FM tech 'Pixie Pickup'; math pixie(+1)+pickup(2)=3; 2 IFPA record holders"
hatchet,4,whirl,compound,,diving,Diving-modified whirl.,expert_reviewed,1,"FM Wave-1 canonical 2026-05-10: FM tech 'Diving Whirl'; math diving(+1)+whirl(3)=4; 1 IFPA record holder"
pigbeater,4,eggbeater,compound,,pixie,Pixie-modified eggbeater.,expert_reviewed,1,"FM Wave-1 canonical 2026-05-10: FM tech 'Pixie Eggbeater'; math pixie(+1)+eggbeater(3)=4; 1 IFPA record holder"
montage,7,whirl,compound,,spinning|ducking|paradox|symposium,Spinning-modified ducking paradox symposium whirl.,expert_reviewed,1,"FM Wave-1 canonical 2026-05-10: FM tech 'Spinning Ducking Paradox Symposium Whirl'; math spinning(+1)+ducking(+1)+paradox(+1)+symposium(+1)+whirl(3)=7; 1 IFPA record holder"
