name,slug,heading,source,sources,parser,doctrine,ledger,ledger_sub,resolves_to,complete_trick,exec_known,decomp_known,add_derivable,actionable,question,owner,disposition
Blurry Butterfly Swivel (Puree),blurry-butterfly-swivel-puree,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Chainsaw Massacre,blurry-chainsaw-massacre,Awaiting Doctrine,FM,footbagmoves,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,Y,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Clipper,blurry-clipper,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Da Da Curve,blurry-da-da-curve,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Double Legover,blurry-double-legover,Awaiting Doctrine,FM,footbagmoves,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,fog,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Barfly (Leviathan),blurry-ducking-barfly-leviathan,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Ducking Blender,blurry-ducking-blender,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Ducking Butterfly (Ripped Warrior),blurry-ducking-butterfly-ripped-warrior,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:ripped_warrior,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Butterfly Swirl (Cyborg),blurry-ducking-butterfly-swirl-cyborg,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Ducking Eggbeater,blurry-ducking-eggbeater,Awaiting Doctrine,FM,footbagmoves,,stable,doctrine/C,doctrine:blurry_expansion,,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate) (duplicate spelling of the resolved twin row)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Eggbeater (Golden Shower),blurry-ducking-eggbeater-golden-shower,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,alias:goldenshower->stepping_ducking_symposium_eggbeater,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Illusion (Avalanche),blurry-ducking-illusion-avalanche,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:avalanche,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Mirage,blurry-ducking-mirage,Awaiting Doctrine,FM,footbagmoves,,stable,doctrine/C,doctrine:blurry_expansion,,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate) (duplicate spelling of the resolved twin row)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Mirage (Spike Hammer),blurry-ducking-mirage-spike-hammer,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:spike_hammer,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Motion (Syberian Express),blurry-ducking-motion-syberian-express,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Ducking PS Mirage,blurry-ducking-ps-mirage,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Ducking PS Whirl,blurry-ducking-ps-whirl,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Ducking Torque,blurry-ducking-torque,Awaiting Doctrine,FM,footbagmoves,,stable,doctrine/C,doctrine:blurry_expansion,,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate) (duplicate spelling of the resolved twin row)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Torque (Gauntlet),blurry-ducking-torque-gauntlet,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:gauntlet,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Ducking Voodoo (Hell Raiser),blurry-ducking-voodoo-hell-raiser,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Dyno (Grab Your Balls And Squeeze),blurry-dyno-grab-your-balls-and-squeeze,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Eggbeater,blurry-eggbeater,Awaiting Doctrine,FM,footbagmoves,,stable,doctrine/C,doctrine:blurry_expansion,,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate) (duplicate spelling of the resolved twin row)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Eggbeater (Bed Wetter),blurry-eggbeater-bed-wetter,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:bedwetter,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Flail (Backside Blizzard),blurry-flail-backside-blizzard,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Flurry,blurry-flurry,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Guay,blurry-guay,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Illusion,blurry-illusion,Awaiting Doctrine,FM,footbagmoves,,stable,doctrine/C,doctrine:blurry_expansion,,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate) (duplicate spelling of the resolved twin row)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Illusion (Blizzard),blurry-illusion-blizzard,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:blizzard,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Illusioning Paradox Symposium Eggbeater,blurry-illusioning-paradox-symposium-eggbeater,Awaiting Doctrine,FM,footbagmoves,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Legover,blurry-legover,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Mirage,blurry-mirage,Awaiting Doctrine,FM,footbagmoves,,stable,doctrine/C,doctrine:blurry_expansion,,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate) (duplicate spelling of the resolved twin row)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Mirage (Blur),blurry-mirage-blur,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:blur,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Motion (Locomotion),blurry-motion-locomotion,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,canon:locomotion,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Osis (Crispy Torque),blurry-osis-crispy-torque,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Pickup,blurry-pickup,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry PS Whirling XBD Rake (Warlock) (Sasquatch),blurry-ps-whirling-xbd-rake-warlock-sasquatch,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Reaper,blurry-reaper,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Reverse Guay,blurry-reverse-guay,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Reverse Whirl,blurry-reverse-whirl,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Symposium DLO,blurry-symposium-dlo,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Symposium Eggbeater,blurry-symposium-eggbeater,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Symposium Mirage (Backside Blur),blurry-symposium-mirage-backside-blur,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Symposium Reverse Whirl,blurry-symposium-reverse-whirl,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Symposium Whirling XBD Rake,blurry-symposium-whirling-xbd-rake,Awaiting Doctrine,FM,footbagmoves,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Voodoo,blurry-voodoo,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Zulu Blender,blurry-zulu-blender,Awaiting Doctrine,FM,footbagmoves,compression-ambiguity,blocked,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Zulu Blender (Odula),blurry-zulu-blender-odula,Awaiting Doctrine,SG,stanford,compression-ambiguity,blocked,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Zulu Butterfly,blurry-zulu-butterfly,Awaiting Doctrine,SG,stanford,compression-ambiguity,blocked,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Zulu Mirage,blurry-zulu-mirage,Awaiting Doctrine,SG,stanford,compression-ambiguity,blocked,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
BS Blurriest,bs-blurriest,Awaiting Doctrine,PB,passback,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
BS Fury,bs-fury,Awaiting Doctrine,PB,passback,unknown-modifier-token,stable,authoring/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
BS Magellan,bs-magellan,Awaiting Doctrine,PB,passback,unknown-modifier-token,stable,authoring/C,doctrine:blurry_expansion,,Y,N,N,Y,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Butterfly XBD Rake,butterfly-xbd-rake,Awaiting Doctrine,SG,stanford,ambiguous-terminal-mechanic,stable,doctrine/C,doctrine:crossbody_rake_base,,Y,N,N,N,Y,what the crossbody-rake base is structurally,James+Red (Notation paper),DOCTRINE (R2 rake base)
Butterfy near Osis,butterfy-near-osis,Awaiting Doctrine,PB,passback,unknown-modifier-token,stable,doctrine/C,doctrine:osis_spin_to_catch,,Y,N,N,N,Y,the osis spin-to-catch relationship,James+Red (Notation paper),DOCTRINE (R2 osis)
Da Da Curve XBD Rake,da-da-curve-xbd-rake,Awaiting Doctrine,SG,stanford,unknown-modifier-token,stable,doctrine/C,doctrine:crossbody_rake_base,,Y,N,N,N,Y,what the crossbody-rake base is structurally,James+Red (Notation paper),DOCTRINE (R2 rake base)
Dragon Blurry Butterfly Dragon (Flipwalk),dragon-blurry-butterfly-dragon-flipwalk,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Fairy Crossbody Rake,fairy-crossbody-rake,Awaiting Doctrine,FM,footbagmoves,unknown-modifier-token,stable,doctrine/C,doctrine:crossbody_rake_base,,Y,N,N,N,Y,what the crossbody-rake base is structurally,James+Red (Notation paper),DOCTRINE (R2 rake base)
Far Crossbody Rake,far-crossbody-rake,Awaiting Doctrine,SG,stanford,unknown-modifier-token,stable,doctrine/C,doctrine:crossbody_rake_base,,Y,N,N,N,Y,what the crossbody-rake base is structurally,James+Red (Notation paper),DOCTRINE (R2 rake base)
Gyro Weaving Butterfly,gyro-weaving-butterfly,Awaiting Doctrine,SG,stanford,,blocked,deferred/C,mirror-ineligible:no-canonical-mirror,,Y,N,N,N,Y,no live mirror sibling to derive from; needs footage or notation,evidence,EVIDENCE (mirror-ineligible)
Illusioning Symp. Illusioning Legover,illusioning-symp-illusioning-legover,Awaiting Doctrine,PB,passback,unknown-modifier-token,stable,doctrine/C,doctrine:repeated_operator,,Y,N,N,N,Y,how the same scored operator twice is valued,James+Red (Scoring paper),DOCTRINE (R1 repeated-operator)
Inward Gyro Butterfly,inward-gyro-butterfly,Awaiting Doctrine,SG,stanford,unknown-modifier-token,stable,doctrine/C,doctrine:inward_gyro_direction,,Y,N,N,N,Y,what inward denotes on a gyro,James+Red (Notation paper),DOCTRINE (R2 inward)
