"name","confirm_class","proposed_slug","source_corpus","provenance","proposed_job_semantic","proposed_add","add_accounting","decomposition","parser_confidence","doctrine_confidence","parent_family","ecosystem","promotion_tier","reason"
"Far Reverse Whirl","2-confirm-base-only","reverse-whirl","footbagmoves","footbagmoves","REVERSE WHIRL","3","whirl(3) = 3","whirl","high","stable","","whirl/osis/other","T2","Base resolves to 'whirl' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Rev. Swirl","2-confirm-base-only","rev-swirl","passback","passback","REV. SWIRL","3","swirl(3) = 3","swirl","high","stable","","whirl/osis/other","T2","Base resolves to 'swirl' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Reverse Blender","2-confirm-base-only","reverse-blender","footbagmoves","footbagmoves","REVERSE BLENDER","4","blender(4) = 4","blender","high","stable","","whirl/osis/other","T2","Base resolves to 'blender' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Reverse Torque","2-confirm-base-only","reverse-torque","footbagmoves","footbagmoves","REVERSE TORQUE","4","torque(4) = 4","torque","high","stable","","whirl/osis/other","T2","Base resolves to 'torque' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Terraging Opposite Clipper","2-confirm-curator-ready","terraging-clipper","fborg","fborg","TERRAGING CLIPPER","","","terraging > ","low","stable","","(unclassified)","T1","Curator-vetted (publication_status=first_class_ready); A0 did not close ADD — confirm reading"
"Terraging Same Clipper","2-confirm-curator-ready","terraging-clipper","fborg","fborg","TERRAGING CLIPPER","","","terraging > ","low","stable","","(unclassified)","T1","Curator-vetted (publication_status=first_class_ready); A0 did not close ADD — confirm reading"
"Pixie Leg Over","2-confirm-curator-ready","pixie-leg-over","fborg","fborg","PIXIE LEG OVER","","","pixie > ","low","stable","","pixie","T1","Curator-vetted (publication_status=first_class_ready); A0 did not close ADD — confirm reading"
"Inspinning Guay","3-parser-derived","inspinning-guay","stanford","stanford","INSPINNING GUAY","2","guay(2) = 2","inspinning > guay","medium","stable","","spinning/gyro","T2","Structure readable but ADD not closed: unregistered modifier weight (inspinning)"
"Inspinning Reverse Guay","3-parser-derived","inspinning-reverse-guay","stanford","stanford","INSPINNING REVERSE GUAY","2","guay(2) = 2","inspinning > guay","medium","stable","","spinning/gyro","T2","Structure readable but ADD not closed: unregistered modifier weight (inspinning)"
"Atomic Ducking far Mirage","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-ducking-mirage","passback","passback","ATOMIC DUCKING MIRAGE","4","atomic(+1) + ducking(+1) + mirage(2) = 4","atomic|ducking > mirage","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + ducking(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Ducking Mirage","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-ducking-mirage","footbagmoves","footbagmoves","ATOMIC DUCKING MIRAGE","4","atomic(+1) + ducking(+1) + mirage(2) = 4","atomic|ducking > mirage","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + ducking(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Ducking Mirage (Rasmus) (Skull Smasher)","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-ducking-mirage","stanford","stanford","ATOMIC DUCKING MIRAGE","4","atomic(+1) + ducking(+1) + mirage(2) = 4","atomic|ducking > mirage","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + ducking(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic far Whirl","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-whirl","passback","passback","ATOMIC WHIRL","4","atomic(+1) + whirl(3) = 4","atomic > whirl","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Reverse Swirl","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-reverse-swirl","stanford","stanford","ATOMIC REVERSE SWIRL","4","atomic(+1) + swirl(3) = 4","atomic > swirl","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Swirl","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-swirl","stanford","stanford","ATOMIC SWIRL","4","atomic(+1) + swirl(3) = 4","atomic > swirl","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Symposium Mirage","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-symposium-mirage","footbagmoves","footbagmoves","ATOMIC SYMPOSIUM MIRAGE","4","atomic(+1) + symposium(+1) + mirage(2) = 4","atomic|symposium > mirage","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + symposium(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Whirl","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-whirl","footbagmoves","footbagmoves","ATOMIC WHIRL","4","atomic(+1) + whirl(3) = 4","atomic > whirl","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic far Symp. Whirl","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-symposium-whirl","passback","passback","ATOMIC SYMPOSIUM. WHIRL","5","atomic(+1) + symposium(+1) + whirl(3) = 5","atomic|symposium > whirl","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Symposium Whirl","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-symposium-whirl","footbagmoves","footbagmoves","ATOMIC SYMPOSIUM WHIRL","5","atomic(+1) + symposium(+1) + whirl(3) = 5","atomic|symposium > whirl","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Ducking far Torque","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-ducking-torque","passback","passback","ATOMIC DUCKING TORQUE","6","atomic(+1) + ducking(+1) + torque(4) = 6","atomic|ducking > torque","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + ducking(+1) + torque(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Ducking Torque","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-ducking-torque","footbagmoves","footbagmoves","ATOMIC DUCKING TORQUE","6","atomic(+1) + ducking(+1) + torque(4) = 6","atomic|ducking > torque","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + ducking(+1) + torque(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Gyro Torque","atomic-resolved: atomic-Q3 closed (atomic=+1)","atomic-gyro-torque","passback","passback","ATOMIC GYRO TORQUE","6","atomic(+1) + gyro(+1) + torque(4) = 6","atomic|gyro > torque","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + gyro(+1) + torque(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
