slug,source_bucket,ADD,family_operator_group,flags,missing_parent_slug,recommended_wave,rationale,next_action
blurry-reaper,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-reverse-guay,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
furious-double-legover,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
furious-drifter,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
furious-eggbeater,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
furious-illusion,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
furious-illusion-fission,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
furious-mirage,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-butterfly,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-double-legover,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-drifter-69,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-far-butterfly,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-far-mirage,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-near-butterfly,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-osis,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-butterfly,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-butterfly-barfry,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-dyno,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-dyno-godzilla,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-guay,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-illusion,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ss-legover,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ss-mirage,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-pickup,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ss-reverse-guay,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
floatation,unknown-notation,6,butterfly,notation_placeholder|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
gyro_diving_clipper,unknown-notation,3,clipper,notation_placeholder|operator_now_settled|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
blurry-ducking-barfly-leviathan,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-blender,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-butterfly-ripped-warrior,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-butterfly-swirl-cyborg,frontier,,ducking,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-ducking-eggbeater,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-eggbeater-golden-shower,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-illusion-avalanche,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-mirage,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-mirage-spike-hammer,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-ps-mirage,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-ps-whirl,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-torque,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-torque-gauntlet,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
clipper-ducking-blender,frontier,5,ducking,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
ducking-reverse-guay,frontier,3,ducking,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
nuclear-ducking-mirage,frontier,,ducking,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ducking-mirage-sumo-thong,frontier,,ducking,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
surging-ducking-blender,frontier,7,ducking,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
surging-ducking-paradox-symposium-whirling-rake,frontier,8,ducking,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
surging-ducking-paradox-torque,frontier,8,ducking,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
surging-ducking-torque,frontier,7,ducking,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
toe-ducking-legover,frontier,3,ducking,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
bill_ted_s_excellent_adventure,unknown-notation,5,eggbeater,decomposition_present,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
redwetter,unknown-notation,6,eggbeater,notation_placeholder|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
fairy-reverse-guay,frontier,3,fairy,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
fairy-reverse-swirl,frontier,4,fairy,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
fairy-reverse-whirl,frontier,4,fairy,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
terraging_illusion,unknown-notation,5,illusion,notation_placeholder|operator_now_settled|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
oh_wheely,unknown-notation,6,legover,decomposition_present,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
terraging_legover,unknown-notation,5,legover,notation_placeholder|operator_now_settled|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
paradox_blur,unknown-notation,5,mirage,notation_placeholder|operator_now_settled|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
terraging_mirage,unknown-notation,5,mirage,notation_placeholder|operator_now_settled|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
warp,unknown-notation,5,mirage,notation_placeholder|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
witchdoctor,unknown-notation,5,mirage,notation_placeholder|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
pixie-butterfly,frontier,4,pixie,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-illusion,frontier,3,pixie,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-leg-over,frontier,,pixie,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pixie-miraging-symposium-miraging-legover,frontier,6,pixie,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-reverse-guay,frontier,3,pixie,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-reverse-swirl,frontier,4,pixie,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-reverse-whirl,frontier,4,pixie,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pogo-barfly,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-barrage,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-butterfly,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-drifter,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-eggbeater,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-illusion,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-legover,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-mirage,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-pickup,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-flail,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-illusion,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-legover,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-mirage,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-pickup,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-barfly-porn-star,frontier,,shooting,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-butterfly,frontier,,shooting,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-eggbeater,frontier,,shooting,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-eggbeater-red-wetter,frontier,,shooting,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-mirage,frontier,,shooting,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-ss-illusion,frontier,,shooting,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-ss-legover,frontier,,shooting,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-ss-mirage,frontier,,shooting,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-ss-pickup,frontier,,shooting,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
butterfly-gyro-toe,frontier,4,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
gyro-reverse-guay,frontier,3,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
gyro-torque,frontier,5,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
inspinning-reverse-guay,frontier,2,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
shooting-gyro-mirage-cyclone,frontier,,spinning/gyro,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
spinning-miraging-symposium-miraging-refraction,frontier,7,spinning/gyro,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
spinning-paradox-miraging-symposium-torque,frontier,8,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
spinning-paradox-symposium-whirling-swirl,frontier,7,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
spinning-reverse-guay,frontier,3,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
spinning-reverse-swirl,frontier,4,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
spinning-reverse-whirl,frontier,4,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
spyro-gyro,frontier,2,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
toe-gyro-mirage,frontier,3,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
toe-spinning-torque,frontier,5,spinning/gyro,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
whirling-gyro-mirage,frontier,4,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
spyro,unknown-notation,1,spyro,notation_placeholder|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
blurry-drifter-stepping-paradox-drifter,frontier,,stepping,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-whirl-stepping-paradox-symposium-whirl,frontier,,stepping,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-whirling-swirl-stepping-paradox-whirling-swirl,frontier,,stepping,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
stepping-drifter,frontier,4,stepping,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
stepping-reverse-guay,frontier,3,stepping,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
stepping-reverse-swirl,frontier,4,stepping,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
stepping-reverse-whirl,frontier,4,stepping,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
stepping-torque,frontier,5,stepping,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
backside-symposium-smear,frontier,5,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
backside-symposium-toe-blizzard,frontier,5,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
blurry-illusioning-paradox-symposium-eggbeater,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-symposium-dlo,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-symposium-eggbeater,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-mirage-backside-blur,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-reverse-whirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-whirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-whirl-whirlygig,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-whirling-xbd-rake,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
furious-symposium-eggbeater-walrus,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
furious-symposium-mirage,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
illusioning-symp-illusioning-legover,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,every token resolves to a settled operator; flag is stale,Author operational notation; tokens now settled
paradox-blurry-whirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
paradox-symposium-whirling-rake,frontier,5,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
paradox-whirling-rake,frontier,4,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pogo-paradox-barrage,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-blender,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-blender-pogo-op-blender,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-drifter,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-eggbeater,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-mirage,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-torque,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-torque-pogo-op-torque,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-whirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-whirling-swirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-whirling-swirl-pogo-op-whirling-swirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-symposium-mirage,frontier,,symposium/paradox,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
reverse-swirling-paradox-torque,frontier,6,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-swirling-symposium-mirage,frontier,4,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
surging-paradox-blender,frontier,7,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
symp-illusioning-illusioning-mirage,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,every token resolves to a settled operator; flag is stale,Author operational notation; tokens now settled
