region,sub,atlas_coord,launch,landing,landing_grade,landing_lat,dex_side,direction,term_side,movement_family,symbolic_formula,add,grammar_status,representation,name,notes
1-DEX,cube,toe:peak/S.OUT.O,toe,peak,1,midline,SAME,OUT,OP,toe-launch / plain-midline square,TOE > SAME OUT [DEX] > PEAK [DEL],2,uncertain,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-DEX,cube,toe:peak/O.IN.S,toe,peak,1,midline,OP,IN,SAME,toe-launch / plain-midline square,TOE > OP IN [DEX] > PEAK [DEL],2,uncertain,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-DEX,cube,toe:peak/O.IN.O,toe,peak,1,midline,OP,IN,OP,toe-launch / plain-midline square,TOE > OP IN [DEX] > PEAK [DEL],2,uncertain,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-DEX,cube,toe:peak/O.OUT.S,toe,peak,1,midline,OP,OUT,SAME,toe-launch / plain-midline square,TOE > OP OUT [DEX] > PEAK [DEL],2,uncertain,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-DEX,cube,toe:peak/O.OUT.O,toe,peak,1,midline,OP,OUT,OP,toe-launch / plain-midline square,TOE > OP OUT [DEX] > PEAK [DEL],2,uncertain,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-DEX,cube,toe:clipper/S.IN.S,toe,clipper,2,paired,SAME,IN,SAME,toe-launch / cross-body cube,TOE > SAME IN [DEX] > SAME CLIPPER [XBD] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:clipper/S.IN.O,toe,clipper,2,paired,SAME,IN,OP,toe-launch / cross-body cube,TOE > SAME IN [DEX] > OP CLIPPER [XBD] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:clipper/S.OUT.S,toe,clipper,2,paired,SAME,OUT,SAME,toe-launch / cross-body cube,TOE > SAME OUT [DEX] > SAME CLIPPER [XBD] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:clipper/S.OUT.O,toe,clipper,2,paired,SAME,OUT,OP,toe-launch / cross-body cube,TOE > SAME OUT [DEX] > OP CLIPPER [XBD] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:clipper/O.IN.S,toe,clipper,2,paired,OP,IN,SAME,toe-launch / cross-body cube,TOE > OP IN [DEX] > SAME CLIPPER [XBD] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:clipper/O.IN.O,toe,clipper,2,paired,OP,IN,OP,toe-launch / cross-body cube,TOE > OP IN [DEX] > OP CLIPPER [XBD] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:clipper/O.OUT.S,toe,clipper,2,paired,OP,OUT,SAME,toe-launch / cross-body cube,TOE > OP OUT [DEX] > SAME CLIPPER [XBD] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:clipper/O.OUT.O,toe,clipper,2,paired,OP,OUT,OP,toe-launch / cross-body cube,TOE > OP OUT [DEX] > OP CLIPPER [XBD] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:heel/S.IN.S,toe,heel,2,paired,SAME,IN,SAME,toe-launch / unusual-surface cube,TOE > SAME IN [DEX] > SAME HEEL [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:heel/S.IN.O,toe,heel,2,paired,SAME,IN,OP,toe-launch / unusual-surface cube,TOE > SAME IN [DEX] > OP HEEL [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:heel/S.OUT.S,toe,heel,2,paired,SAME,OUT,SAME,toe-launch / unusual-surface cube,TOE > SAME OUT [DEX] > SAME HEEL [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:heel/S.OUT.O,toe,heel,2,paired,SAME,OUT,OP,toe-launch / unusual-surface cube,TOE > SAME OUT [DEX] > OP HEEL [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:heel/O.IN.S,toe,heel,2,paired,OP,IN,SAME,toe-launch / unusual-surface cube,TOE > OP IN [DEX] > SAME HEEL [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:heel/O.IN.O,toe,heel,2,paired,OP,IN,OP,toe-launch / unusual-surface cube,TOE > OP IN [DEX] > OP HEEL [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:heel/O.OUT.S,toe,heel,2,paired,OP,OUT,SAME,toe-launch / unusual-surface cube,TOE > OP OUT [DEX] > SAME HEEL [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:heel/O.OUT.O,toe,heel,2,paired,OP,OUT,OP,toe-launch / unusual-surface cube,TOE > OP OUT [DEX] > OP HEEL [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:sole/S.IN.S,toe,sole,2,paired,SAME,IN,SAME,toe-launch / unusual-surface cube,TOE > SAME IN [DEX] > SAME SOLE [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:sole/S.IN.O,toe,sole,2,paired,SAME,IN,OP,toe-launch / unusual-surface cube,TOE > SAME IN [DEX] > OP SOLE [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:sole/S.OUT.S,toe,sole,2,paired,SAME,OUT,SAME,toe-launch / unusual-surface cube,TOE > SAME OUT [DEX] > SAME SOLE [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:sole/S.OUT.O,toe,sole,2,paired,SAME,OUT,OP,toe-launch / unusual-surface cube,TOE > SAME OUT [DEX] > OP SOLE [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:sole/O.IN.S,toe,sole,2,paired,OP,IN,SAME,toe-launch / unusual-surface cube,TOE > OP IN [DEX] > SAME SOLE [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:sole/O.IN.O,toe,sole,2,paired,OP,IN,OP,toe-launch / unusual-surface cube,TOE > OP IN [DEX] > OP SOLE [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:sole/O.OUT.S,toe,sole,2,paired,OP,OUT,SAME,toe-launch / unusual-surface cube,TOE > OP OUT [DEX] > SAME SOLE [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:sole/O.OUT.O,toe,sole,2,paired,OP,OUT,OP,toe-launch / unusual-surface cube,TOE > OP OUT [DEX] > OP SOLE [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:cloud/S.IN.S,toe,cloud,2,midline,SAME,IN,SAME,toe-launch / unusual-surface cube,TOE > SAME IN [DEX] > CLOUD [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:cloud/S.IN.O,toe,cloud,2,midline,SAME,IN,OP,toe-launch / unusual-surface cube,TOE > SAME IN [DEX] > CLOUD [UNS] [DEL],3,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:cloud/S.OUT.S,toe,cloud,2,midline,SAME,OUT,SAME,toe-launch / unusual-surface cube,TOE > SAME OUT [DEX] > CLOUD [UNS] [DEL],3,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:cloud/S.OUT.O,toe,cloud,2,midline,SAME,OUT,OP,toe-launch / unusual-surface cube,TOE > SAME OUT [DEX] > CLOUD [UNS] [DEL],3,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
