"term","primary_axis","high_value","existing_ifpa_definition","passback_definition","symbolic_definition","operational_usage","canonical_status","educational_value","symbolic_value","overlap_type","recommended_action","notes"
"fearless","concept","false","","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: ADD Groupings"
"genuine","concept","false","","Within the guiltless tier are BOPs, which stand for the tricks “Butterfly”, “Osis”, and “Pdx Mirage”, which are the most basic guiltless tricks and the foundation for traditional guiltless play. Genuine Guiltless or just Genuine is a combo or string of Guiltless tricks that do not use BOPs, which is generally much more difficult.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: ADD Groupings; aliases: genuine guiltless"
"godly","concept","false","","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: ADD Groupings"
"guiltless","concept","false","","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: ADD Groupings"
"LIMP","concept","false","","LIMP tricks are the collection of basic toe tricks: Legover, Illusion, Mirage, and Pickup. CLIMP is an extension of LIMP which includes Clipper. An Everything drill is a drill which uses a single uptime set + each LIMP trick both sides. Ex: Pixie Everything = a drill of Pixie Legover, Pixie ss Legover, Pixie Illusion, Pixie ss Illusion, Pixie Mirage, Pixie ss Mirage, Pixie Pickup, and Pixie ss Pickup, each on both sides. An Everything drill has no set order, and just requires every unique trick be done once.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks"
"link","concept","false","","The typical way that the sport is played is with strings or runs, which are continuous flows of tricks performed in an unplanned “stream of consciousness” style. Tricks performed one after another are said to be linked together. String length is counted in “contacts,” which in this context is used generically to encompass tricks, stalls, kicks, etc. Ex: a 12-contact string.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks; aliases: transition"
"magic hop","concept","false","","To get more energy and rhythm into stalls and sets, the magic hop is used, where the support leg does a small hop just before and just after the bag is stalled on the set foot. The magic hop helps to use less energy and smoothen stalls and sets. It doesn’t seem to be universally agreed upon if the magic hop refers to the hop during “catch” or “set”, or rather a combination of the two.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Setting the Bag"
"midstring","concept","false","","Doing a trick, or being able to do a trick in the middle of a string is called midstring, which is typically much harder than doing the trick in isolation.","","","non_canonical","low","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks"
"midtime","concept","false","","Trick phases A single trick can be broken down into three phases depending on which direction the bag is moving at a given time. The uptime of a trick is in the time when the bag is moving up, the downtime is when the bag is moving down, and the midtime is the brief moment in between uptime and midtime when the bag is peaking.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Trick phases; aliases: hangtime"
"mirror","concept","false","","A mirror is a link where the two tricks are mirror images of each other when comparing them in forward and reverse motion. For example, Smear>Atomic Legover is a mirror link because if the combo were reversed after the second trick, it would play back as Smear>Atomic Legover (like a palindrome).","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks"
"rewind","concept","false","","A rewind combo is similar to a drill, but at the halfway point, the combo order reverses instead of taking the same order. For example, Legover>ss Mirage>ss Mirage>Legover.","","","non_canonical","low","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks"
"run","concept","false","A continuous sequence of tricks. ---","Shoes Though footbag can be played barefoot or with any kind of shoe, there are certain kinds that are most-suited to the sport. Among the many brands and models used over the years, the two that have most become part of the culture are the Adidas Rod Laver and Quantums. For a long time, from the mid-90s to mid-2010s, Lavers were the standard freestyle shoe, but the specific model that was popular is no longer made. Quantums were the first shoes designed specifically for footbag by the community itself which had a run in the 2010s and have recently been redesigned and released.","","","canonical_glossary","medium","absent","broader_passback","PROMOTE — PassBack adds significant educational depth IFPA lacks","PB section: Shoes; aliases: string"
"set","concept","true","The action used to position the bag before a trick. * **Uptime** — before the peak * **Midtime (hangtime)** — at the peak * **Downtime** — after the peak 👉 Modern usage: *set = uptime + midtime components* ---","Setting the Bag        2","","","canonical_glossary","low","absent","broader_ifpa","PRESERVE — IFPA carries more authority/precision; PassBack as enrichment","aliases: setting the bag"
"shuffle combo","concept","false","","A shuffle combo or shuffling is made out of linking tricks together that use uptime dexing sets.","","","non_canonical","low","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks; aliases: shuffling"
"stall","concept","true","","Brand new bags tend to have stiff material that needs to be broken-in. A not broken-in bag will often be rolly and harder to control, while a well broken-in bag will be more floppy or stally.","","","non_canonical","low","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Bags; aliases: delay"
"tiltless","concept","false","","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: ADD Groupings"
"tripless","concept","false","","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: ADD Groupings"
"uptime","concept","false","","Trick phases A single trick can be broken down into three phases depending on which direction the bag is moving at a given time. The uptime of a trick is in the time when the bag is moving up, the downtime is when the bag is moving down, and the midtime is the brief moment in between uptime and midtime when the bag is peaking.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Trick phases; aliases: uptime set, uptime dex"
"bigfoot","execution","false","","Because toe and clipper are the most common contacts, there are two terms to describe a player’s preference for the sides of those. A left/right bigfoot player is one whose strong toe and clipper use the same foot. A left/right sideways player is one whose strong toe and clipper use the same side.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Stance"
"clean","execution","false","Abbreviation: Fully controlled, clearly executed","A clean trick or trick component is one performed well and without flaws.","","","canonical_glossary","low","absent","complementary","SYNTHESIZE — both sources contribute; merge complementary aspects","PB section: Execution"
"crowny","execution","false","","A well-executed duck is one performed close to the neck, and a duck becomes thinner the farther from the neck it gets. A duck done with just the very top of the head is said to be crowny.","","","non_canonical","low","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Execution"
"deep dex","execution","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"flip side","execution","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"pulled set","execution","false","Abbreviation: Dex completed too early (not clean)","A pulled or slurry set is one where the bag is dragged through an uptime dex or a spin before the intended component actually happens (ex: a Stepping set where the leg passes over the bag while the bag remains on the set foot). Pulled spins are also sometimes referred to as froggy.","","","canonical_glossary","medium","absent","complementary","SYNTHESIZE — both sources contribute; merge complementary aspects","PB section: Execution; aliases: slurry"
"scoopy","execution","false","","A trick that ends on a toe stall that is caught with a very arced or circular motion instead of a straight up and down motion is referred to as scooped or scoopy.","","","non_canonical","low","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Execution; aliases: scooped"
"shoey","execution","false","","A clean dex is one performed within the dex window, which is the phantom space in the air that the leg draws around the bag. A deep dex is one performed high in the window, further away from the shoe. A thin dex is one performed close to the edge of the window, closer to the shoe, and a very thin dex performed with just a bit of the shoe is sometimes called shoey.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Execution"
"sideways","execution","false","","Because toe and clipper are the most common contacts, there are two terms to describe a player’s preference for the sides of those. A left/right bigfoot player is one whose strong toe and clipper use the same foot. A left/right sideways player is one whose strong toe and clipper use the same side.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Stance"
"strong side","execution","false","","Stance Since the majority of tricks can be done identically using either side of the body, there are a couple of terms to denote a player’s side preferences. A player’s preferred side for a trick or a trick component is their strong side, and their non-preferred one is their flip side.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Stance"
"the","execution","false","","As much as possible, the terms in this document are defined from simple to complex. Terms defined later in the document often build upon ones from earlier in the document. The first use of a term is bolded, while further uses of it are in normal text. Alphabetical index of all terms can be found at the end of the document.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer",""
"thin dex","execution","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"alpine","modifier","false","","Alpine + [base trick] means to divide the trick between its uptime and downtime components (as long as it has both) and insert a duck or dive in between. Taking Ripwalk as the base trick (Stepping op Butterfly), Alpine Ripwalk is a Stepping Ducking Butterfly. Alpine can be applied to a nickname or technical name, so you could say Alpine Ripwalk or Alpine Stepping op Butterfly to mean the same thing.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Shorthand modifiers"
"atomic","modifier","true","","","Set modifier adding +1 non-rotational / +2 on rotational base.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=2 / type=set"
"backside","modifier","false","","Backside (BS) + [base trick] means to change the downtime component to symposium. Ex: BS Atomsmasher = Atomic Symp Mirage.","Body modifier adding +1 ADD (Symposium-equivalent per Red pt9). NOT a direction term.","","canonical_modifier","low","high","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","Modifier table: add_bonus=1 / rotational=1 / type=body; PB section: Symposium modifiers"
"barraging","modifier","false","","","Body modifier adding +1 ADD. The Flurry name decomposes as Barraging Legover.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=body"
"blurry","modifier","false","","","Set modifier adding +1 ADD (flat per pt11; was +2 on rotational base).","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=set; aliases: blur"
"crispy","modifier","false","","Crispy + [base trick] means to take part of the downtime phase of the base trick and “re-time” it into the uptime. For example, a DLO is a downtime Miraging Legover. A “crispy DLO” takes the mirage and moves it from downtime to uptime (making a Blurry Legover), which results in a trick that uses the same motions, but different timing. Crispy is not commonly used, and is (IMO) sometimes longer or more confusing than using the technical name.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Shorthand modifiers"
"diving","modifier","false","","Alpine + [base trick] means to divide the trick between its uptime and downtime components (as long as it has both) and insert a duck or dive in between. Taking Ripwalk as the base trick (Stepping op Butterfly), Alpine Ripwalk is a Stepping Ducking Butterfly. Alpine can be applied to a nickname or technical name, so you could say Alpine Ripwalk or Alpine Stepping op Butterfly to mean the same thing.","Body modifier adding +1 ADD. Dive body action interleaved.","","canonical_modifier","medium","high","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","Modifier table: add_bonus=1 / rotational=1 / type=body; PB section: Shorthand modifiers"
"ducking","modifier","true","","Ducks        4","Body modifier adding +1 ADD. Duck body action interleaved between dexes.","","canonical_modifier","low","high","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","Modifier table: add_bonus=1 / rotational=1 / type=body"
"fairy","modifier","false","","","Set modifier adding +1 ADD universally.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=set"
"furious","modifier","false","","","Set modifier adding +1 non-rotational / +2 on rotational base. Parallel to Atomic.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=2 / type=set"
"gyro","modifier","false","","Ducking: head moves towards the bag, bag falls to the opposite side the head moved Weaving: head moves towards the bag, bag falls to the same side the head moved Diving: head moves over the bag and under it back to the original position, bag falls to the same side as the initial head movement Zulu: head moves over the bag and under it back to the original position, bag falls to the opposite side as the initial head movement Spins Spins are performed by rotating the entire body to various degrees: gyro means to spin 180 degrees, while spinning means to spin 360 degrees. The two terms can be com","Rotation modifier adding +1 ADD. Underlies mobius (gyro torque).","","canonical_modifier","high","high","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","Modifier table: add_bonus=1 / rotational=1 / type=body; PB section: Spins"
"inspinning","modifier","false","","Spins are most commonly performed as backspins where the body turns away from the bag and the back passes the bag first. An inspin turns towards the bag and the chest passes the bag first. Unless the prefix in- is used, a spin is presumed to be a backspin. In can be applied to Spinning, Gyro, or even full trick names to change the direction of the spin (like In-Vortex to mean In-gyro Drifter).","Rotation modifier distinct from Spinning per Red pt3.","","cross_referenced_existing","medium","high","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","PB section: Spins; aliases: inspin"
"miraging","modifier","false","","","Body modifier adding +1 ADD. Underlies named tricks: drifter (miraging clipper), torque (miraging osis), DLO (miraging legover).","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=body"
"muted","modifier","false","","A muted component is one where an active leg is held in the air for the entirety of a component without putting it on the ground. Like symposium and symple, it’s mostly used for dexes, but can be applied to other components as well. Some combinations of components more naturally lead to something muted (like Clipper>Swirl), while for others doing something muted is a variation (like Pixie ss Mirage).","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: In the air"
"nuclear","modifier","false","","","Set modifier adding +2 ADD. Structurally Paradox + Atomic per Red pt10.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=2 / rotational=2 / type=set"
"paradox","modifier","true","Abbreviation: Paradox","Paradox        5","Body modifier adding +1 ADD. Structurally an in-then-out dex pair.","","canonical_modifier","low","high","complementary","SYNTHESIZE — both sources contribute; merge complementary aspects","Modifier table: add_bonus=1 / rotational=1 / type=body; aliases: pdx, PS"
"pixie","modifier","true","","","Set modifier adding +1 ADD universally.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=set"
"pogo","modifier","false","","","Set modifier that does NOT contribute ADD per Red pt6.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=0 / rotational=0 / type=set"
"quantum","modifier","true","","","Set modifier adding +1 ADD universally per Red pt10.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=set"
"rooted","modifier","false","","Other Contacts Other less common types of contacts are: rolls, where the bag literally rolls from one position to another; pincher, where the bag is grabbed with the back of the knee; burger or stallburger where the bag is trapped between two surfaces (usually with the bag in a Toe Stall and using the other shoe on top); transfer, where the bag is moved from one contact to another; wrap where an Inside Stall is moved into a Clipper (or vice versa); walkover where the stalling foot is placed on the ground and the other steps over it; and rake where the bag is grabbed from one position and dragg","Set modifier with 0 ADD per Red pt8. Held position; no plant.","","canonical_modifier","high","high","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","Modifier table: add_bonus=0 / rotational=0 / type=set; PB section: Other Contacts"
"shooting","modifier","false","","","Set modifier adding +3 ADD per Red pt7/pt9.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=3 / rotational=3 / type=set"
"spinning","modifier","true","","Spins        4","Rotation modifier adding +1 ADD (flat per pt10; was +2 on rotational base).","","canonical_modifier","low","high","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","Modifier table: add_bonus=1 / rotational=1 / type=body"
"stepping","modifier","false","","","Body modifier adding +1 ADD. A step action interleaved into the trick.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=body"
"swirling","modifier","false","","","Rotation modifier adding +1 ADD (flat per pt10).","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=body"
"symple","modifier","false","","A symple component is one that starts symposium but midway through, the non-symple foot returns to the ground. Like symposium, symple is normally applied to dexes, but can be used for any component that fits the description. A trick that is more naturally done symple can technically be done symposium, but the bag would have to be caught in a rooted position (ex: Legover, Swirl).","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: In the air"
"symposium","modifier","true","","Symposium modifiers        7","Body modifier adding +1 ADD. Structurally a forward-then-back paradox.","","canonical_modifier","low","high","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","Modifier table: add_bonus=1 / rotational=1 / type=body; aliases: symp, FS, BS, frontside, backside, full symp"
"tapping","modifier","false","","","Body modifier adding +1 ADD. Distinct from Stepping per Red pt3.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=body"
"weaving","modifier","false","","","Body modifier adding +1 ADD.","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=body"
"whirling","modifier","false","","","Rotation modifier adding +1 ADD (flat per pt10). Underlies blender (whirling osis).","","canonical_modifier","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","Modifier table: add_bonus=1 / rotational=1 / type=body"
"xdex","modifier","false","A dexterity performed in a crossed-body position. **Example:** * Atom Smasher uses an X-dex ---","ADD Categories ADDs are counted in whole numbers and are awarded for various components that are each worth 1 ADD: DEL, DEX, XBD (with the same meanings as previously defined), UNS for any contact surfaces apart from Toe, Inside, Outside, and Knee), and BOD for any Spinning, Ducking, Paradox, Symp, Flying, or Xdex component. Xdex is similar to Paradox in that it involves hip pivoting and positioning the body between dexes, but for Toe tricks instead of Xbd ones (ex: the movement in an Atomsmasher after the set to bring the Mirage leg under the bag).","Adds +1 to specific construction tricks (Atom Smasher per pt1). Narrow scope; not a broad modifier.","","canonical_modifier","medium","high","broader_passback","PROMOTE — PassBack adds significant educational depth IFPA lacks","Modifier table: add_bonus=1 / rotational=1 / type=body; PB section: ADD Categories; aliases: x-dex"
"zulu","modifier","false","","Ducks Ducks are performed by dipping the head in a particular direction and allowing the bag to pass around the neck. Ducking, diving, weaving, and zulu are all variations of the general ducking component that differ in the direction the head moves and where the bag goes after the duck:","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Ducks"
"BOD","notation","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"DEL","notation","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"full dex","notation","false","","Dex Styles & Fullness Dexes can be done in two movement styles: hippy, where the dex motion comes from the hip and the thigh circles the bag, or leggy, where the dex motion comes from the knee and the calf circles the bag. Every dex can also be described in terms of “fullness”: A full dex is one that circles that bag entirely (leg starts on the left, circles the bag, and ends on the left). A half dex only circles the bag partially (leg starts on the left, circles the bag, and ends on the right).","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Dex Styles & Fullness"
"half dex","notation","false","","Dex Styles & Fullness Dexes can be done in two movement styles: hippy, where the dex motion comes from the hip and the thigh circles the bag, or leggy, where the dex motion comes from the knee and the calf circles the bag. Every dex can also be described in terms of “fullness”: A full dex is one that circles that bag entirely (leg starts on the left, circles the bag, and ends on the left). A half dex only circles the bag partially (leg starts on the left, circles the bag, and ends on the right).","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Dex Styles & Fullness"
"hippy","notation","false","","Dex Styles & Fullness Dexes can be done in two movement styles: hippy, where the dex motion comes from the hip and the thigh circles the bag, or leggy, where the dex motion comes from the knee and the calf circles the bag. Every dex can also be described in terms of “fullness”: A full dex is one that circles that bag entirely (leg starts on the left, circles the bag, and ends on the left). A half dex only circles the bag partially (leg starts on the left, circles the bag, and ends on the right).","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Dex Styles & Fullness"
"in","notation","false","","Dex Directions Dexes can be performed in two directions that are relative to the center of the body: in-out, or in for short, which move away from the body (from “in” the body to “out” of the body), and out-in or out for short, which move towards the body.","Inward-arc indicator in semantic notation.","","cross_referenced_existing","medium","medium","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","PB section: Dex Directions; aliases: in-out dex"
"Jobs notation","notation","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"leggy","notation","false","","Dex Styles & Fullness Dexes can be done in two movement styles: hippy, where the dex motion comes from the hip and the thigh circles the bag, or leggy, where the dex motion comes from the knee and the calf circles the bag. Every dex can also be described in terms of “fullness”: A full dex is one that circles that bag entirely (leg starts on the left, circles the bag, and ends on the left). A half dex only circles the bag partially (leg starts on the left, circles the bag, and ends on the right).","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Dex Styles & Fullness"
