base_id,symbolic_formula,dex1,dex2,dex3,launch_surface,terminal_surface,positional_reading,normalized_terminal,normalized_formula,equivalence_group,existing_matched_object,coarticulated_in_corpus,classification,same_wording_collapses,representation_confidence,notes
SIN-SIN-OIN,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],SAME IN,SAME IN,OP IN,toe,toe,OP,OP,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],EQ006,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SIN-OIN,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],SAME IN,SAME IN,OP IN,toe,toe,FAR,OP,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],EQ006,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SIN-OOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],SAME IN,SAME IN,OP OUT,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],EQ007,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SIN-OOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],SAME IN,SAME IN,OP OUT,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],EQ007,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SIN-OOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],SAME IN,SAME IN,OP OUT,toe,toe,OP,OP,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],EQ008,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SIN-OOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],SAME IN,SAME IN,OP OUT,toe,toe,FAR,OP,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],EQ008,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SOUT-SIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME IN,SAME OUT,SAME IN,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ009,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SOUT-SIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME IN,SAME OUT,SAME IN,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ009,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SOUT-SIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME IN,SAME OUT,SAME IN,toe,toe,OP,OP,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ010,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SOUT-SIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME IN,SAME OUT,SAME IN,toe,toe,FAR,OP,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ010,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SOUT-SOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME IN,SAME OUT,SAME OUT,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ011,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SOUT-SOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME IN,SAME OUT,SAME OUT,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ011,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SOUT-SOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],SAME IN,SAME OUT,SAME OUT,toe,toe,OP,OP,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],EQ012,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SOUT-SOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],SAME IN,SAME OUT,SAME OUT,toe,toe,FAR,OP,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],EQ012,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SOUT-OIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],SAME IN,SAME OUT,OP IN,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],EQ013,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SOUT-OIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],SAME IN,SAME OUT,OP IN,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],EQ013,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SOUT-OIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],SAME IN,SAME OUT,OP IN,toe,toe,OP,OP,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],EQ014,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SOUT-OIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],SAME IN,SAME OUT,OP IN,toe,toe,FAR,OP,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],EQ014,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SOUT-OOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],SAME IN,SAME OUT,OP OUT,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],EQ015,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SOUT-OOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],SAME IN,SAME OUT,OP OUT,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],EQ015,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SOUT-OOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],SAME IN,SAME OUT,OP OUT,toe,toe,OP,OP,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],EQ016,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SOUT-OOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],SAME IN,SAME OUT,OP OUT,toe,toe,FAR,OP,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],EQ016,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OIN-SIN,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME IN,OP IN,SAME IN,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ017,pixie_double_pickup,yes,A,,high,formula identity matches one active canonical trick
SIN-OIN-SIN,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME IN,OP IN,SAME IN,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ017,pixie_double_pickup,yes,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OIN-SIN,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME IN,OP IN,SAME IN,toe,toe,OP,OP,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ018,pixie_barrage,,A,,high,formula identity matches one active canonical trick
SIN-OIN-SIN,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME IN,OP IN,SAME IN,toe,toe,FAR,OP,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ018,pixie_barrage,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OIN-SOUT,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME IN,OP IN,SAME OUT,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ019,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OIN-SOUT,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME IN,OP IN,SAME OUT,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ019,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OIN-SOUT,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],SAME IN,OP IN,SAME OUT,toe,toe,OP,OP,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],EQ020,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OIN-SOUT,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],SAME IN,OP IN,SAME OUT,toe,toe,FAR,OP,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],EQ020,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OIN-OIN,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],SAME IN,OP IN,OP IN,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],EQ021,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OIN-OIN,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],SAME IN,OP IN,OP IN,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],EQ021,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OIN-OIN,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],SAME IN,OP IN,OP IN,toe,toe,OP,OP,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],EQ022,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OIN-OIN,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],SAME IN,OP IN,OP IN,toe,toe,FAR,OP,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],EQ022,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OIN-OOUT,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],SAME IN,OP IN,OP OUT,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],EQ023,smog|pixie_quantum_legover,yes,B,,high,formula identity carried by 2 active names
SIN-OIN-OOUT,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],SAME IN,OP IN,OP OUT,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],EQ023,smog|pixie_quantum_legover,yes,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OIN-OOUT,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],SAME IN,OP IN,OP OUT,toe,toe,OP,OP,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],EQ024,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OIN-OOUT,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],SAME IN,OP IN,OP OUT,toe,toe,FAR,OP,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],EQ024,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OOUT-SIN,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME IN,OP OUT,SAME IN,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ025,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OOUT-SIN,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME IN,OP OUT,SAME IN,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ025,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OOUT-SIN,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME IN,OP OUT,SAME IN,toe,toe,OP,OP,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ026,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OOUT-SIN,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME IN,OP OUT,SAME IN,toe,toe,FAR,OP,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ026,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OOUT-SOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME IN,OP OUT,SAME OUT,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ027,pixie_double_switch_over,,A,,high,formula identity matches one active canonical trick
SIN-OOUT-SOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME IN,OP OUT,SAME OUT,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ027,pixie_double_switch_over,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OOUT-SOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],SAME IN,OP OUT,SAME OUT,toe,toe,OP,OP,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],EQ028,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OOUT-SOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],SAME IN,OP OUT,SAME OUT,toe,toe,FAR,OP,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],EQ028,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OOUT-OIN,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],SAME IN,OP OUT,OP IN,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],EQ029,sailing_pickup,,A,,high,formula identity matches one active canonical trick
SIN-OOUT-OIN,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],SAME IN,OP OUT,OP IN,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],EQ029,sailing_pickup,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OOUT-OIN,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],SAME IN,OP OUT,OP IN,toe,toe,OP,OP,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],EQ030,sailing_mirage,,A,,high,formula identity matches one active canonical trick
SIN-OOUT-OIN,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],SAME IN,OP OUT,OP IN,toe,toe,FAR,OP,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],EQ030,sailing_mirage,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OOUT-OOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],SAME IN,OP OUT,OP OUT,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],EQ031,pigbeater|pixie_eggbeater|sailing_legover,yes,B,,high,formula identity carried by 3 active names
SIN-OOUT-OOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],SAME IN,OP OUT,OP OUT,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],EQ031,pigbeater|pixie_eggbeater|sailing_legover,yes,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-OOUT-OOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],SAME IN,OP OUT,OP OUT,toe,toe,OP,OP,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],EQ032,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-OOUT-OOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],SAME IN,OP OUT,OP OUT,toe,toe,FAR,OP,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],EQ032,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SOUT-SIN-SIN,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME OUT,SAME IN,SAME IN,toe,toe,SAME,SAME,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ033,,,D,,high,"distinct, representable formula; no active object at this identity"
SOUT-SIN-SIN,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME OUT,SAME IN,SAME IN,toe,toe,NEAR,SAME,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ033,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SOUT-SIN-SIN,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME OUT,SAME IN,SAME IN,toe,toe,OP,OP,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ034,fairy_barrage,,A,,high,formula identity matches one active canonical trick
SOUT-SIN-SIN,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME OUT,SAME IN,SAME IN,toe,toe,FAR,OP,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ034,fairy_barrage,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SOUT-SIN-SOUT,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME OUT,SAME IN,SAME OUT,toe,toe,SAME,SAME,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ035,,,D,,high,"distinct, representable formula; no active object at this identity"
