layer,launch,landing,dex,terminal,symbolic_formula,add,status,failure_class,reason
0-dex kick,(set),inside,none,[KICK],INSIDE [KICK],?,failure,internal-contradiction,bare-surface strike scores 1 in the corpus but carries no scored generator; violates ADD = scored-generator count; candidate missing primitive (pogo twin)
1-dex,toe,SAME toe,SAME IN,[DEL],TOE > SAME IN [DEX] > SAME TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP toe,SAME IN,[DEL],TOE > SAME IN [DEX] > OP TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME toe,SAME OUT,[DEL],TOE > SAME OUT [DEX] > SAME TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP toe,SAME OUT,[DEL],TOE > SAME OUT [DEX] > OP TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME toe,OP IN,[DEL],TOE > OP IN [DEX] > SAME TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP toe,OP IN,[DEL],TOE > OP IN [DEX] > OP TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME toe,OP OUT,[DEL],TOE > OP OUT [DEX] > SAME TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP toe,OP OUT,[DEL],TOE > OP OUT [DEX] > OP TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME inside,SAME IN,[DEL],TOE > SAME IN [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP inside,SAME IN,[DEL],TOE > SAME IN [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME inside,SAME OUT,[DEL],TOE > SAME OUT [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP inside,SAME OUT,[DEL],TOE > SAME OUT [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME inside,OP IN,[DEL],TOE > OP IN [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP inside,OP IN,[DEL],TOE > OP IN [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME inside,OP OUT,[DEL],TOE > OP OUT [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP inside,OP OUT,[DEL],TOE > OP OUT [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME outside,SAME IN,[DEL],TOE > SAME IN [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP outside,SAME IN,[DEL],TOE > SAME IN [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME outside,SAME OUT,[DEL],TOE > SAME OUT [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP outside,SAME OUT,[DEL],TOE > SAME OUT [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME outside,OP IN,[DEL],TOE > OP IN [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP outside,OP IN,[DEL],TOE > OP IN [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME outside,OP OUT,[DEL],TOE > OP OUT [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP outside,OP OUT,[DEL],TOE > OP OUT [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME knee,SAME IN,[DEL],TOE > SAME IN [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP knee,SAME IN,[DEL],TOE > SAME IN [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME knee,SAME OUT,[DEL],TOE > SAME OUT [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP knee,SAME OUT,[DEL],TOE > SAME OUT [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME knee,OP IN,[DEL],TOE > OP IN [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP knee,OP IN,[DEL],TOE > OP IN [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME knee,OP OUT,[DEL],TOE > OP OUT [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP knee,OP OUT,[DEL],TOE > OP OUT [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME shoulder,SAME IN,[DEL],TOE > SAME IN [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP shoulder,SAME IN,[DEL],TOE > SAME IN [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME shoulder,SAME OUT,[DEL],TOE > SAME OUT [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP shoulder,SAME OUT,[DEL],TOE > SAME OUT [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME shoulder,OP IN,[DEL],TOE > OP IN [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP shoulder,OP IN,[DEL],TOE > OP IN [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME shoulder,OP OUT,[DEL],TOE > OP OUT [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP shoulder,OP OUT,[DEL],TOE > OP OUT [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,head,SAME IN,[DEL],TOE > SAME IN [DEX] > HEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,head,SAME IN,[DEL],TOE > SAME IN [DEX] > HEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,head,SAME OUT,[DEL],TOE > SAME OUT [DEX] > HEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,head,SAME OUT,[DEL],TOE > SAME OUT [DEX] > HEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,head,OP IN,[DEL],TOE > OP IN [DEX] > HEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,head,OP IN,[DEL],TOE > OP IN [DEX] > HEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,head,OP OUT,[DEL],TOE > OP OUT [DEX] > HEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,head,OP OUT,[DEL],TOE > OP OUT [DEX] > HEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,forehead,SAME IN,[DEL],TOE > SAME IN [DEX] > FOREHEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,forehead,SAME IN,[DEL],TOE > SAME IN [DEX] > FOREHEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,forehead,SAME OUT,[DEL],TOE > SAME OUT [DEX] > FOREHEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,forehead,SAME OUT,[DEL],TOE > SAME OUT [DEX] > FOREHEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,forehead,OP IN,[DEL],TOE > OP IN [DEX] > FOREHEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,forehead,OP IN,[DEL],TOE > OP IN [DEX] > FOREHEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,forehead,OP OUT,[DEL],TOE > OP OUT [DEX] > FOREHEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,forehead,OP OUT,[DEL],TOE > OP OUT [DEX] > FOREHEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,neck,SAME IN,[DEL],TOE > SAME IN [DEX] > NECK [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,neck,SAME IN,[DEL],TOE > SAME IN [DEX] > NECK [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,neck,SAME OUT,[DEL],TOE > SAME OUT [DEX] > NECK [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,neck,SAME OUT,[DEL],TOE > SAME OUT [DEX] > NECK [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,neck,OP IN,[DEL],TOE > OP IN [DEX] > NECK [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,neck,OP IN,[DEL],TOE > OP IN [DEX] > NECK [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,neck,OP OUT,[DEL],TOE > OP OUT [DEX] > NECK [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,neck,OP OUT,[DEL],TOE > OP OUT [DEX] > NECK [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,peak,SAME IN,[DEL],TOE > SAME IN [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,toe,peak,SAME IN,[DEL],TOE > SAME IN [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,toe,peak,SAME OUT,[DEL],TOE > SAME OUT [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,toe,peak,SAME OUT,[DEL],TOE > SAME OUT [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,toe,peak,OP IN,[DEL],TOE > OP IN [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,toe,peak,OP IN,[DEL],TOE > OP IN [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,toe,peak,OP OUT,[DEL],TOE > OP OUT [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,toe,peak,OP OUT,[DEL],TOE > OP OUT [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,toe,SAME clipper,SAME IN,[XBD] [DEL],TOE > SAME IN [DEX] > SAME CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP clipper,SAME IN,[XBD] [DEL],TOE > SAME IN [DEX] > OP CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME clipper,SAME OUT,[XBD] [DEL],TOE > SAME OUT [DEX] > SAME CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP clipper,SAME OUT,[XBD] [DEL],TOE > SAME OUT [DEX] > OP CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME clipper,OP IN,[XBD] [DEL],TOE > OP IN [DEX] > SAME CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP clipper,OP IN,[XBD] [DEL],TOE > OP IN [DEX] > OP CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME clipper,OP OUT,[XBD] [DEL],TOE > OP OUT [DEX] > SAME CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP clipper,OP OUT,[XBD] [DEL],TOE > OP OUT [DEX] > OP CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME heel,SAME IN,[UNS] [DEL],TOE > SAME IN [DEX] > SAME HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP heel,SAME IN,[UNS] [DEL],TOE > SAME IN [DEX] > OP HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME heel,SAME OUT,[UNS] [DEL],TOE > SAME OUT [DEX] > SAME HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP heel,SAME OUT,[UNS] [DEL],TOE > SAME OUT [DEX] > OP HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME heel,OP IN,[UNS] [DEL],TOE > OP IN [DEX] > SAME HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP heel,OP IN,[UNS] [DEL],TOE > OP IN [DEX] > OP HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME heel,OP OUT,[UNS] [DEL],TOE > OP OUT [DEX] > SAME HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP heel,OP OUT,[UNS] [DEL],TOE > OP OUT [DEX] > OP HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME sole,SAME IN,[UNS] [DEL],TOE > SAME IN [DEX] > SAME SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP sole,SAME IN,[UNS] [DEL],TOE > SAME IN [DEX] > OP SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME sole,SAME OUT,[UNS] [DEL],TOE > SAME OUT [DEX] > SAME SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP sole,SAME OUT,[UNS] [DEL],TOE > SAME OUT [DEX] > OP SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME sole,OP IN,[UNS] [DEL],TOE > OP IN [DEX] > SAME SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP sole,OP IN,[UNS] [DEL],TOE > OP IN [DEX] > OP SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,SAME sole,OP OUT,[UNS] [DEL],TOE > OP OUT [DEX] > SAME SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,OP sole,OP OUT,[UNS] [DEL],TOE > OP OUT [DEX] > OP SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,cloud,SAME IN,[UNS] [DEL],TOE > SAME IN [DEX] > CLOUD [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,cloud,SAME IN,[UNS] [DEL],TOE > SAME IN [DEX] > CLOUD [UNS] [DEL],3,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,cloud,SAME OUT,[UNS] [DEL],TOE > SAME OUT [DEX] > CLOUD [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,cloud,SAME OUT,[UNS] [DEL],TOE > SAME OUT [DEX] > CLOUD [UNS] [DEL],3,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,cloud,OP IN,[UNS] [DEL],TOE > OP IN [DEX] > CLOUD [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,cloud,OP IN,[UNS] [DEL],TOE > OP IN [DEX] > CLOUD [UNS] [DEL],3,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,toe,cloud,OP OUT,[UNS] [DEL],TOE > OP OUT [DEX] > CLOUD [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,toe,cloud,OP OUT,[UNS] [DEL],TOE > OP OUT [DEX] > CLOUD [UNS] [DEL],3,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,clipper,SAME toe,SAME IN,[DEL],CLIP > SAME IN [DEX] > SAME TOE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP toe,SAME IN,[DEL],CLIP > SAME IN [DEX] > OP TOE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME toe,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > SAME TOE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP toe,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > OP TOE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME toe,OP IN,[DEL],CLIP > OP IN [DEX] > SAME TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP toe,OP IN,[DEL],CLIP > OP IN [DEX] > OP TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME toe,OP OUT,[DEL],CLIP > OP OUT [DEX] > SAME TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP toe,OP OUT,[DEL],CLIP > OP OUT [DEX] > OP TOE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME inside,SAME IN,[DEL],CLIP > SAME IN [DEX] > SAME INSIDE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP inside,SAME IN,[DEL],CLIP > SAME IN [DEX] > OP INSIDE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME inside,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > SAME INSIDE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP inside,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > OP INSIDE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME inside,OP IN,[DEL],CLIP > OP IN [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP inside,OP IN,[DEL],CLIP > OP IN [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME inside,OP OUT,[DEL],CLIP > OP OUT [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP inside,OP OUT,[DEL],CLIP > OP OUT [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME outside,SAME IN,[DEL],CLIP > SAME IN [DEX] > SAME OUTSIDE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP outside,SAME IN,[DEL],CLIP > SAME IN [DEX] > OP OUTSIDE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME outside,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > SAME OUTSIDE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP outside,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > OP OUTSIDE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME outside,OP IN,[DEL],CLIP > OP IN [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP outside,OP IN,[DEL],CLIP > OP IN [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME outside,OP OUT,[DEL],CLIP > OP OUT [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP outside,OP OUT,[DEL],CLIP > OP OUT [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME knee,SAME IN,[DEL],CLIP > SAME IN [DEX] > SAME KNEE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP knee,SAME IN,[DEL],CLIP > SAME IN [DEX] > OP KNEE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME knee,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > SAME KNEE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP knee,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > OP KNEE [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME knee,OP IN,[DEL],CLIP > OP IN [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP knee,OP IN,[DEL],CLIP > OP IN [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME knee,OP OUT,[DEL],CLIP > OP OUT [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP knee,OP OUT,[DEL],CLIP > OP OUT [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME shoulder,SAME IN,[DEL],CLIP > SAME IN [DEX] > SAME SHOULDER [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP shoulder,SAME IN,[DEL],CLIP > SAME IN [DEX] > OP SHOULDER [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME shoulder,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > SAME SHOULDER [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP shoulder,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > OP SHOULDER [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
