slug,current_description,fb_org_description,fb_org_useful_points,recommendation,proposed_about_text,proposed_movement_intuition,source_confidence,priority
eggbeater,Illusion-modified legover.,"An atomic-set leg-over; the support leg first circles out-to-in to re-plant, then the original foot performs an out-to-in leg-over.",two dexterities off one set; first leg circles out-to-in to re-plant; original foot does an out-to-in leg-over,ENRICH-from-fborg,"A leg-over preceded by an atomic set, so two dexterity motions share one set. The support leg first circles the bag outside-to-inside to re-establish support, then the original foot completes an outside-to-inside leg-over.","Hop off the support leg and circle it around the bag outside-to-inside to re-plant, then bring the original foot over the bag outside-to-inside into the delay.",high,2
barfly,Double infinity.,"From a clipper set, bring the setting leg around the bag out-to-in twice, hop off the support leg, recatch on a clipper with the support leg.",double dex; setting leg circles out-to-in twice; support leg takes the final clipper,ENRICH-from-fborg,"A double-dexterity compound off a clipper set: the setting leg circles the bag outside-to-inside twice before the recatch, with the support leg taking the final clipper delay.","From a clipper set, bring the setting leg around the bag outside-to-inside twice, then hop off the support leg and bring the bag onto a clipper delay with it.",high,2
barrage,Standalone trick distinct from the barraging modifier.,"A double-dexterity mirage; plant the setting leg, bring the support leg over in-to-out then over again, land on a toe delay with the original setting foot.",double-dex mirage; support leg crosses in-to-out twice; lands toe on the setting foot,ENRICH-from-fborg,"A double-dexterity mirage: the support leg crosses the bag inside-to-outside twice before the toe recatch. Settable from clipper or toe, finishing on the original setting foot.","Plant the setting leg and bring the support leg over the bag inside-to-outside, then over again, landing the bag on a toe delay with the original setting foot.",high,2
torque,Mirage variation of an osis.,"A mirage into an osis; from a clipper, plant the setting leg and bring the other leg over (mirage) while hopping and spinning to land on an osis.",mirage flowing into an osis; plant + spin simultaneously,ENRICH-from-fborg,"A compound that runs a mirage motion directly into an osis. From a clipper, the setting leg plants while the support leg crosses the bag, and a spin carries the recatch into an osis. Anchors the torque family.","From a clipper, plant the setting leg and bring the other leg over the bag as in a mirage, then hop off and spin in the same direction to land on an osis with the original foot.",high,2
mobius,Gyro-modified torque.,"From a clipper set, turn so the bag passes behind your back, then without replanting the setting foot spin into a mirage and catch on an osis (opposite foot).",clipper set; bag passes behind back; no replant; spin into mirage; osis recatch,ENRICH-from-fborg,"A spinning compound built on the torque, adding a gyro rotation so the bag travels behind the back before the recatch; the setting foot does not replant between the spin and the mirage.","From a clipper set, turn so the bag passes behind your back, then without replanting the setting foot, spin into a mirage and catch on an osis with the opposite foot.",high,2
pendulum,Pendulum trick.,"(fb.org row exists, ADD 2, description EMPTY)","no fb.org prose; user ruling: swing element, open terminal",NEEDS-CURATOR-CONTENT (open-terminal exception),"A swinging set element in which the bag rides a smooth pendular motion of a straight support leg. Unlike pixie/fairy/surging set primitives, a pendulum is complete once the swing occurs and may terminate in a toe stall, a kick, a hand catch, or another trick. It is the reverse of the rake.","Keep the leg straight and accelerate smoothly through the swing/flick, letting the bag ride the motion; the terminal is open (stall, kick, catch, or a follow-on trick).",medium,3
rake,Rake trick.,"(fb.org row exists, ADD 2, description EMPTY)","no fb.org prose; memory: rake = scoop->toe-stall, reverse of pendulum",NEEDS-CURATOR-CONTENT,A swing-element dexterity that scoops the bag through a pendular motion into a toe stall; it is the directional reverse of the pendulum. Rake and pendulum together form the swing-element pair.,"Scoop the bag through a smooth swing into a toe stall, the mirror of the pendulum swing.",medium,3
toe-clipper,Jump and kick the bag with the toes with the kicking leg tucked behind (fborg-2add).,"(fb.org row exists, ADD 2, description EMPTY)",no fb.org prose; user ruling: like flying-clipper but cross-body toe contact,REWRITE-thin-description (description suppressed as placeholder),"A jumping kick that contacts the bag with the toes while the kicking leg is tucked behind the support leg, cross-body. It is the toe-contact counterpart of the flying clipper: same cross-body tuck, but the toe surface meets the bag instead of the inside (clipper) surface.","Jump and tuck the kicking leg behind the support leg, meeting the bag with the toes across your body rather than the inside of the foot.",medium,4
miraging-kick,Miraging kick: the opposite-side inside miraging dex without a terminal stall.,(no fb.org match),user ruling: kick-only miraging dex atom; relates to mirage,RELATE-to-mirage (description adequate; surface the mirage relation),"The kick-only form of the miraging inside dexterity: an opposite-side inside dex performed without a terminal stall. It is the kicked dex atom of the mirage family, not an isolated concept.","Perform the inside miraging dex and strike the bag without catching it, the no-stall kick version of a mirage entry.",high,4
flying-clipper,(see DB),(no fb.org prose match),"user ruling: inside kick, kicking leg tucked behind support leg",RELATE (sibling of toe-clipper),"A jumping inside kick with the kicking leg tucked behind the support leg, cross-body. It is the inside-surface counterpart of the toe-clipper.","Jump and tuck the kicking leg behind the support leg, striking the bag with the inside of the foot across your body without catching it.",medium,4
spin,Single rotational body spin.,"(fb.org row exists, ADD 1, description EMPTY)",no fb.org prose; ladder spin->double-spin->triple-spin->spinning,REWRITE-thin-description + add ladder,"A single 360-degree body rotation performed between contacts. It is the first rung of the spin ladder (spin, double-spin, triple-spin) and the trick form of the spinning modifier.","Rotate the body a full turn between kicks, keeping the bag controlled before and after the spin.",medium,4
double-kick,Double kick: jump and contact the bag with both feet.,(no fb.org match),already complete; sibling of double-knee (parity),NO-FBORG-MATCH (description adequate; add neighbor parity),A jumping move that contacts the bag with both feet in the air; the foot analogue of the double knee.,Jump and strike the bag with both feet in quick succession before landing.,high,5
