"crosslink_id","term_a","term_b","relationship","cluster","source","notes","educational_value"
"spinning-gyro","spinning","gyro","variant","rotational-degree","PassBack glossary + memory","Both are body-rotation modifiers measured in degrees; gyro = 180°, spinning = 360°. Combined names produce arbitrary degrees: spinning gyro = 540°, double spinning = 720°.","high"
"spinning-inspin","spinning","inspin","contrast","rotational-direction","UX1 + PassBack","Both are 360° rotations; spinning = backspin (back passes bag first), inspin = chest passes bag first. Direction prefix in- changes any rotational modifier.","high"
"spinning-double-spinning","spinning","double-spinning","variant","rotational-degree","PassBack glossary","Double spinning = 720° (two full rotations). Triple spinning = 1080°. Productive-multiplicity exception per pt8.","medium"
"miraging-mirage","miraging","mirage","composition","mirage-base-vs-modifier","UX1 + memory","Miraging is the +1 body modifier whose application produces compounds. Drifter = miraging-clipper; torque = miraging-osis; DLO = miraging-legover. Distinct from mirage (the 2-ADD trick).","high"
"barraging-barrage","barraging","barrage","contrast","trick-vs-modifier","memory + SCALE-11","Barraging is the +1 universal body modifier; barrage is a standalone 3-ADD trick in its own family. Naming proximity is a common source of confusion.","high"
"terraging-terrage","terraging","terrage","contrast","trick-vs-modifier","memory + SCALE-10","Terraging is the +3 body modifier (pt6); terrage is a standalone 4-ADD trick. Parallel naming pattern to barraging:barrage.","high"
"atomic-furious","atomic","furious","variant","set-primitive-rotational-bonus","UX1 + memory","Both are set-primitive modifiers with the same ADD bonus structure: +1 non-rotational, +2 rotational. Functionally parallel; named separately.","high"
"atomic-nuclear","atomic","nuclear","composition","set-modifier-buildup","UX1 + pt10","Nuclear = paradox + atomic per pt10 Red ruling. +2 ADD universal. Structurally combines atomic's set discipline with paradox's hip-pivot pattern.","high"
"pixie-fairy","pixie","fairy","variant","set-modifier-universal-plus-1","UX1","Both are +1-universal set modifiers. Distinct named modifiers with same ADD profile; mechanical distinction (where the set energy comes from) varies by source.","medium"
"quantum-shooting","quantum","shooting","contrast","set-modifier-bonus","UX1 + pt7","Quantum = +1 universal; shooting = +3 (pt7 ruling). Both are set modifiers but live at opposite ADD-contribution scales.","medium"
"pogo-rooted","pogo","rooted","equivalence","zero-ADD-set","UX1 + pt6 + pt8","Both are zero-ADD set modifiers per Red rulings. Pogo per pt6; rooted per pt8. The first set modifiers to NOT contribute ADD.","high"
"step-vs-tap","stepping","tapping","contrast","body-modifier-foot-pattern","UX1 + pt3","Both are +1 body modifiers involving the support foot; pt3 Red ruling explicitly distinguishes them. Stepping = step action interleaved; tapping = foot-pattern variant.","high"
"blur-stepping-paradox-mirage","blur","stepping-paradox-mirage","equivalence","blur-decomposition","pt10 + memory","Blur's canonical decomposition per pt10 Red ruling: blur = stepping + paradox + mirage. Three-modifier expansion of a single-token trick name.","high"
"torque-miraging-osis","torque","miraging-osis","equivalence","torque-decomposition","pt11 + memory","Torque's canonical decomposition per pt11 Red ruling: torque = miraging-osis. Cross-references the miraging body-modifier family.","high"
"blender-whirling-osis","blender","whirling-osis","equivalence","blender-decomposition","pt11 + memory","Blender's canonical decomposition per pt11 Red ruling: blender = whirling-osis. Mirrors torque's pattern.","high"
"drifter-miraging-clipper","drifter","miraging-clipper","equivalence","drifter-decomposition","pt11 + memory","Drifter's canonical decomposition per pt11 Red ruling: drifter = miraging-clipper.","high"
"ripwalk-stepping-butterfly","ripwalk","stepping-butterfly","equivalence","ripwalk-decomposition","pt11 + memory","Ripwalk's canonical decomposition per pt11 Red ruling: ripwalk = stepping-butterfly. Despite Jobs-notation form 'BLURRY BUTTERFLY' in the DB notation column.","high"
"barfry-nuclear-ss-butterfly","barfry","nuclear-butterfly","equivalence","barfry-decomposition","pt11 + pt12 SS resolution","Barfry's canonical decomposition: nuclear-butterfly (with ss execution direction; ss=+0 per pt12 Red ruling).","high"
"eggbeater-atomic-legover","eggbeater","atomic-legover","equivalence","eggbeater-decomposition","pt4 + memory","Eggbeater's canonical decomposition per pt4 Red ruling: eggbeater = atomic-legover.","high"
"merkon-legover-base","merkon","legover","composition","family-rebase","pt5","Merkon's family flipped to legover base per pt5 Red ruling. (Not in active dictionary; flagged for memory.)","medium"
"fury-furious-paradox-mirage","fury","furious-paradox-mirage","equivalence","fury-decomposition","pt6 + memory","Fury's canonical decomposition per pt6 Red ruling: fury = furious + paradox + mirage = 2 + 1 + 2 = 5 ADD.","high"
"mobius-spinning-torque","mobius","spinning-torque","equivalence","mobius-recursive-decomposition","pt11 + memory","Mobius's canonical reading: spinning-torque. Transitively: spinning + miraging + osis (via torque = miraging-osis). Multi-layer equivalence example.","high"
"phoenix-pixie-ducking-butterfly","phoenix","pixie-ducking-butterfly","equivalence","phoenix-decomposition","pt7 + PassBack glossary technical-name","Phoenix's technical name per PassBack glossary: Pixie Ducking Butterfly. Names the modifiers in canonical decomposition order.","high"
"add-additional-degree-of-difficulty","ADD","additional degree of difficulty","equivalence","ADD-system","UX1 + PassBack glossary","ADD = Additional Degree of Difficulty. Scoring + categorization system from 1980s; controversial but ingrained.","high"
"add-categories-DEL-DEX-XBD-BOD-UNS","DEL","DEX","cluster","ADD-categories","UX1 + PassBack glossary","ADD categories per PassBack: DEL (delay), DEX (dexterity), XBD (cross-body), BOD (body — spinning/ducking/paradox/symp/flying/xdex), UNS (unusual surfaces).","high"
"tiltless-guiltless-ladder","tiltless","guiltless","cluster","ADD-grouping-ladder","UX1 + PassBack glossary","ADD-tier ladder: Tilts (1), Tiltless (≥2), Guilts (2), Guiltless (≥3), Tripless (≥4), Fearless (≥5), Beastly (≥6), Godly (≥7).","high"
"BOP-butterfly-osis-pdx-mirage","BOP","butterfly","cluster","BOP-foundation-trio","UX1 + PassBack glossary","BOP = Butterfly + Osis + Pdx Mirage; the three foundational guiltless tricks. Genuine guiltless = guiltless excluding BOPs.","high"
"jobs-notation-technical-name","Jobs notation","technical name","equivalence","notation-equivalence","PassBack glossary","Jobs notation = written form of a trick's components in phase + side. The 'technical name' uses simplest named components; Jobs notation is the formal written form.","high"
"alpine-duck-or-dive","alpine","duck","composition","alpine-modifier-pattern","PassBack glossary","Alpine X = take base trick, divide uptime/downtime, insert a duck or dive between. Whether duck or dive depends on whether downtime is op (→ duck) or ss (→ dive).","high"
"crispy-retime-downtime-to-uptime","crispy","DLO","composition","crispy-retime-pattern","PassBack glossary","Crispy X = take part of downtime phase, re-time into uptime. Ex: crispy DLO = blurry-legover (mirage moved from downtime to uptime). Rarely used in practice.","medium"
"ps-paradox-symposium","PS","paradox-symposium","equivalence","modifier-shorthand","UX1 + PassBack glossary","PS X = Paradox Symposium X (ex: PS Whirl = Paradox Symposium Whirl).","high"
"ss-near-equivalence","ss","near","equivalence","footedness-direction","PassBack glossary + pt12","Same-side (ss) = near; opposite (op) = far. Interchangeable. Pt12 Red ruling: ss = +0 ADD universally.","high"
"op-far-equivalence","op","far","equivalence","footedness-direction","PassBack glossary","Opposite (op) = far. Interchangeable per glossary convention.","high"
"hippy-leggy-dex-style","hippy","leggy","contrast","dex-style","PassBack glossary","Two dex execution styles: hippy = dex motion from hip (thigh circles bag), leggy = dex from knee (calf circles bag).","high"
"in-out-dex-direction","in-out dex","out-in dex","contrast","dex-direction","PassBack glossary","Two dex directions relative to body center: in-out (moves away from body), out-in (moves toward body). Mirage = in-out; illusion = out-in.","high"
"full-half-dex-fullness","full dex","half dex","contrast","dex-fullness","PassBack glossary","Full dex = leg circles bag entirely; half dex = leg circles bag partially.","high"
"shred-air-shred","shred","air shred","variant","practice-style","PassBack glossary","Shred = playing freestyle with bag; air shred = practicing trick motions without bag.","medium"
"circle-style-vs-event","circle (style)","circle (event)","contrast","disambiguation","PassBack glossary","Two senses of 'circle': (1) playing with others in a literal circle; (2) competitive event format mimicking circle play.","medium"
"strings-runs-combos","string","run","equivalence","trick-sequencing","PassBack glossary","String = run = continuous flow of tricks in stream-of-consciousness style. Combo = shorter, themed grouping. Link = specifically a 2-trick combo.","high"
"LIMP-CLIMP-toe-tricks","LIMP","CLIMP","cluster","basic-toe-tricks","PassBack glossary","LIMP = Legover, Illusion, Mirage, Pickup. CLIMP = LIMP + Clipper. The basic toe-trick set.","high"
"bigfoot-sideways-stance","bigfoot","sideways","contrast","stance-preference","PassBack glossary","Player stance terms: bigfoot = strong toe and clipper use same foot; sideways = strong toe and clipper use same side (different feet).","medium"
"clean-thin-deep-dex","clean dex","deep dex","cluster","dex-execution-quality","PassBack glossary","Dex window terms: clean = within window; deep = high in window (far from shoe); thin = close to shoe edge; very thin = 'shoey'.","medium"
"hand-catch-seal-handcatch","handcatch","seal","equivalence","trick-completion","PassBack glossary","Handcatch = trick ended with bag caught in hand. Seal = hit with enough control to continue. Both imply successful execution.","medium"
"drop-bail-the-mistake-modes","drop","bail","contrast","failure-modes","PassBack glossary","Drop = bag hits ground (failure). Bail = trick modified on the fly to easier version. Footed = bag rolled off stalling foot. Over-dexed = leg dexes too far, misses bag.","medium"
"BSOS-BSOR-both-sides","BSOS","BSOR","equivalence","both-sided-execution","PassBack glossary","BSOS = both sides one string; BSOR = both sides one run. Interchangeable; sometimes jokingly written 'bee sauce'.","low"
"drill-rewind-mirror-combos","drill","rewind combo","cluster","combo-structures","PassBack glossary","Combo structures: drill = unique combo repeated other-side; rewind = combo reversed at midpoint; mirror = link where trick reverses-equivalent.","medium"
"the-the-component-attempted-missed","the (component)","missed","equivalence","execution-anomaly","PassBack glossary","The 'the' component (pronounced 'thuh') = component attempted but completely missed. Specifically named.","low"
"pulled-slurry-froggy-set","pulled set","slurry set","equivalence","set-quality","PassBack glossary","Pulled set = bag dragged through uptime dex/spin before intended component. Also called slurry. Froggy = specifically for pulled spins.","low"
"shuffle-shuffling-uptime-dex","shuffle combo","shuffling","variant","combo-style","PassBack glossary","Shuffle combo = tricks linked using uptime dexing sets.","medium"
"trials-tricks-with-obstacles","trials","tricks","variant","play-style","PassBack glossary","Trials = combining traditional tricks with physical obstacles.","low"
"footbag-net-golf-disciplines","footbag net","footbag golf","cluster","non-freestyle-disciplines","PassBack glossary","Non-freestyle disciplines: footbag net (volleyball-like over net), footbag golf (disc-golf-like), 2/4/N-square (schoolyard variants).","medium"
"passback-self-serve-circle-etiquette","passback","self-serve","contrast","circle-etiquette","PassBack glossary","Passback = giving previous player another turn. Self-serve = serving to oneself; debated etiquette.","low"
"toe-scrape-toe-up-disrespect","toe scrape","toe up","equivalence","circle-etiquette-disrespect","PassBack glossary","Toe scrape / toe up = sliding bag onto foot using other shoe's sole. Considered potentially disrespectful + can damage bag.","low"
"shredoff-battle-online","shred-off","battle","variant","competition-format","PassBack glossary","Battle = 1-on-1 technical showdown. Shred-Off = online-only async variant.","medium"
"sick-1-sick-3-best-trick","Sick 1","Sick 3","variant","best-trick-events","PassBack glossary","Sick 1 = best single trick. Sick 3 = best 3-trick combo. Both are best-trick competition formats.","medium"
"rippin-iron-last-man","Rippin' Run","Iron Man","variant","endurance-events","PassBack glossary","Three endurance variations: Rippin' Run (head-to-head; named after Rick Reese), Iron Man (head-to-head), Last Man Standing (all-vs-all).","medium"
"jam-tournament-events","jam","tournament","contrast","event-type","PassBack glossary","Event types: tournament (competition-focused) vs jam (casual; regional get-together).","medium"
