operator_or_primitive,fm_token_form,fm_usage_count,fm_class,modern_class,modern_db_slug,modern_add_bonus,doctrinal_alignment,red_question_candidate,notes
"flying (body-flying body modifier)",(implicit in flying-clipper),1,body-class,body-modifier,(not in modifier table),1,partially-aligned,yes,"FM names 'Flying Clipper' as a fundamental but does not formalize flying as an operator token. Modern Sprint 5 formalized flying as +1 multiplier. FM is silent on the operator-class question"
"swing (movement element)",(NOT mentioned in 18 examples),0,(NOT in source),movement-element,(not in modifier table),1,aligned-by-omission,no,"FM source does NOT list pendulum or rake; the swing-element doctrine is absent from this 18-move foundational set. Swing remains a Sprint 5/6 doctrine without FM precedent"
"reverse (direction reversal)",(NOT mentioned in 18 examples),0,(NOT in source),direction-reversal,(not in modifier table),0,aligned-by-omission,no,"FM source does NOT list orbit, illusion, pickup, rev-whirl, rev-up. Reverse direction is absent from this 18-move foundational set. The rev(+0) doctrine has no FM precedent in this document"
"double / triple (multiplicity prefix)",(NOT mentioned in 18 examples),0,(NOT in source),multiplier,(not in modifier table),(implicit +1),aligned-by-omission,no,"FM source does NOT list double-leg-over, double-around-the-world, double-spin, etc. Productive Multiplicity doctrine has no FM precedent here (though Job's 1995 paper provides 'Double Pickup' + 'Double Over Down' historical references)"
"stepping (foot relocation)",(implicit in compact readings 'Stepping X'),3,implicit-operator,operator,stepping,1,aligned,no,"FM uses 'Stepping' in parenthetical compact readings ('Stepping Opposite Osis' for Torque; 'Stepping Opposite Side Butterfly' for Ripwalk; 'Stepping Paradox Mirage' for Blur). Modern doctrine: stepping is +1 body modifier registered in DB. Aligned"
"gyro (half-turn rotation)",(implicit in 'Gyro Torque' compact reading),1,implicit-operator,operator,gyro,1,partially-aligned,yes,"FM uses 'Gyro Torque' as Mobius's compact reading. But FM operational form uses (BACK) SPIN tokens, suggesting gyro = back-spin in FM/Job framing. Modern doctrine: gyro = half-turn (180°). Doctrinal axis-divergence question (RP-6)"
"atomic (set primitive)",(NOT mentioned in 18 examples),0,(NOT in source),set-primitive,atomic,1 / +2 rotational,aligned-by-omission,no,"FM source does NOT name atomic; the atomic operator postdates this fundamental-moves catalog"
"ducking (head-path)",(NOT mentioned in 18 examples),0,(NOT in source),body-modifier,ducking,1,aligned-by-omission,no,"FM source does NOT name ducking; ducking operator postdates this catalog"
"pixie (set primitive)",(NOT mentioned in 18 examples),0,(NOT in source),set-primitive,pixie,1,aligned-by-omission,no,"FM source does NOT name pixie"
"fairy (set primitive)",(NOT mentioned in 18 examples),0,(NOT in source),set-primitive,fairy,1,aligned-by-omission,no,"FM source does NOT name fairy"
"quantum (set primitive)",(NOT mentioned in 18 examples),0,(NOT in source),set-primitive,quantum,1,aligned-by-omission,no,"FM source does NOT name quantum"
"blurry (set primitive)",(NOT mentioned in 18 examples),0,(NOT in source),set-primitive,blurry,1,aligned-by-omission,no,"FM source does NOT name blurry"
"nuclear (set primitive)",(NOT mentioned in 18 examples),0,(NOT in source),set-primitive,nuclear,2,aligned-by-omission,no,"FM source does NOT name nuclear"
"miraging (gerund operator)",(implicit in compounds),0,implicit-operator,operator,miraging,1,aligned-by-omission,no,"FM source uses 'A mirage into an osis' (torque description); the gerund operator 'miraging' postdates this catalog as a named operator"
"barraging (gerund operator)",(NOT mentioned in 18 examples),0,(NOT in source),body-modifier,barraging,1,aligned-by-omission,no,"FM source does NOT name barraging"
"tapping (gerund operator)",(NOT mentioned in 18 examples),0,(NOT in source),body-modifier,tapping,1,aligned-by-omission,no,"FM source does NOT name tapping"
"weaving / diving (head-path)",(NOT mentioned in 18 examples),0,(NOT in source),body-modifier,weaving / diving,1,aligned-by-omission,no,"FM source does NOT name weaving or diving"
