"selection_group","canonical_slug","display_name","source","source_adds","add_formula","symbolic_notation_raw","doctrine_status","primary_operator","modifier_chain","recommended_decision","triage_rationale"
"topology-critical","backside-symposium-smear","Backside Symposium Smear","fborg","4","pixie(+1) + symposium-mirage(3) --> 4 ADDs","TOE > SAME IN [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL]","settled","pixie","pixie, symposium","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","backside-symposium-toe-blizzard","Backside Symposium Toe Blizzard","fborg","4","quantum(+1) + symposium-illusion(3) --> 4 ADDs","TOE > OP IN [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL]","settled","quantum","quantum, symposium","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","backside-symposium-toe-blur","Backside Symposium Toe Blur","fborg","4","quantum(+1) + symposium-mirage(3) --> 4 ADDs","TOE > OP IN [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL]","settled","quantum","quantum, symposium","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","butterfly-swirl","Butterfly Swirl","footbagmoves","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","","settled","dex","","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","da-da-curve","Da Da Curve","fborg","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","CLIP > OP IN [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","dex","","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","double-over-down","Double-Over Down","fborg","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","dex","double","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","down-double-down","Down Double-Down","fborg","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","CLIP > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","dex","","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","gyro-butterfly","Gyro Butterfly","footbagmoves","4","gyro(+1) + butterfly(3) --> 4 ADDs","","settled","gyro","gyro","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","inspinning-butterfly","Inspinning Butterfly","footbagmoves","4","inspinning(+1) + butterfly(3) --> 4 ADDs","","settled","inspinning","inspinning","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","inspinning-paradox-illusion","Inspinning Paradox Illusion","fborg","4","inspinning(+1) + paradox-illusion(3) --> 4 ADDs","CLIP > (front) SPIN [BOD] > SAME OUT [PDX] [DEX] > OP TOE [DEL]","settled","inspinning","inspinning, paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","inspinning-paradox-mirage","Inspinning Paradox Mirage","fborg","4","inspinning(+1) + paradox-mirage(3) --> 4 ADDs","CLIP > (front) SPIN [BOD] > SAME IN [PDX] [DEX] > OP TOE [DEL]","settled","inspinning","inspinning, paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","inspinning-same-side-butterfly","Inspinning Same Side Butterfly","fborg","4","inspinning(+1) + ss-butterfly(3?) --> 4 ADDs","CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","inspinning","inspinning","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","miraging-eclipse","Miraging Eclipse","fborg","4","miraging(+1) + eclipse(3) --> 4 ADDs","SET > OP IN [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND)","settled","dex","miraging","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","paradox-barrage","Paradox Barrage","fborg","4","paradox(+1) + barrage(3) --> 4 ADDs","CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL]","settled","paradox","paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","paradox-blizzard","Paradox Blizzard","fborg","4","paradox(+1) + blizzard(3) --> 4 ADDs","CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].","settled","paradox","paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","paradox-double-leg-over","Paradox Double Leg Over","fborg","4","paradox(+1) + DLO(3) --> 4 ADDs","CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL]","settled","paradox","paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","paradox-symposium-mirage","Paradox Symposium Mirage","fborg","4","paradox(+1) + symposium-mirage(3) --> 4 ADDs","CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL]","settled","paradox","paradox, symposium","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","pixie-eclipse","Pixie Eclipse","fborg","4","pixie(+1) + eclipse(3) --> 4 ADDs","TOE > SAME IN [DEX] (JUMP) [BOD] > SAME INSIDE [DEL] > OP OUT [DEX] > (LAND)","settled","pixie","pixie","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","pixie-swirl","Pixie Swirl","fborg","4","pixie(+1) + swirl(3) --> 4 ADDs","TOE > SAME IN [DEX] > SAME/OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","pixie","pixie","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","pixie-whirl","Pixie Whirl","footbagmoves","4","pixie(+1) + whirl(3) --> 4 ADDs","","settled","pixie","pixie","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","quantum-drifter","Quantum Drifter","fborg","4","quantum(+1) + drifter(3) --> 4 ADDs","TOE > OP IN [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL]","settled","quantum","quantum","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","quantum-whirl","Quantum Whirl","fborg","4","quantum(+1) + whirl(3) --> 4 ADDs","TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]","settled","quantum","quantum","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","spinning-paradox-illusion","Spinning Paradox Illusion","fborg","4","spinning(+1) + paradox-illusion(3) --> 4 ADDs","CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL]","settled","spinning","spinning, paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","spinning-paradox-mirage","Spinning Paradox Mirage","fborg","4","spinning(+1) + paradox-mirage(3) --> 4 ADDs","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL]","settled","spinning","spinning, paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","stepping-ducking-mirage","Stepping Ducking Mirage","fborg","4","stepping(+1) + ducking-mirage(3) --> 4 ADDs","CLIP > OP IN [DEX] > DUCK [BOD] > SAME IN [DEX] > SAME TOE [DEL]","settled","stepping","stepping, ducking","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","stepping-eggbeater","Stepping Eggbeater","fborg","4","stepping(+1) + eggbeater(3) --> 4 ADDs","CLIP > OP IN [DEX] (plant) > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL]","settled","stepping","stepping","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","symposium-double-leg-over","Symposium Double Leg Over","fborg","4","symposium(+1) + DLO(3) --> 4 ADDs","SET > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]","settled","symposium","symposium","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","symposium-eggbeater","Symposium Eggbeater","footbagmoves","4","symposium(+1) + eggbeater(3) --> 4 ADDs","","settled","symposium","symposium","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","symposium-reverse-whirl","Symposium Reverse Whirl","fborg","4","symposium(+1) + reverse-whirl(3) --> 4 ADDs","SET > (no plant while) OP OUT [BOD] [DEX] > OP CLIP [XBD] [DEL]","settled","symposium","symposium","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","terraging-opposite-clipper","Terraging Opposite Clipper","fborg","4","terraging(+1) + xbody-toe(3) --> 4 ADDs","TOE > SAME IN [DEX] > SAME IN [DEX] > OP CLIP [XBD] [DEL]","settled","dex","terraging","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","terraging-same-clipper","Terraging Same Clipper","fborg","4","terraging(+1) + same-clipper(3) --> 4 ADDs","TOE > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]","settled","dex","terraging","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","toe-ripwalk","Toe Ripwalk","fborg","4","quantum(+1) + butterfly(3) --> 4 ADDs","TOE > OP IN [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","quantum","quantum","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"already-live-adjacent","barfly-swirl","Barfly Swirl","fborg","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","CLIP > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","dex","barraging, swirl","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","double-over-down-swirl","Double-Over Down Swirl","fborg","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","dex","double, swirl","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","paradon-swirl","Paradon Swirl","fborg","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","TOE > OP OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","dex","swirl","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","paradox-da-da-curve","Paradox Da Da Curve","fborg","5","paradox(+1) + dada-curve(4) --> 5 ADDs","CLIP > SAME IN [PDX] [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","paradox","paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","paradox-high-plains-drifter","Paradox High Plains Drifter","fborg","5","paradox(+1) + high-plains-drifter(4) --> 5 ADDs","CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]","settled","paradox","paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","paradox-ripwalk","Paradox Ripwalk","fborg","5","paradox(+1) + ripwalk(4) --> 5 ADDs","CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","paradox","paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","paradox-whirling-swirl","Paradox Whirling Swirl","fborg","5","paradox(+1) + whirling-swirl(4) --> 5 ADDs","CLIP > SAME IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","paradox","paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","pixie-double-over-down","Pixie Double Over Down","fborg","5","pixie(+1) + double-over-down(4) --> 5 ADDs","TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","pixie","pixie","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","pixie-paradon","Pixie Paradon","fborg","5","pixie(+1) + paradon(4) --> 5 ADDs","TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","pixie","pixie","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","spinning-paradox-whirl","Spinning Paradox Whirl","fborg","5","spinning(+1) + paradox-whirl(4) --> 5 ADDs","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL]","settled","spinning","spinning, paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","stepping-whirling-swirl","Stepping Whirling Swirl","fborg","5","stepping(+1) + whirling-swirl(4) --> 5 ADDs","CLIP > OP IN [DEX] (plant) > SAME IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","stepping","stepping","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","symposium-torque","Symposium Torque","fborg","5","symposium(+1) + torque(4) --> 5 ADDs","SET > (NO PLANT WHILE) OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL]","settled","symposium","symposium","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"already-live-adjacent","symposium-whirling-swirl","Symposium Whirling Swirl","fborg","5","symposium(+1) + whirling-swirl(4) --> 5 ADDs","CLIP > (NO PLANT WHILE) OP IN [DEX] [BOD] > OP IN SWIRL [DEX] > OP CLIP [XBD] [DEL]","settled","symposium","symposium","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","bubba","Bubba","fborg","2","dex(1) + stall(1) --> 2 ADDs","CLIP > OP OUT [DEX] > OP TOE [DEL]","settled","dex","","defer","Mechanically ready but page-readiness unclear — a bare 1-2 ADD kick/folk entry needs a curator call on whether it warrants a public page distinct from existing atoms."
"historical oddity","blizzard","Blizzard","footbagmoves","4","stepping(+1) + paradox(+1) + illusion(2) --> 4 ADDs","Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Toe (DEL)","settled","stepping","stepping, paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"historical oddity","flux","Flux","footbagmoves","4","atomic(+1) + osis(3) --> 4 ADDs","Set >> Op Out (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL)","settled","atomic","atomic","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"historical oddity","twirl","Twirl","footbagmoves","4","swirling(+1) + osis(3) --> 4 ADDs","Clip >> Same Front Swirl (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL)","settled","spinning","swirling","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"historical oddity","avalanche","Avalanche","footbagmoves","5","stepping(+1) + ducking(+1) + paradox-illusion(3) --> 5 ADDs","Clip > Op In (DEX) >> Duck (BOD) >> Op Out (DEX)(PDX) > Op Toe (DEL)","settled","stepping","stepping, ducking, paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","barroque","Barroque","footbagmoves","5","barraging(+2 two-dex) + osis(3) --> 5 ADDs (Red 2026-05-20)","Clip > Op In (DEX) > Same In (DEX) >> (back) Spin (BOD) > Op Clip (XBD)(DEL)","settled","dex","barraging","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","bedwetter","Bedwetter","footbagmoves","5","stepping(+1) + paradox(+1) + eggbeater(3) --> 5 ADDs","Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL)","settled","stepping","stepping, paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","down-diver","Down Diver","footbagmoves","5","diving(+1) + down-double-down(4) --> 5 ADDs","Clip >> Dive (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL)","settled","diving","diving","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","ducking-barfly","Ducking Barfly","fborg","5","ducking(+1) + barfly(4) --> 5 ADDs","CLIP > DUCK [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","ducking","ducking","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","flurricane","Flurricane","footbagmoves","5","gyro(+1) + flurry(4) --> 5 ADDs","Clip >> (back) Spin (BOD > Same In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL)","settled","gyro","gyro","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","lotus","Lotus","footbagmoves","5","spinning(+1) + paradox-drifter(4) --> 5 ADDs","Clip >> (back) Spin (BOD) >> Op In (DEX)(PDX) > Same Clip (XBD)(DEL)","settled","spinning","spinning, paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","ricochet","Ricochet","footbagmoves","5","dex(1) + dex(1) + flapper-stall(3) --> 5 ADDs","Toe >> Op Out (DEX) >> Same Out (DEX) > Op Flapper (XBD)(UNS)(DEL)","settled","dex","double, cross-body, unusual-surface","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","scorpions-tail","Scorpion's Tail","footbagmoves","5","spinning(+1) + down-double-down(4) --> 5 ADDs","Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL)","settled","spinning","spinning","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","spike-hammer","Spike Hammer","fborg","5","stepping(+1) + ducking(+1) + paradox-mirage(3) --> 5 ADDs","CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL]","settled","stepping","stepping, ducking, paradox","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","spyro-gyro","Spyro Gyro","footbagmoves","5","gyro(+1) + butterfly-swirl(4) --> 5 ADDs","Clip >> (back) Spin (BOD) >> Same Out (DEX) > Op Back Swirl (DEX) > Same Clip (XBD)(DEL)","settled","gyro","gyro","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"historical oddity","yoda","Yoda","footbagmoves","5","pixie(+1) + ripwalk(4) --> 5 ADDs","Toe > Same In (DEX) >> Op In (DEX) > Plant > Op Out (DEX) > Op Clip (XBD)(DEL)","settled","pixie","pixie","defer","Deep 5-ADD compound — promotion-ready by notation but low pedagogical priority; author prose first, batch with its family."
"Red-gated/defer","paratoxic","Paratoxic","footbagmoves","6","paradox(+1) + symposium(+1) + whirl(3) + ?--> 6 ADDs","Clip >> Same In (DEX) > (no plant while) Op Front Whirl (DEX)(XDEX)(BOD)(PDX) > Op Clip (XBD)(DEL)","settled","paradox","paradox, symposium","defer","Very deep 6-7 ADD folk compound — observational depth; recommend keeping in the observational layer until a curator finds a pedagogical need."
"Red-gated/defer","spinning-paradox-blender","Spinning Paradox Blender","fborg","6","spinning(+1) + paradox-blender(5) --> 6 ADDs","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]","settled","spinning","spinning, paradox","defer","Very deep 6-7 ADD folk compound — observational depth; recommend keeping in the observational layer until a curator finds a pedagogical need."
"Red-gated/defer","spinning-symposium-down-double-down","Spinning Symposium Down Double Down","fborg","6","spinning(+1) + symposium(+1) + down-double-down(4) --> 6 ADDs","CLIP > (back) SPIN [BOD] > (no plant while) > OP OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","spinning","spinning, symposium","defer","Very deep 6-7 ADD folk compound — observational depth; recommend keeping in the observational layer until a curator finds a pedagogical need."
"Red-gated/defer","torch-r-rack","Torch-r Rack","footbagmoves","6","stepping(+1) + superfly(5) --> 6 ADDs","Clip > Op In (DEX) >> (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL)","settled","stepping","stepping, symposium","defer","Very deep 6-7 ADD folk compound — observational depth; recommend keeping in the observational layer until a curator finds a pedagogical need."
"Red-gated/defer","stepping-ducking-paradox-blender","Stepping Ducking Paradox Blender","fborg","7","stepping(+1) + ducking(+1) + paradox-blender(5) --> 7 ADDs","CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]","settled","stepping","stepping, ducking, paradox","defer","Very deep 6-7 ADD folk compound — observational depth; recommend keeping in the observational layer until a curator finds a pedagogical need."
