"operator","operator_family","form","example_usage","observed_role","inferred_semantics","unresolved_ambiguity"
"Blurry","set-modifier","prefix","blur | Blurry Mirage (folk); IFPA: Stepping Paradox Mirage","compositional + additive (sometimes deeper decomposition)","+1 ADD flat per pt11; some named compounds (Blur, Ripwalk) expand to multi-modifier decomposition","pt12 open: Blurry Whirl / Blurry Torque / Whirlygig math conflicts"
"Whirling","compositional","prefix","Blender | Whirling Osis (per pt11)","compositional","expands to whirl + osis composition; recognized canonical at pt11","none — canonical"
"Miraging","compositional","prefix","Torque | Miraging Osis (per pt11); Drifter | Miraging Clipper","compositional","expands to mirage + base composition","none — canonical"
"Sailing","compositional","prefix; Sets def: Pixie Atomic","Sailing ss Double Legover","compositional (recursive)","= Pixie Atomic per FM extract","ADD weight not adjudicated"
"Slaying","compositional","prefix; Sets def: Symp Sailing","Sets entry","compositional (recursive, depth 3)","= Symp Sailing = Symp Pixie Atomic","ADD weight not adjudicated"
"Slicing","compositional","prefix; Sets def: Gyro Rev. Swirling OR Blurry Quasi","Sets entry (TWO definitions)","compositional (recursive, polysemous)","Sets tab shows two distinct compositions for Slicing — data conflict or genuine polysemy","FM data inconsistency"
"Frantic","compositional","prefix; Sets def: Pixie Quantum","Sets entry","compositional (recursive)","= Pixie Quantum per FM extract","ADD weight not adjudicated"
"Phasing","compositional","prefix; Sets def: Fairy ss Spinning","Phase | Phasing ss Mirage; Sets entry","compositional (recursive, references ss)","= Fairy ss Spinning; depends on fairy resolution","fairy Q4-blocked"
"Leaning","compositional","prefix; Sets def: Stepping Inspinning","Leaning Jowler | Leaning ss Mirage","compositional (recursive)","= Stepping Inspinning per Sets tab","ADD weight not adjudicated"
"Hyper","compositional","prefix; Sets def: Rooted Pixie","Sets entry","compositional + pre-state","= Rooted Pixie; references the rooted pre-state flag","ADD weight not adjudicated"
"Pogo","compositional","prefix; Sets def: Uptime ATW","Pogo | Pogo far Mirage; Sets entry","compositional + temporal","= Uptime ATW per Sets tab","ADD weight not adjudicated"
"Quasi","compositional","prefix; Sets def: Clipper far Miraging","Sets entry","compositional (recursive, references far)","= Clipper far Miraging","ADD weight not adjudicated"
"Riffing","compositional","prefix; Sets def: Symp Blurriest","Sets entry","compositional (recursive)","= Symp Blurriest","Blurriest cascades into Blurry pt12 issues"
"Inspinning","compositional","prefix; Sets def: Front Spin","Sets entry","compositional (direction-marker)","= Front Spin; cf. Spinning = Back Spin","ADD weight not adjudicated"
"Reverse","directional","prefix","rev-whirl | Reverse Whirl; Flux | Reverse Torque","directional + purely descriptive","reverses rotational direction of the base","ADD weight assumed 0; not adjudicated"
"Fairy","FM-vocab","prefix","Casket | Fairy ss Drifter; Park Avenue | Fairy ss Butterfly","compositional (unresolved additive weight)","FM-specific; descriptive sense undocumented in IFPA","Q4 in Red packet"
"Gyro","FM-vocab","prefix; Sets alt: Spinning ss","Mantis | Spinning near Eggbeater (Gyro family)","compositional (unresolved)","may be alias for Spinning ss per Sets tab","Q4"
"Blazing","FM-vocab","prefix","Blaze | Blazing Mirage","compositional (unresolved)","FM-specific","Q4"
"Surging","FM-vocab","prefix","Cheese Processor | Surging Ducking far Blender","compositional (unresolved)","FM-specific","Q4"
"Furious","FM-vocab","prefix","Genesis | Furious Whirl","compositional (unresolved)","FM-specific; Genesis math conflict in pt12 queue","pt12 queue + Q4"
"Barraging","FM-vocab","prefix","Flurry | Barraging Legover","compositional (unresolved)","FM-specific","Q4"
"Railing","FM-vocab","prefix","Compound Fracture | Railing ss Double Legover","compositional (unresolved)","FM-specific","Q4"
"Flailing","FM-vocab","prefix; FM extract def: Symposium Atomic","Bill & Ted's | Flailing ss Symp Double Legover","compositional (recursive)","= Symposium Atomic per FM extract; recursive resolution","Q4 + recursive"
"Terraging","FM-vocab","prefix","Enterrage | Terraging Legover","compositional (unresolved)","FM-specific; ADD math off-by-one vs IFPA (pt12 queue)","pt12 queue + Q4"
"Splicing","FM-vocab","prefix","Splicing ss Blender","compositional (unresolved)","Sets entry partial/missing","Q4"
"Surfing","FM-vocab","prefix","Surfing ss Blender","compositional (unresolved)","Sets entry partial","Q4"
"Twinspinning","FM-vocab","prefix","Twinspinning ss Mirage","compositional (unresolved)","Sets entry partial; likely twin-spin variant","Q4"
"Jolimont","FM-vocab","prefix","Jolimont ss Mirage","compositional (unresolved)","FM-specific","Q4"
"Smiling","FM-vocab","prefix; Sets def: Swirling ss Stepping","Sets entry","compositional (recursive, references ss)","= Swirling ss Stepping","depends on Swirling resolution"
"Spyro","FM-vocab","prefix","Alex Zerbe is the greatest | Spyro Symple Drifter","compositional (unresolved)","FM-specific","Q4"
"Bubba","FM-vocab","prefix","Bubba Beater | Bubba Legover","compositional (unresolved)","FM-specific","Q4"
"Neutron","FM-vocab","prefix and operand","various","compositional (unresolved)","FM-specific; appears as both modifier and base","Q4"
"Dragon","FM-vocab","prefix; positional 'Dragon set'","Flipwalk | Dragon set Stepping op Firewalk","positional + FM-vocab (unresolved)","appears as a set-surface marker analogous to Toe/Clipper but Dragon's geometric semantic is undocumented","Q4"
"Symp. / Symple","orthographic-shorthand","prefix variant of Symposium","Symp. Whirl; Symple Butterfly","purely descriptive (shorthand)","FM orthographic shorthand for Symposium; same canonical referent","none — resolved"
