"curator_decision","curator_notes","canonical_slug","display_name","source","source_file","source_adds","add_formula","add_confidence","symbolic_notation_raw","parsed_symbol_sequence","decomposition_status","doctrine_status","primary_operator","modifier_chain","equivalent_to","source_description","parser_notes","provenance_notes"
"","","spinning-pickup","Spinning Pickup","footbagmoves","footbagmoves-3adds.txt","3","spinning(+1) + pickup(2) --> 3 ADDs","high","","","compound","settled","spinning","spinning","spinning-pickup (live DB)","","Alt notation: TOE > (back) SPIN [BOD] > SAME IN [DEX] > SAME TOE [DEL].","FB.org 3-ADD confirms 'Spinning Pickup' (source_adds=3; jobs_notation_raw='CLIP > (back) SPIN [BOD] > OP IN [DEX] > SAME TOE [DEL]'; component_flags='[bod] [dex] [del]'); ingested 2026-05-21."
"","","symposium-pixie","Symposium Pixie","fborg","fborg-3add.txt","3","symposium(+1) + pixie(2) --> 3 ADDs","high","TOE (plant) > (no plant while) SAME IN [BOD] [DEX] > OP TOE [DEL]","","compound","settled","symposium","symposium","","Eg. Set from a right toe. Plant the right foot and raise the left foot. Hop off of the right leg bringing it up and over the bag from in to out catching the bag on a left toe delay. **The left leg does not touch the ground after the initial set.","Symposium modifier on pixie base. No-plant-while qualifier per pt7 symposium.",""
"","","tapping-illusion","Tapping Illusion","fborg","fborg-3add.txt","3","tapping(+1) + illusion(2) --> 3 ADDs","high","TOE > OP OUT [DEX] (plant) > SAME OUT [DEX] > OP TOE [DEL]","","compound","settled","tapping","tapping","","","pt3 tapping = +1 modifier. Distinct from stepping per pt3.",""
"","","tapping-legover","Tapping Legover","passback","passback_review_queue.csv","3","tapping(+1) + legover(2) --> 3 ADDs","high","","","compound","settled","tapping","tapping","","","pt3 tapping modifier.","FB.org 3-ADD confirms 'Tapping Legover' (source_adds=3; jobs_notation_raw='TOE > OP OUT [DEX] (plant) > SAME OUT [DEX] > SAME TOE [DEL]'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21."
"","","toe-blizzard","Toe Blizzard","fborg","fborg-3add.txt","3","quantum(+1) + illusion(2) --> 3 ADDs","high","TOE > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL]","","compound","settled","quantum","quantum","","Basically a miraging reverse mirage. Eg. Start from a right toe delay. Set the bag up and immediately start to bring your left leg up and over the bag from in to out. Plant your left leg and quickly jump off of your right leg to execute an out to in dexterity. End the move by catching the bag on your left toe.","pt10 ruled Quantum = +1 modifier. Source equates Toe Blizzard to Quantum Illusion.","FB.org source parenthetical ""(Quantum Illusion)"" preserved as alternate name."
"","","atomic-eclipse","Atomic Eclipse","fborg","fborg-4add.txt","4","atomic(+1) + eclipse(3) --> 4 ADDs","high","TOE > OP OUT [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND)","","compound","settled","atomic","atomic","","","Atomic modifier on eclipse base. Sibling to miraging-eclipse.",""
"","","backside-symposium-smear","Backside Symposium Smear","fborg","fborg-4add.txt","4","pixie(+1) + symposium-mirage(3) --> 4 ADDs","high","TOE > SAME IN [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL]","","compound","settled","pixie","pixie, symposium","","","Alt name ""Pixie Symposium Mirage"" preserved.",""
"","","backside-symposium-toe-blizzard","Backside Symposium Toe Blizzard","fborg","fborg-4add.txt","4","quantum(+1) + symposium-illusion(3) --> 4 ADDs","high","TOE > OP IN [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL]","","compound","settled","quantum","quantum, symposium","","","",""
"","","backside-symposium-toe-blur","Backside Symposium Toe Blur","fborg","fborg-4add.txt","4","quantum(+1) + symposium-mirage(3) --> 4 ADDs","high","TOE > OP IN [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL]","","compound","settled","quantum","quantum, symposium","","","Quantum Symposium Mirage (toe-set). Blur polysemy: this 'blur' is the QUANTUM sense (toe-set blur = quantum mirage), distinct from the clipper-set 'blurry' = stepping+paradox sense. Both readings are historically real; not the same operator.",""
"","","blizzard","Blizzard","footbagmoves","footbagmoves-3-4adds.txt","4","stepping(+1) + paradox(+1) + illusion(2) --> 4 ADDs","high","Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Toe (DEL)","clip › op in(DEX) ⟫ op out(DEX,PDX) › op toe(DEL)","compound","settled","stepping","stepping, paradox","blizzard (live DB; pt10 = Quantum Illusion via toe-blizzard convergence)","Identical to the Blur delay except the second mirage dexterity is in the other direction.","pt10 Quantum Illusion convergence; Blizzard = Stepping Paradox Illusion at clipper-set entry.","FB.org 4-ADD confirms 'Blizzard' (source_adds=4; jobs='CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP TOE [DEL]'; component_flags='[dex] [pdx] [dex] [del]'); ingested 2026-05-21."
"","","butterfly-swirl","Butterfly Swirl","footbagmoves","footbagmoves-3-4adds.txt","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","high","","","compound","settled","dex","","","Same as butterfly delay except instead of just catching the footbag on a clipper- complete a cross body inside around the world (swirl) delay straight after the leg over.","Butterfly base with swirl finish.","FB.org 4-ADD confirms 'Butterfly Swirl' (source_adds=4; jobs='SET > SAME/OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"","","da-da-curve","Da Da Curve","fborg","fborg-4add.txt","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","high","CLIP > OP IN [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","dex","","dada-curve (live DB; SCALE-10 pilot)","A mirage into a butterfly delay.","Sibling to ripwalk; no-plant-while differentiates from ripwalk.",""
"","","double-over-down","Double-Over Down","fborg","fborg-4add.txt","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","high","TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","dex","double","","From a toe delay circle the footbag from out to in twice and catch the footbag on the opposite leg clipper. Eg. From a right toe delay- set the bag straight up and circle the bag twice from out to in- hop off the left leg as your bring the right leg down and catch on a left leg clipper delay.","Down-family double-out compound.",""
"","","down-double-down","Down Double-Down","fborg","fborg-4add.txt","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","high","CLIP > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","dex","","","Two out-to-in dexterities in between 2 same-side clipper delays.","Clipper-set double-out compound. Sibling to Down Family family-pending Red queue.",""
"","","flux","Flux","footbagmoves","footbagmoves-3-4adds.txt","4","atomic(+1) + osis(3) --> 4 ADDs","high","Set >> Op Out (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL)","set ⟫ op out(DEX) › [front] spin(BOD) › op clip(XBD,DEL)","compound","settled","atomic","atomic","","","pt10 atomic +1 non-rotational; flux = atomic-osis.","FB.org 4-ADD confirms 'Flux' (source_adds=4; jobs='TOE > OP OUT [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [bod] [xbd] [del]'); ingested 2026-05-21."
"","","gyro-butterfly","Gyro Butterfly","footbagmoves","footbagmoves-3-4adds.txt","4","gyro(+1) + butterfly(3) --> 4 ADDs","high","","","compound","settled","gyro","gyro","gyro-butterfly (live DB)","Eg. From a right clipper- let the bag pass behind your back and without putting the right leg down turn to the right and complete a butterfly delay.","","FB.org 4-ADD confirms 'Gyro Butterfly' (source_adds=4; jobs='CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[bod] [dex] [xbd] [del]'); ingested 2026-05-21."
"","","inspinning-butterfly","Inspinning Butterfly","footbagmoves","footbagmoves-3-4adds.txt","4","inspinning(+1) + butterfly(3) --> 4 ADDs","high","","","compound","settled","inspinning","inspinning","","","","FB.org 4-ADD confirms 'Inspinning Butterfly' (source_adds=4; jobs='CLIP > (front) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[bod] [dex] [xbd] [del]'); ingested 2026-05-21."
"","","inspinning-paradox-illusion","Inspinning Paradox Illusion","fborg","fborg-4add.txt","4","inspinning(+1) + paradox-illusion(3) --> 4 ADDs","high","CLIP > (front) SPIN [BOD] > SAME OUT [PDX] [DEX] > OP TOE [DEL]","","compound","settled","inspinning","inspinning, paradox","","","",""
"","","inspinning-paradox-mirage","Inspinning Paradox Mirage","fborg","fborg-4add.txt","4","inspinning(+1) + paradox-mirage(3) --> 4 ADDs","high","CLIP > (front) SPIN [BOD] > SAME IN [PDX] [DEX] > OP TOE [DEL]","","compound","settled","inspinning","inspinning, paradox","","","",""
"","","inspinning-same-side-butterfly","Inspinning Same Side Butterfly","fborg","fborg-4add.txt","4","inspinning(+1) + ss-butterfly(3?) --> 4 ADDs","high","CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","inspinning","inspinning","","","",""
"","","miraging-eclipse","Miraging Eclipse","fborg","fborg-4add.txt","4","miraging(+1) + eclipse(3) --> 4 ADDs","high","SET > OP IN [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND)","","compound","settled","dex","miraging","","A mirage into an eclipse.","Miraging modifier on eclipse base.",""
"","","paradox-barrage","Paradox Barrage","fborg","fborg-4add.txt","4","paradox(+1) + barrage(3) --> 4 ADDs","high","CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL]","","compound","settled","paradox","paradox","","Eg. From a right foot clipper delay- circle the bag with the right foot from in to out twice then end on a left foot toe delay.","Paradox modifier on barrage base.",""
"","","paradox-blizzard","Paradox Blizzard","fborg","fborg-4add.txt","4","paradox(+1) + blizzard(3) --> 4 ADDs","high","CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].","","compound","settled","paradox","paradox","","","Paradox modifier on blizzard (= quantum illusion) base.",""
"","","paradox-double-leg-over","Paradox Double Leg Over","fborg","fborg-4add.txt","4","paradox(+1) + DLO(3) --> 4 ADDs","high","CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL]","","compound","settled","paradox","paradox","","Eg. Set from a left foot clipper delay- do a left leg in to out dexterity- then a right leg out to in dexterity and catch the footbag on a right toe delay. This is a paradox mirage with an extra legover at the end.","",""
"","","paradox-symposium-mirage","Paradox Symposium Mirage","fborg","fborg-4add.txt","4","paradox(+1) + symposium-mirage(3) --> 4 ADDs","high","CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL]","","compound","settled","paradox","paradox, symposium","","Eg. Set the footbag from your right foot clipper and switch your support leg (raise your left leg as you plant the right foot). Then, without planting the left foot, hop off of the right leg bringing it up and over the bag from in to out ending on a left toe delay.","Paradox + symposium on mirage base.",""
"","","pixie-eclipse","Pixie Eclipse","fborg","fborg-4add.txt","4","pixie(+1) + eclipse(3) --> 4 ADDs","high","TOE > SAME IN [DEX] (JUMP) [BOD] > SAME INSIDE [DEL] > OP OUT [DEX] > (LAND)","","compound","settled","pixie","pixie","","","",""
"","","pixie-swirl","Pixie Swirl","fborg","fborg-4add.txt","4","pixie(+1) + swirl(3) --> 4 ADDs","high","TOE > SAME IN [DEX] > SAME/OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","pixie","pixie","","Eg. Right toe set- circle the footbag with your right leg from in to out- hop to the right and do a right leg swirl- coming from the back- up and over the bag- landing on a right clipper delay.","",""
"","","pixie-whirl","Pixie Whirl","footbagmoves","footbagmoves-4adds.txt","4","pixie(+1) + whirl(3) --> 4 ADDs","high","","","compound","settled","pixie","pixie","pixie-whirl (live DB)","","","FB.org 4-ADD confirms 'Pixie Whirl' (source_adds=4; jobs='TOE > SAME IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"","","quantum-drifter","Quantum Drifter","fborg","fborg-4add.txt","4","quantum(+1) + drifter(3) --> 4 ADDs","high","TOE > OP IN [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","quantum","quantum","","","",""
"","","quantum-whirl","Quantum Whirl","fborg","fborg-4add.txt","4","quantum(+1) + whirl(3) --> 4 ADDs","high","TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","quantum","quantum","","","",""
"","","spinning-paradox-illusion","Spinning Paradox Illusion","fborg","fborg-4add.txt","4","spinning(+1) + paradox-illusion(3) --> 4 ADDs","high","CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL]","","compound","settled","spinning","spinning, paradox","","","",""
"","","spinning-paradox-mirage","Spinning Paradox Mirage","fborg","fborg-4add.txt","4","spinning(+1) + paradox-mirage(3) --> 4 ADDs","high","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL]","","compound","settled","spinning","spinning, paradox","","","",""
"","","stepping-ducking-mirage","Stepping Ducking Mirage","fborg","fborg-4add.txt","4","stepping(+1) + ducking-mirage(3) --> 4 ADDs","high","CLIP > OP IN [DEX] > DUCK [BOD] > SAME IN [DEX] > SAME TOE [DEL]","","compound","settled","stepping","stepping, ducking","","A stepping mirage with a duck between the two dexes.","",""
"","","stepping-eggbeater","Stepping Eggbeater","fborg","fborg-4add.txt","4","stepping(+1) + eggbeater(3) --> 4 ADDs","high","CLIP > OP IN [DEX] (plant) > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL]","","compound","settled","stepping","stepping","","","",""
"","","symposium-double-leg-over","Symposium Double Leg Over","fborg","fborg-4add.txt","4","symposium(+1) + DLO(3) --> 4 ADDs","high","SET > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]","","compound","settled","symposium","symposium","","Eg. From a right toe delay- jump with both legs going over the footbag and ending on another right toe delay.","",""
"","","symposium-eggbeater","Symposium Eggbeater","footbagmoves","footbagmoves-4adds.txt","4","symposium(+1) + eggbeater(3) --> 4 ADDs","high","","","compound","settled","symposium","symposium","","","","FB.org 4-ADD confirms 'Symposium Eggbeater' (source_adds=4; jobs='SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL]'; component_flags='[bod] [dex] [dex] [del]'); ingested 2026-05-21."
"","","symposium-reverse-whirl","Symposium Reverse Whirl","fborg","fborg-4add.txt","4","symposium(+1) + reverse-whirl(3) --> 4 ADDs","high","SET > (no plant while) OP OUT [BOD] [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","symposium","symposium","","Identical to the symposium whirl delay but you circle the footbag the other way.","",""
"","","terraging-opposite-clipper","Terraging Opposite Clipper","fborg","fborg-4add.txt","4","terraging(+1) + xbody-toe(3) --> 4 ADDs","high","TOE > SAME IN [DEX] > SAME IN [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","dex","terraging","","","Terraging modifier with opposite-clipper terminator. pt6 terraging = +3 modifier; here as compound.",""
"","","terraging-same-clipper","Terraging Same Clipper","fborg","fborg-4add.txt","4","terraging(+1) + same-clipper(3) --> 4 ADDs","high","TOE > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","dex","terraging","","","Terraging modifier with same-side clipper terminator.",""
"","","toe-ripwalk","Toe Ripwalk","fborg","fborg-4add.txt","4","quantum(+1) + butterfly(3) --> 4 ADDs","high","TOE > OP IN [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","quantum","quantum","","","Alt name ""Quantum Butterfly"" preserved.",""
"","","twirl","Twirl","footbagmoves","footbagmoves-4adds.txt","4","swirling(+1) + osis(3) --> 4 ADDs","high","Clip >> Same Front Swirl (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL)","clip ⟫ same front swirl(DEX) › [back] spin(BOD) › op clip(XBD,DEL)","compound","settled","spinning","swirling","","A swirling osis where the swirl is done with the opposite leg as the osis. Similar to a dyno except the swirl is done with the other foot.","Swirling-osis variant. Sibling to dyno.","FB.org 4-ADD confirms 'Twirl' (source_adds=4; jobs='CLIP > SAME FRONT/BACK SWIRL [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [bod] [xbd] [del]'); ingested 2026-05-21."
"","","avalanche","Avalanche","footbagmoves","footbagmoves-5adds.txt","5","stepping(+1) + ducking(+1) + paradox-illusion(3) --> 5 ADDs","high","Clip > Op In (DEX) >> Duck (BOD) >> Op Out (DEX)(PDX) > Op Toe (DEL)","clip › op in(DEX) ⟫ duck(BOD) ⟫ op out(DEX,PDX) › op toe(DEL)","compound","settled","stepping","stepping, ducking, paradox","","","","FB.org 5-ADD confirms 'Avalanche' (source_adds=5; jobs='CLIP > OP IN [DEX] > DUCK [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL]'); ingested 2026-05-21."
"","","barfly-swirl","Barfly Swirl","fborg","fborg-5add.txt","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","high","CLIP > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","dex","barraging, swirl","","From a right clipper set the bag around waist height travelling across your body. Circle the bag from out to in twice with the right leg. Then hop off the left leg and swirl the footbag with this leg ending in left clipper delay.","",""
"","","barroque","Barroque","footbagmoves","footbagmoves-5adds.txt","5","barraging(+2 two-dex) + osis(3) --> 5 ADDs (Red 2026-05-20)","high","Clip > Op In (DEX) > Same In (DEX) >> (back) Spin (BOD) > Op Clip (XBD)(DEL)","clip › op in(DEX) › same in(DEX) ⟫ [back] spin(BOD) › op clip(XBD,DEL)","compound","settled","dex","barraging","barraging-osis (live DB; Baroque; Red 2026-05-20 = two-dex + osis = 5)","A barrage into an osis.","Red 2026-05-20: Baroque (Barraging Osis) = two dexes + osis = 5. FB.org double-r spelling ""Barroque"" preserved; single-r ""Baroque"" is the alternate.","FB.org 5-ADD confirms 'Barroque' (source_adds=5; jobs='CLIP > OP IN [DEX] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"","","bedwetter","Bedwetter","footbagmoves","footbagmoves-5adds.txt","5","stepping(+1) + paradox(+1) + eggbeater(3) --> 5 ADDs","high","Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL)","clip › op in(DEX) ⟫ op out(DEX,PDX) › op out(DEX) › same toe(DEL)","compound","settled","stepping","stepping, paradox","","","","FB.org 5-ADD confirms 'Bedwetter' (source_adds=5; jobs='CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL]'); ingested 2026-05-21."
"","","double-over-down-swirl","Double-Over Down Swirl","fborg","fborg-5add.txt","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","high","TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","dex","double, swirl","","A Double-Over Down ending in a swirl.","",""
"","","down-diver","Down Diver","footbagmoves","footbagmoves-5adds.txt","5","diving(+1) + down-double-down(4) --> 5 ADDs","high","Clip >> Dive (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL)","clip ⟫ dive(BOD) ⟫ op out(DEX) › same out(DEX) › op clip(XBD,DEL)","compound","settled","diving","diving","","Right clipper set- dive the bag- left out to in dex twice to a right clipper delay.","","FB.org 5-ADD confirms 'Down Diver' (source_adds=5; jobs='TOE > DIVE [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"","","ducking-barfly","Ducking Barfly","fborg","fborg-5add.txt","5","ducking(+1) + barfly(4) --> 5 ADDs","high","CLIP > DUCK [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","ducking","ducking","","","",""
"","","flurricane","Flurricane","footbagmoves","footbagmoves-5adds.txt","5","gyro(+1) + flurry(4) --> 5 ADDs","high","Clip >> (back) Spin (BOD > Same In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL)","clip ⟫ [back] spin › same in(DEX) › same in(DEX) ⟫ op out(DEX) › same toe(DEL)","compound","settled","gyro","gyro","","","Alt notation: TOE > (back) SPIN [BOD] > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL].","FB.org 5-ADD confirms 'Flurricane' (source_adds=5; jobs='CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]'); ingested 2026-05-21."
"","","lotus","Lotus","footbagmoves","footbagmoves-5adds.txt","5","spinning(+1) + paradox-drifter(4) --> 5 ADDs","high","Clip >> (back) Spin (BOD) >> Op In (DEX)(PDX) > Same Clip (XBD)(DEL)","clip ⟫ [back] spin(BOD) ⟫ op in(DEX,PDX) › same clip(XBD,DEL)","compound","settled","spinning","spinning, paradox","","","","FB.org 5-ADD confirms 'Lotus' (source_adds=5; jobs='CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL]'); ingested 2026-05-21."
"","","paradon-swirl","Paradon Swirl","fborg","fborg-5add.txt","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","high","TOE > OP OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","dex","swirl","","A Paradon ending in a swirl.","",""
"","","paradox-da-da-curve","Paradox Da Da Curve","fborg","fborg-5add.txt","5","paradox(+1) + dada-curve(4) --> 5 ADDs","high","CLIP > SAME IN [PDX] [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","paradox","paradox","","","",""
"","","paradox-high-plains-drifter","Paradox High Plains Drifter","fborg","fborg-5add.txt","5","paradox(+1) + high-plains-drifter(4) --> 5 ADDs","high","CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","paradox","paradox","","","",""
"","","paradox-ripwalk","Paradox Ripwalk","fborg","fborg-5add.txt","5","paradox(+1) + ripwalk(4) --> 5 ADDs","high","CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","paradox","paradox","","","",""
"","","paradox-whirling-swirl","Paradox Whirling Swirl","fborg","fborg-5add.txt","5","paradox(+1) + whirling-swirl(4) --> 5 ADDs","high","CLIP > SAME IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","paradox","paradox","","Whirling Swirl set from opposite side clipper.","",""
"","","pixie-double-over-down","Pixie Double Over Down","fborg","fborg-5add.txt","5","pixie(+1) + double-over-down(4) --> 5 ADDs","high","TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","pixie","pixie","","","",""
