trick_slug,external_name,source,our_stated_add,our_computed_add,external_stated_add,external_computed_add,formula_used,operator_tokens,difference_type,severity,recommended_action,red_needed,notes
spinning-clipper,,ifpa-internal,3,3,,,spinning-clipper(3) [self-atom] = 3,,agree-internal,low,no action,no,exact_self_atom
ducking-butterfly,,ifpa-internal,4,4,,,ducking(+1) + butterfly(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
spinning-butterfly,,ifpa-internal,4,4,,,spinning(+1) + butterfly(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
symposium-whirl,,ifpa-internal,4,4,,,symposium(+1) + whirl(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
ducking-whirl,,ifpa-internal,4,4,,,ducking(+1) + whirl(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
stepping-whirl,,ifpa-internal,4,4,,,stepping(+1) + whirl(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
paradox-whirl,,ifpa-internal,4,4,,,paradox(+1) + whirl(3) = 4,PARADOX|WHIRL,agree-internal,low,no action,no,exact_modifier_derived
paradox-drifter,,ifpa-internal,4,4,,,paradox(+1) + drifter(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
paradox-mirage,,ifpa-internal,3,3,,,paradox(+1) + mirage(2) = 3,,agree-internal,low,no action,no,exact_modifier_derived
paradox-blender,,ifpa-internal,5,5,,,paradox(+1) + blender(4) = 5,,agree-internal,low,no action,no,exact_modifier_derived
paradox-torque,,ifpa-internal,5,5,,,paradox(+1) + torque(4) = 5,,agree-internal,low,no action,no,exact_modifier_derived
blurry-whirl,,ifpa-internal,5,4,,,blurry(+1) + whirl(3) = 4,,internal-stated-vs-computed,high,"Red review: stated=5, formula gives 4",yes,approximate
blurriest,,ifpa-internal,5,5,,,blurriest(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
fog,,ifpa-internal,5,5,,,fog(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
mobius,,ifpa-internal,5,5,,,mobius(5) = 5,MOBIUS,unresolved-tokens,medium,defer; needs operator definition for: mobius,yes,exact_modifier_derived [unresolved: mobius]
fusion,,ifpa-internal,5,5,,,fusion(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
tomahawk,,ifpa-internal,5,5,,,tomahawk(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
superfly,,ifpa-internal,5,5,,,superfly(5) = 5,SUPERFLY,unresolved-tokens,medium,defer; needs operator definition for: superfly,yes,exact_modifier_derived [unresolved: superfly]
spinning-whirl,,ifpa-internal,4,4,,,spinning(+1) + whirl(3) = 4,SPINNING|WHIRL,agree-internal,low,no action,no,exact_modifier_derived
paradox-symposium-whirl,,ifpa-internal,5,5,,,paradox(+1) + symposium(+1) + whirl(3) = 5,,agree-internal,low,no action,no,exact_modifier_derived
food-processor,,ifpa-internal,6,6,,,food-processor(6) [self-atom] = 6,,agree-internal,low,no action,no,exact_self_atom
blurry-torque,,ifpa-internal,6,5,,,blurry(+1) + torque(4) = 5,,internal-stated-vs-computed,high,"Red review: stated=6, formula gives 5",yes,approximate
atomic-torque,,ifpa-internal,6,6,,,atomic(+2 rot) + torque(4) = 6,,agree-internal,low,no action,no,exact_modifier_derived
spinning-torque,,ifpa-internal,5,5,,,spinning(+1) + torque(4) = 5,,agree-internal,low,no action,no,exact_modifier_derived
spinning-symposium-whirl,,ifpa-internal,5,5,,,spinning(+1) + symposium(+1) + whirl(3) = 5,SPINNING|SYMPOSIUM|WHIRL,agree-internal,low,no action,no,exact_modifier_derived
rev-whirl,,ifpa-internal,3,3,,,whirl(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
rev-up,,ifpa-internal,3,3,,,rev-up(3) [self-atom] = 3,,agree-internal,low,no action,no,exact_self_atom
spinning-osis,,ifpa-internal,4,4,,,spinning(+1) + osis(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
ducking-osis,,ifpa-internal,4,4,,,ducking(+1) + osis(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
stepping-osis,,ifpa-internal,4,4,,,stepping(+1) + osis(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
tapping-whirl,,ifpa-internal,4,4,,,tapping(+1) + whirl(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
barraging-osis,,ifpa-internal,5,4,,,barraging(+1) + osis(3) = 4,,internal-stated-vs-computed,high,"Red review: stated=5, formula gives 4",yes,approximate
atomic-butterfly,,ifpa-internal,4,4,,,atomic(+1) + butterfly(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
ducking,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
spinning,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
paradox,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
symposium,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
atomic,,ifpa-internal,2,2,,,atomic(2) [self-atom] = 2,ATOMIC,unresolved-tokens,medium,defer; needs operator definition for: atomic,yes,exact_self_atom [unresolved: atomic]
stepping,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
gyro,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
tapping,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
blazing,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
barraging,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
toe-stall,,ifpa-internal,1,1,,,toe-stall(1) [self-atom] = 1,TOE|STALL,unresolved-tokens,medium,"defer; needs operator definition for: toe,stall",yes,"exact_self_atom [unresolved: toe,stall]"
heel-stall,,ifpa-internal,1,1,,,heel-stall(1) [self-atom] = 1,HEEL|STALL,unresolved-tokens,medium,"defer; needs operator definition for: heel,stall",yes,"exact_self_atom [unresolved: heel,stall]"
outside-stall,,ifpa-internal,1,1,,,outside-stall(1) [self-atom] = 1,OUTSIDE|STALL,unresolved-tokens,medium,"defer; needs operator definition for: outside,stall",yes,"exact_self_atom [unresolved: outside,stall]"
flying-inside,,ifpa-internal,1,1,,,flying-inside(1) [self-atom] = 1,FLYING|INSIDE,unresolved-tokens,medium,"defer; needs operator definition for: flying,inside",yes,"exact_self_atom [unresolved: flying,inside]"
flying-outside,,ifpa-internal,1,1,,,flying-outside(1) [self-atom] = 1,FLYING|OUTSIDE,unresolved-tokens,medium,"defer; needs operator definition for: flying,outside",yes,"exact_self_atom [unresolved: flying,outside]"
hop-over,,ifpa-internal,2,2,,,hop-over(2) [self-atom] = 2,HOP|OVER,unresolved-tokens,medium,"defer; needs operator definition for: hop,over",yes,"exact_self_atom [unresolved: hop,over]"
double-spin,,ifpa-internal,2,2,,,double-spin(2) [self-atom] = 2,,agree-internal,low,no action,no,exact_self_atom
walk-over,,ifpa-internal,2,2,,,walk-over(2) [self-atom] = 2,WALK|OVER,unresolved-tokens,medium,"defer; needs operator definition for: walk,over",yes,"exact_self_atom [unresolved: walk,over]"
spyro,,ifpa-internal,1,1,,,spyro(1) = 1,SPYRO,unresolved-tokens,medium,defer; needs operator definition for: spyro,yes,exact_modifier_derived [unresolved: spyro]
surging,,ifpa-internal,2,2,,,surging(2) [self-atom] = 2,,agree-internal,low,no action,no,exact_self_atom
sidewalk,,ifpa-internal,4,4,,,sidewalk(4) = 4,SIDEWALK,unresolved-tokens,medium,defer; needs operator definition for: sidewalk,yes,exact_modifier_derived [unresolved: sidewalk]
tombstone,,ifpa-internal,4,4,,,tombstone(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
fury,,ifpa-internal,5,5,,,fury(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
vortex,,ifpa-internal,4,4,,,vortex(4) = 4,VORTEX,unresolved-tokens,medium,defer; needs operator definition for: vortex,yes,exact_modifier_derived [unresolved: vortex]
quantum,,ifpa-internal,2,2,,,quantum(2) [self-atom] = 2,QUANTUM,agree-internal,low,no action,no,policy_dependent
merkon,,ifpa-internal,3,3,,,merkon(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
terrage,,ifpa-internal,4,4,,,terrage(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
barrage,,ifpa-internal,3,3,,,barrage(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
royale,,ifpa-internal,4,4,,,royale(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
ripstein,,ifpa-internal,4,4,,,ripstein(4) = 4,RIPSTEIN,unresolved-tokens,medium,defer; needs operator definition for: ripstein,yes,exact_modifier_derived [unresolved: ripstein]
flail,,ifpa-internal,3,3,,,flail(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
omelette,,ifpa-internal,3,3,,,omelette(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
sumo,,ifpa-internal,5,5,,,sumo(5) = 5,SUMO,unresolved-tokens,medium,defer; needs operator definition for: sumo,yes,exact_modifier_derived [unresolved: sumo]
flying-clipper,,ifpa-internal,2,2,,,flying-clipper(2) [self-atom] = 2,,agree-internal,low,no action,no,exact_self_atom
inside-stall,,ifpa-internal,1,1,,,inside-stall(1) [self-atom] = 1,INSIDE|STALL,unresolved-tokens,medium,"defer; needs operator definition for: inside,stall",yes,"exact_self_atom [unresolved: inside,stall]"
clipper-stall,,ifpa-internal,2,2,,,clipper-stall(2) [self-atom] = 2,CLIPPER|STALL,unresolved-tokens,medium,defer; needs operator definition for: stall,yes,exact_self_atom [unresolved: stall]
dragonfly-kick,,ifpa-internal,2,2,,,dragonfly-kick(2) [self-atom] = 2,DRAGONFLY|KICK,unresolved-tokens,medium,"defer; needs operator definition for: dragonfly,kick",yes,"exact_self_atom [unresolved: dragonfly,kick]"
dada-curve,,ifpa-internal,4,4,,,dada-curve(4) [self-atom] = 4,,agree-internal,low,no action,no,exact_self_atom
knee-stall,,ifpa-internal,1,1,,,knee-stall(1) [self-atom] = 1,,agree-internal,low,no action,no,exact_self_atom
sole-stall,,ifpa-internal,2,2,,,sole-stall(2) [self-atom] = 2,,agree-internal,low,no action,no,exact_self_atom
cloud-stall,,ifpa-internal,2,2,,,cloud-stall(2) [self-atom] = 2,,agree-internal,low,no action,no,exact_self_atom
forehead-stall,,ifpa-internal,1,1,,,forehead-stall(1) [self-atom] = 1,,agree-internal,low,no action,no,exact_self_atom
neck-stall,,ifpa-internal,1,1,,,neck-stall(1) [self-atom] = 1,,agree-internal,low,no action,no,exact_self_atom
cross-body-sole-stall,,ifpa-internal,3,3,,,cross-body-sole-stall(3) [self-atom] = 3,,agree-internal,low,no action,no,exact_self_atom
symposium-mirage,,ifpa-internal,3,3,,,symposium(+1) + mirage(2) = 3,,agree-internal,low,no action,no,exact_modifier_derived
squeeze,,ifpa-internal,2,2,,,squeeze(2) = 2,,agree-internal,low,no action,no,exact_modifier_derived
spin,,ifpa-internal,1,1,,,spin(1) = 1,SPIN,unresolved-tokens,medium,defer; needs operator definition for: spin,yes,exact_modifier_derived [unresolved: spin]
pendulum,,ifpa-internal,2,2,,,pendulum(2) = 2,,agree-internal,low,no action,no,exact_modifier_derived
whirling-swirl,,ifpa-internal,4,4,,,whirling(+1) + swirl(3) = 4,,agree-internal,low,no action,no,exact_modifier_derived
bigwalk,,ifpa-internal,5,5,,,bigwalk(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
surge,,ifpa-internal,5,5,,,surge(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
surreal,,ifpa-internal,6,6,,,surreal(6) = 6,,agree-internal,low,no action,no,exact_modifier_derived
surgery,,ifpa-internal,6,6,,,surgery(6) = 6,,agree-internal,low,no action,no,exact_modifier_derived
venom,,ifpa-internal,6,6,,,venom(6) = 6,,agree-internal,low,no action,no,exact_modifier_derived
dyno,,ifpa-internal,4,4,,,dyno(4) = 4,DYNO,agree-internal,low,no action,no,exact_modifier_derived
paradon,,ifpa-internal,4,4,,,paradon(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
high-plains-drifter,,ifpa-internal,4,4,,,high-plains-drifter(4) [self-atom] = 4,,agree-internal,low,no action,no,exact_self_atom
reaper,,ifpa-internal,3,3,,,reaper(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
magellan,,ifpa-internal,3,3,,,magellan(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
witchdoctor,,ifpa-internal,4,4,,,witchdoctor(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
furious,,ifpa-internal,2,2,,,furious(2) [self-atom] = 2,FURIOUS,unresolved-tokens,medium,defer; needs operator definition for: furious,yes,exact_self_atom [unresolved: furious]
pogo,,ifpa-internal,0,0,,,pogo(0) [self-atom] = 0,,agree-internal,low,no action,no,exact_self_atom
terraging,,ifpa-internal,3,,,,,,incomplete,low,no comparison possible,no,
illusioning,,ifpa-internal,,,,,,,incomplete,low,no comparison possible,no,
reverse-drifter,,ifpa-internal,3,3,,,drifter(3) = 3,REV|DRIFTER,unresolved-tokens,medium,defer; needs operator definition for: rev,yes,exact_modifier_derived [unresolved: rev]
refraction,,ifpa-internal,3,3,,,refraction(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
knee-clipper,,ifpa-internal,2,2,,,knee-clipper(2) [self-atom] = 2,,agree-internal,low,no action,no,exact_self_atom
shooting,,ifpa-internal,3,3,,,shooting(3) [self-atom] = 3,SHOOTING,unresolved-tokens,medium,defer; needs operator definition for: shooting,yes,exact_self_atom [unresolved: shooting]
smudge,,ifpa-internal,3,3,,,smudge(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
smog,,ifpa-internal,4,4,,,smog(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
haze,,ifpa-internal,4,4,,,haze(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
head-stall,,ifpa-internal,1,1,,,head-stall(1) [self-atom] = 1,HEAD|STALL,unresolved-tokens,medium,"defer; needs operator definition for: head,stall",yes,"exact_self_atom [unresolved: head,stall]"
shoulder-stall,,ifpa-internal,1,1,,,shoulder-stall(1) [self-atom] = 1,,agree-internal,low,no action,no,exact_self_atom
bullwhip,,ifpa-internal,5,5,,,bullwhip(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
nemesis,,ifpa-internal,6,6,,,nemesis(6) = 6,,agree-internal,low,no action,no,exact_modifier_derived
gauntlet,,ifpa-internal,7,7,,,gauntlet(7) = 7,STEPPING|DUCKING|PARADOX|TORQUE,agree-internal,low,no action,no,exact_modifier_derived
sole-kick,,ifpa-internal,1,1,,,sole-kick(1) [self-atom] = 1,SOLE|KICK,unresolved-tokens,medium,"defer; needs operator definition for: sole,kick",yes,"exact_self_atom [unresolved: sole,kick]"
smoke,,ifpa-internal,4,4,,,smoke(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
plasma,,ifpa-internal,5,5,,,plasma(5) = 5,,agree-internal,low,no action,no,exact_modifier_derived
grave-digger,,ifpa-internal,5,5,,,grave-digger(5) [self-atom] = 5,,agree-internal,low,no action,no,exact_self_atom
jani-walker,,ifpa-internal,5,5,,,jani-walker(5) [self-atom] = 5,,agree-internal,low,no action,no,exact_self_atom
rooted,,ifpa-internal,0,0,,,rooted(0) [self-atom] = 0,,agree-internal,low,no action,no,exact_self_atom
cloud-kick,,ifpa-internal,1,1,,,cloud-kick(1) [self-atom] = 1,CLOUD|KICK,unresolved-tokens,medium,"defer; needs operator definition for: cloud,kick",yes,"exact_self_atom [unresolved: cloud,kick]"
sailing,,ifpa-internal,2,2,,,sailing(2) = 2,SAILING,unresolved-tokens,medium,defer; needs operator definition for: sailing,yes,exact_modifier_derived [unresolved: sailing]
tap,,ifpa-internal,3,3,,,tap(3) = 3,TAPPING|MIRAGE,agree-internal,low,no action,no,exact_modifier_derived
paste,,ifpa-internal,3,3,,,paste(3) = 3,PIXIE|PICKUP,agree-internal,low,no action,no,exact_modifier_derived
hatchet,,ifpa-internal,4,4,,,hatchet(4) = 4,DIVING|WHIRL,agree-internal,low,no action,no,exact_modifier_derived
pigbeater,,ifpa-internal,4,4,,,pigbeater(4) = 4,PIXIE|EGGBEATER,agree-internal,low,no action,no,exact_modifier_derived
montage,,ifpa-internal,7,7,,,montage(7) = 7,SPINNING|DUCKING|PARADOX|SYMPOSIUM|WHIRL,agree-internal,low,no action,no,exact_modifier_derived
mullet,,ifpa-internal,6,6,,,mullet(6) = 6,DUCKING|PARADOX|SYMPOSIUM|WHIRL,agree-internal,low,no action,no,exact_modifier_derived
spender,,ifpa-internal,6,6,,,spender(6) = 6,SPINNING|PARADOX|BLENDER,agree-internal,low,no action,no,exact_modifier_derived
scrambled-eggbeater,,ifpa-internal,3,3,,,scrambled-eggbeater(3) [self-atom] = 3,ATOMIC|PICKUP,agree-internal,low,no action,no,exact_self_atom
matador,,ifpa-internal,5,5,,,matador(5) = 5,NUCLEAR|BUTTERFLY,agree-internal,low,no action,no,exact_modifier_derived
phoenix,,ifpa-internal,5,5,,,phoenix(5) = 5,PIXIE|DUCKING|BUTTERFLY,agree-internal,low,no action,no,exact_modifier_derived
mind-bender,,ifpa-internal,6,6,,,mind-bender(6) [self-atom] = 6,DUCKING|PARADOX|BLENDER,agree-internal,low,no action,no,exact_self_atom
tripwalk,,ifpa-internal,4,4,,,tripwalk(4) = 4,QUANTUM|BUTTERFLY,agree-internal,low,no action,no,exact_modifier_derived
legeater,,ifpa-internal,3,3,,,legeater(3) = 3,QUANTUM|PICKUP,agree-internal,low,no action,no,exact_modifier_derived
spinal-tap,,ifpa-internal,5,5,,,spinal-tap(5) [self-atom] = 5,TAPPING|TORQUE,agree-internal,low,no action,no,exact_self_atom
,Hurl,fm,5,5,4,5,nuclear(+2) + ss(+0) + whirl(3) = 5,Nuclear|ss|Whirl,fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,no,matrix_disposition: federation_math_divergence; Case A from RED_PT12_SS_SEMANTICS.md. Folk-alias treatment: do not adopt FM=4 into IFPA. No IFPA dictionary row to updat
,Barfry,fm,5,5,4,5,nuclear(+2) + ss(+0) + butterfly(3) = 5,Nuclear|ss|Butterfly,fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,no,matrix_disposition: federation_math_divergence; Case B from RED_PT12_SS_SEMANTICS.md (pt12 item 4). Curated fm_alias_terminology_extract.csv lists 'Nuclear far Butterfl
,Godzilla,fm,6,6,5,6,nuclear(+2) + ss(+0) + dyno(4) = 6,Nuclear|ss|Dyno,fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,no,matrix_disposition: federation_math_divergence; Newly surfaced by SS resolution pass. Matches Hurl/Barfry -1 delta pattern. Not in original packet.
,Maverick,fm,4,4,4,4,pixie(+1) + ss(+0) + osis(3) = 4,Pixie|ss|Osis,agree-fm,low,no action,no,matrix_disposition: canonical_equivalent; Case D from RED_PT12_SS_SEMANTICS.md. Math agrees under SS=+0; confirms H1.
,Catacomb,fm,4,4,4,4,pixie(+1) + ss(+0) + drifter(3) = 4,Pixie|ss|Drifter,agree-fm,low,no action,no,matrix_disposition: canonical_equivalent; Newly surfaced. Math agrees under SS=+0.
,Tap Dance,fm,4,,4,,pixie(+1) + ss(+0) + original(?) + tap(3) = unresolved,Pixie|ss|Original|Tap,unresolved-tokens,medium,defer; needs operator definition for: original,yes,"matrix_disposition: canonical_equivalent; Newly surfaced. 'Original Tap' presumably maps to canonical tap (mirage+tapping, 3 ADD). Math agrees under SS=+0."
,Casket,fm,,,4,,fairy(?) + ss(+0) + drifter(3) = unresolved,Fairy|ss|Drifter,unresolved-tokens,medium,defer; needs operator definition for: fairy,yes,matrix_disposition: unresolved_other_reason; SS rule applies; row remains blocked on fairy modifier resolution (Q4). Wave-2 Tier-3 insert deferred.
,Flaming Homer,fm,,,4,,fairy(?) + ss(+0) + eggbeater(3) = unresolved,Fairy|ss|Eggbeater,unresolved-tokens,medium,defer; needs operator definition for: fairy,yes,matrix_disposition: unresolved_other_reason; Newly surfaced. Fairy-blocked.
,Glaucoma,fm,,,4,,fairy(?) + ss(+0) + double(+0) + legover(2) = unresolved,Fairy|ss|Double|Legover,unresolved-tokens,medium,defer; needs operator definition for: fairy,yes,matrix_disposition: unresolved_other_reason; Newly surfaced. Fairy-blocked.
,Park Avenue,fm,,,4,,fairy(?) + ss(+0) + butterfly(3) = unresolved,Fairy|ss|Butterfly,unresolved-tokens,medium,defer; needs operator definition for: fairy,yes,matrix_disposition: unresolved_other_reason; Newly surfaced. Fairy-blocked.
,Leaning Jowler,fm,,,4,,leaning(?) + ss(+0) + mirage(2) = unresolved,Leaning|ss|Mirage,unresolved-tokens,medium,defer; needs operator definition for: leaning,yes,matrix_disposition: unresolved_other_reason; Newly surfaced. Leaning modifier needs adjudication (similar to fairy/gyro/blazing Q4 class).
,Phase,fm,,,4,,phasing(?) + ss(+0) + mirage(2) = unresolved,Phasing|ss|Mirage,unresolved-tokens,medium,defer; needs operator definition for: phasing,yes,matrix_disposition: unresolved_other_reason; Newly surfaced. Phasing modifier not in IFPA table.
,Down Double Down,fm,,,4,,clipper(1) + set(+0) + ss(+0) + double(+0) + over(?) + down(?) = unresolved,Clipper|set|ss|Double|Over|Down,unresolved-tokens,medium,"defer; needs operator definition for: over,down",yes,matrix_disposition: unresolved_other_reason; Newly surfaced. Clipper-set is an unusual modifier convention; double-over-down is the base trick formula but unclear if
,Arch Nemesis,fm,,,6,,no recognized base,Barraging|ss|Double|Double|Down,unresolved-tokens,medium,defer; needs operator definition for: down,yes,matrix_disposition: unresolved_other_reason; Newly surfaced. barraging IS in the IFPA modifier table (+1/+1 body); prior comment ('not in IFPA table') corrected 2026
,Bill & Ted's Bogus Journey,fm,,,6,,flailing(?) + ss(+0) + symposium(+1) + double(+0) + legover(2) = unresolved,Flailing|ss|Symposium|Double|Legover,unresolved-tokens,medium,defer; needs operator definition for: flailing,yes,matrix_disposition: unresolved_other_reason; Newly surfaced. Flailing is recursive (Flailing = Symposium Atomic per FM extract); recursive resolution pending.
,Compound Fracture,fm,,,6,,railing(?) + ss(+0) + double(+0) + legover(2) = unresolved,Railing|ss|Double|Legover,unresolved-tokens,medium,defer; needs operator definition for: railing,yes,matrix_disposition: unresolved_other_reason; Newly surfaced. Railing modifier not in IFPA table.
,Nuclear Mirage (same side),fm,5,,4,,,,fm-vs-ifpa-stated,medium,federation_math_divergence per existing matrix; accept-as-folk-evidence,no,matrix_disposition: unresolved_other_reason; Case C from RED_PT12_SS_SEMANTICS.md. Independent of SS ruling. Maps to IFPA sumo; sumo's IFPA-additive is 5 per pt9 X-D
,(54-row '(same side)' display-suffix cohort),fm,,,,,no recognized base,see|legacy_data|out|footbagmoves_inventory_same_side.csv,unresolved-tokens,medium,"defer; needs operator definition for: see,legacy_data,out,footbagmoves_inventory_same_side.csv",yes,matrix_disposition: per-row review at federation entry; most expected to resolve as canonical_equivalent; 54 rows total in legacy_data/out/footbagmoves_inventory_same_side.csv. Per-row classification deferred to federation-rev
,Genesis,fm,5,,7,,furious(?) + whirl(3) = unresolved,Furious|Whirl,unresolved-tokens,medium,defer; needs operator definition for: furious,yes,"matrix_disposition: federation_math_divergence; FM math non-canonical (+2 delta; FM-over direction, opposite of Hurl/Barfry/Godzilla -1 cases). IFPA canonical: furious("
,Bladerunner,fm,4,4,5,4,atomic(+1 non-rot) + eggbeater(3) = 4,Atomic|Eggbeater,fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,no,"matrix_disposition: federation_math_divergence; FM math non-canonical (+1 delta; FM-over direction). IFPA literal math: atomic(+1 non-rot, since legover is non-rotation"
