candidate,type,reason_safe,dependencies,proposed_action,ontology_risk,pedagogical_value
dragon-as-modifier-promotion,operator-reference,Polysemous across modifier/surface/suffix; cannot promote without disambiguation,never,REJECT: dragon-as-modifier not promotable; dragon-as-surface may warrant glossary entry separately,high,low
bubba-as-modifier-promotion,operator-reference,Patronymic naming (named after community member); 4 corpus rows; community-specific,never,REJECT: not promotable regardless of corpus recurrence,high,zero
jolimont-as-modifier-promotion,operator-reference,Toponym-style naming; singleton observation,never,REJECT: not promotable,high,zero
spyro-as-modifier-promotion,operator-reference,Heavy author-attachment (Alex Zerbe canon-handle); pt1 already settled Spyro as standalone body element (1 ADD); modifier reading risks community drift,never,REJECT: do not promote modifier reading; surface-existing pt1 Spyro=1-ADD stands,high,zero
neutron-as-modifier-promotion,operator-reference,FM-vocab; appears as both modifier and operand; semantics undocumented,wave-1,DEFER: blocked on Q4 batch policy,high,zero
blazing-as-modifier-promotion,operator-reference,FM-vocab; 4 obs; unclear semantics,wave-1,DEFER: blocked on Q4 batch,high,zero
surging-as-modifier-promotion,operator-reference,FM-vocab; 11 obs; pt1 established Surging = Spinning + Stepping (compression); FM modifier reading is divergent,wave-1,DEFER: blocked on Q4 batch; pt1 compression reading remains,medium,low
railing-as-modifier-promotion,operator-reference,FM-vocab; 11 obs; unclear semantics,wave-1,DEFER: blocked on Q4 batch,high,zero
splicing-as-modifier-promotion,operator-reference,FM-vocab; singleton,wave-1,DEFER: blocked on Q4 batch,high,zero
surfing-as-modifier-promotion,operator-reference,FM-vocab; singleton,wave-1,DEFER: blocked on Q4 batch,high,zero
smiling-as-modifier-promotion,operator-reference,FM-vocab; singleton,wave-1,DEFER: blocked on Q4 batch,high,zero
twinspinning-as-modifier-promotion,operator-reference,Likely twin-spin variant; singleton,wave-1,DEFER: blocked on Q4 batch,medium,low
witchdoctor-add-rating,canonical-add,Stated 4 vs atomic-rot formula 5; pt12 open,wave-1,DEFER: pt12 open and Wave 1 Q1 directly affects this row,low,medium
frigidosis-decomposition,canonical-add,pt11 deferred,wave-2,DEFER: Wave 2 Theme 2 focus-trick set,low,medium
scrambled-eggbeater-status,canonical-add,pt8 on-hold,wave-2,DEFER: Wave 2 Theme 2 focus-trick set,low,medium
down-family-canonicalization,canonical-structure,followup-2026-05 open; pt7 distinct-trick determination,wave-2,DEFER: Wave 2 Theme 6,low,medium
double-quantifier-default,operator-reference,Per-compound rulings supersede generalization; current pendingNote captures uncertainty,wave-2,DEFER: Wave 2 Theme 7,low,medium
cloud-stall-add,canonical-add,pt8 deferred,wave-1,DEFER: low priority; surface in Wave 2 if it remains open,low,low
glossary-archaic-confirmation,glossary-cross-ref,followup-2026-04 unanswered for archaic-term confirmations,wave-2,DEFER: Wave 2,low,low
