name,base,asserted_side,bucket,detail
Fairy Pickup (same side),fairy-pickup,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy near Pickup,fairy-pickup,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Reverse Guay,fairy-reverse-guay,same,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Fairy ss Reverse Swirl,fairy-reverse-swirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Reverse Whirl,fairy-reverse-whirl,same,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Fairy ss Swirl,fairy-swirl,same,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Fairy near Swirling near Swirl,fairy-swirling-swirl,same,A,"well-formed, redundant (qualifier already satisfied) (3 dex+catch; >=2 dexes)"
Fairy Symposium Mirage (same side),fairy-symposium-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Symposium Mirage,fairy-symposium-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Symposium Whirl,fairy-symposium-whirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy Torque (same side),fairy-torque,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Torque,fairy-torque,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy Same Side Whirl,fairy-whirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy Whirl (same side),fairy-whirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Whirl,fairy-whirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Miraging far Osis,miraging-osis,far,A,"well-formed, unique target (1 dex+catch; ambiguous slot)"
Nuclear ss Dyno,nuclear-dyno,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Nuclear ss Guay,nuclear-guay,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Nuclear Illusion (same side),nuclear-illusion,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Nuclear ss Illusion,nuclear-illusion,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Nuclear Legover (same side),nuclear-legover,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Nuclear ss Legover,nuclear-legover,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Nuclear Pickup (same side),nuclear-pickup,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Nuclear ss Pickup,nuclear-pickup,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Nuclear ss Whirl,nuclear-whirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Barrage,pixie-barrage,same,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Pixie ss Blender,pixie-blender,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie Opposite Clipper,pixie-clipper,far,A,"well-formed, unique target (1 dex+catch; ambiguous slot)"
Pixie Same Clipper,pixie-clipper,same,A,"well-formed, unique target (1 dex+catch; ambiguous slot)"
Pixie ss Clipper,pixie-clipper,same,A,"well-formed, unique target (1 dex+catch; ambiguous slot)"
Pixie Diving near Butterfly,pixie-diving-butterfly,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Double Over Down,pixie-double-over-down,same,A,"well-formed, redundant (qualifier already satisfied) (3 dex+catch; >=2 dexes)"
Pixie Double Pickup (ss),pixie-double-pickup,same,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Pixie Ducking far Mirage,pixie-ducking-mirage,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Dyno,pixie-dyno,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie far Eggbeater,pixie-eggbeater,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Pixie ss Flail,pixie-flail,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Guay,pixie-guay,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie Legover (same side),pixie-legover,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie far Legover,pixie-legover,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie near Legover,pixie-legover,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie Mirage (same side),pixie-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Mirage,pixie-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie Pickup (same side),pixie-pickup,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie far Pickup,pixie-pickup,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Pickup,pixie-pickup,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Reverse Guay,pixie-reverse-guay,same,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Pixie ss Reverse Swirl,pixie-reverse-swirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Reverse Whirl,pixie-reverse-whirl,same,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Pixie ss Swirl,pixie-swirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie Symposium Illusion (same side),pixie-symposium-illusion,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie Symposium Mirage (same side),pixie-symposium-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Symposium Mirage,pixie-symposium-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Symposium Reverse Whirl,pixie-symposium-reverse-whirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie Torque (same side),pixie-torque,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Torque,pixie-torque,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie Whirl (same side),pixie-whirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Pixie ss Whirl,pixie-whirl,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Quantum Butterfly (same side),quantum-butterfly,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Quantum far Butterfly,quantum-butterfly,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Quantum near Butterfly,quantum-butterfly,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Quantum far Mirage,quantum-mirage,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Quantum far Torque,quantum-torque,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Stepping far Blender,stepping-blender,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Stepping Far Butterfly,stepping-butterfly,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Stepping Far Butterfly Swirl,stepping-butterfly-swirl,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Stepping Diving ss Butterfly,stepping-diving-butterfly,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Stepping Ducking Butterfly (same side),stepping-ducking-butterfly,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Stepping Ducking Far Butterfly,stepping-ducking-butterfly,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Stepping Ducking Far Butterfly Swirl,stepping-ducking-butterfly-swirl,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Stepping Ducking Far Double Pickup,stepping-ducking-double-pickup,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Stepping Ducking far Drifter,stepping-ducking-drifter,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Stepping Far Dyno,stepping-dyno,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Stepping far Eggbeater,stepping-eggbeater,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Stepping far Illusion,stepping-illusion,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Stepping far Mirage,stepping-mirage,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Stepping Opposite Side Reverse Whirl,stepping-reverse-whirl,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Stepping far Swirl,stepping-swirl,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Surging Ducking far Blender,surging-ducking-blender,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Surging far Mirage,surging-mirage,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Surging far Whirl,surging-whirl,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Swirling ss Mirage,swirling-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Swirling near Swirl,swirling-swirl,same,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Whirling far Butterfly,whirling-butterfly,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Whirling far Mirage,whirling-mirage,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Whirling far Whirl,whirling-whirl,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Atomic Butterfly (same side),atomic-butterfly,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Atomic near Butterfly,atomic-butterfly,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Atomic Illusion (same side),atomic-illusion,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Atomic Pickup (same side),atomic-pickup,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Barraging Butterfly (same side),barraging-butterfly,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Barraging far Butterfly,barraging-butterfly,far,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Barraging near Butterfly,barraging-butterfly,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Butterfly Swirl (same side),butterfly-swirl,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Fairy far Butterfly,fairy-butterfly,far,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Fairy ss Eggbeater,fairy-eggbeater,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Pixie ss Eggbeater,pixie-eggbeater,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Pixie ss Symposium Eggbeater,pixie-symposium-eggbeater,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Pogo ss Pickup,pogo-pickup,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Quantum Illusion (same side),quantum-illusion,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Quantum Legover (same side),quantum-legover,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Quantum Mirage (same side),quantum-mirage,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Quantum Pickup (same side),quantum-pickup,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Sailing ss Butterfly,sailing-butterfly,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Sailing ss Legover,sailing-legover,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Sailing ss Mirage,sailing-mirage,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Sailing ss Pickup,sailing-pickup,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Shooting ss Clipper,shooting-clipper,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Shooting ss Illusion,shooting-illusion,same,B,"well-formed, 3 candidate targets (3 dex+catch; >=2 dexes)"
Shooting ss Legover,shooting-legover,same,B,"well-formed, 3 candidate targets (3 dex+catch; >=2 dexes)"
Shooting ss Mirage,shooting-mirage,same,B,"well-formed, 3 candidate targets (3 dex+catch; >=2 dexes)"
Shooting ss Pickup,shooting-pickup,same,B,"well-formed, 3 candidate targets (3 dex+catch; >=2 dexes)"
Spinning near Eggbeater,spinning-eggbeater,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping far Barrage,stepping-barrage,far,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Stepping Blender (same side),stepping-blender,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping Butterfly (same side),stepping-butterfly,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping near Butterfly,stepping-butterfly,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping near Butterfly Swirl,stepping-butterfly-swirl,same,B,"well-formed, 3 candidate targets (3 dex+catch; >=2 dexes)"
Stepping Eggbeater (same side),stepping-eggbeater,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Stepping Illusion (same side),stepping-illusion,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping Legover (same side),stepping-legover,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping near Legover,stepping-legover,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping Mirage (same side),stepping-mirage,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping Pickup (same side),stepping-pickup,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Stepping Opposite Reaper,stepping-reaper,far,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Toe near Flurry,toe-flurry,same,B,"well-formed, 2 candidate targets (3 dex+catch; >=2 dexes)"
Whirling ss Mirage,whirling-mirage,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Whirling ss Pickup,whirling-pickup,same,B,"well-formed, 2 candidate targets (2 dex+catch; >=2 dexes)"
Atomic ss Osis,atomic-osis,same,C,fixed relationship (1 dex+catch; all slots fixed)
Blender (same side),blender,same,C,fixed relationship (1 dex+catch; all slots fixed)
Far Clipper,clipper,far,C,fixed relationship (0 dex; all slots fixed)
Clipper Diving near Whirl,clipper-diving-whirl,same,C,fixed relationship (1 dex+catch; all slots fixed)
Clipper Ducking far Blender,clipper-ducking-blender,far,C,fixed relationship (1 dex+catch; all slots fixed)
Clipper Ducking far Drifter,clipper-ducking-drifter,far,C,fixed relationship (1 dex+catch; all slots fixed)
Clipper Ducking far Whirl,clipper-ducking-whirl,far,C,fixed relationship (1 dex+catch; all slots fixed)
Drifter (same-side),drifter,same,C,fixed relationship (1 dex+catch; all slots fixed)
Ducking Far Legover,ducking-legover,far,C,fixed relationship (1 dex+catch; all slots fixed)
Ducking Far Osis,ducking-osis,far,C,fixed relationship (0 dex+catch; ambiguous slot)
Ducking Far Pickup,ducking-pickup,far,C,fixed relationship (1 dex+catch; all slots fixed)
Ducking Far Symposium Reverse Whirl,ducking-symposium-reverse-whirl,far,C,fixed relationship (1 dex+catch; all slots fixed)
Dyno (far),dyno,far,C,fixed relationship (1 dex+catch; all slots fixed)
Dyno (same side),dyno,same,C,fixed relationship (1 dex+catch; all slots fixed)
Far Dyno,dyno,far,C,fixed relationship (1 dex+catch; all slots fixed)
Fairy ss Clipper,fairy-clipper,same,C,fixed relationship (1 dex+catch; all slots fixed)
Fairy ss Osis,fairy-osis,same,C,fixed relationship (1 dex+catch; all slots fixed)
Far Guay,guay,far,C,fixed relationship (1 dex+catch; all slots fixed)
Inspinning Same Side Butterfly,inspinning-butterfly,same,C,fixed relationship (1 dex+catch; all slots fixed)
Inspinning Same Side Illusion,inspinning-illusion,same,C,fixed relationship (1 dex+catch; all slots fixed)
Inspinning Same Side Mirage,inspinning-mirage,same,C,fixed relationship (1 dex+catch; all slots fixed)
Far Legover,legover,far,C,fixed relationship (1 dex+catch; all slots fixed)
Miraging far Clipper,miraging-clipper,far,C,fixed relationship (1 dex+catch; all slots fixed)
Far Osis,osis,far,C,fixed relationship (0 dex+catch; ambiguous slot)
Osis (far),osis,far,C,fixed relationship (0 dex+catch; ambiguous slot)
Osis (same side),osis,same,C,fixed relationship (0 dex+catch; ambiguous slot)
Far Pickup,pickup,far,C,fixed relationship (1 dex+catch; all slots fixed)
Pixie ss Osis,pixie-osis,same,C,fixed relationship (1 dex+catch; all slots fixed)
Spinning far Blender,spinning-blender,far,C,fixed relationship (1 dex+catch; all slots fixed)
Spinning far Drifter,spinning-drifter,far,C,fixed relationship (1 dex+catch; all slots fixed)
Spinning near Drifter,spinning-drifter,same,C,fixed relationship (1 dex+catch; all slots fixed)
Spinning Ducking far Blender,spinning-ducking-blender,far,C,fixed relationship (1 dex+catch; all slots fixed)
Spinning Ducking far Drifter,spinning-ducking-drifter,far,C,fixed relationship (1 dex+catch; all slots fixed)
Spinning Ducking far Whirl,spinning-ducking-whirl,far,C,fixed relationship (1 dex+catch; all slots fixed)
Stepping Clipper (same side),stepping-clipper,same,C,fixed relationship (1 dex+catch; all slots fixed)
Stepping far Clipper,stepping-clipper,far,C,fixed relationship (1 dex+catch; all slots fixed)
Stepping Osis (same side),stepping-osis,same,C,fixed relationship (1 dex+catch; all slots fixed)
Surging ss Osis,surging-osis,same,C,fixed relationship (1 dex+catch; all slots fixed)
Far Swirl,swirl,far,C,fixed relationship (1 dex+catch; all slots fixed)
Far Symposium Reverse Whirl,symposium-reverse-whirl,far,C,fixed relationship (1 dex+catch; all slots fixed)
Toe Spinning near Torque,toe-spinning-torque,same,C,fixed relationship (1 dex+catch; all slots fixed)
Torque (same side),torque,same,C,fixed relationship (1 dex+catch; all slots fixed)
Whirl (same side),whirl,same,C,fixed relationship (1 dex+catch; all slots fixed)
Atomic far DLO,atomic-dlo,far,D,base notation absent
Atomic far Double Down,atomic-double-down,far,D,base notation absent
Atomic Ducking far Double Down,atomic-ducking-double-down,far,D,base notation absent
Atomic Ducking far Mirage,atomic-ducking-mirage,far,D,base notation absent
Atomic Legover (same side),atomic-legover,same,D,base notation absent
Atomic far Mirage,atomic-mirage,far,D,base notation absent
Atomic near Mirage,atomic-mirage,same,D,base notation absent
Atomic far Symp. Double Down,atomic-symp-double-down,far,D,base notation absent
Atomic far Symp. Whirl,atomic-symp-whirl,far,D,base notation absent
Atomic far Whirl,atomic-whirl,far,D,base notation absent
Baragging far Symp. Mirage,baragging-symp-mirage,far,D,base notation absent
Barraging far DLO,barraging-dlo,far,D,base notation absent
Barraging ss Double Double Down,barraging-double-double-down,same,D,base notation absent
Barraging far Double Down,barraging-double-down,far,D,base notation absent
Barraging near Double Down,barraging-double-down,same,D,base notation absent
Barraging far Motion,barraging-motion,far,D,base notation absent
Bubba (Clipper ss Illusion),bubba-clipper-illusion,same,D,base notation absent
Bubba ss Mirage,bubba-mirage,same,D,base notation absent
Far Butterfly (Infinity),butterfly-infinity,far,D,base notation absent
Butterfly Symp. Twisting near Toe,butterfly-symp-twisting-toe,same,D,base notation absent
Butterfy near Osis,butterfy-osis,same,D,base notation absent
Clipper far Double Down,clipper-double-down,far,D,base notation absent
Clipper near Double Down,clipper-double-down,same,D,base notation absent
Clipper far (downtime) Miraging Symp. Mirage,clipper-downtime-miraging-symp-mirage,far,D,base notation absent
Clipper far DSO,clipper-dso,far,D,base notation absent
Clipper Ducking far Double Down,clipper-ducking-double-down,far,D,base notation absent
Clipper Ducking far Symp. Whirl,clipper-ducking-symp-whirl,far,D,base notation absent
Clipper far Grifter,clipper-grifter,far,D,base notation absent
Clipper set ss Double Over Down,clipper-set-double-over-down,same,D,base notation absent
Clipper set ss Symposium Double Over Down,clipper-set-symposium-double-over-down,same,D,base notation absent
Clipper far Symp. Double Down,clipper-symp-double-down,far,D,base notation absent
Clipper near Symp. Double Down,clipper-symp-double-down,same,D,base notation absent
Clipper far Symp Whirl,clipper-symp-whirl,far,D,base notation absent
Clipper far triple-dex Butterfly,clipper-triple-dex-butterfly,far,D,base notation absent
Far Crossbody Rake,crossbody-rake,far,D,base notation absent
Dimwalk (Pixie Opposite Side Butterfly),dimwalk-pixie-butterfly,far,D,base notation absent
double-dex Drifter/(midtime) Barraging far Clipper,double-dex-drifter-midtime-barraging-clipper,far,D,base notation absent
Double Down near Osis,double-down-osis,same,D,base notation absent
Far Double Pickup (Reverse Reaper),double-pickup-reverse-reaper,far,D,base notation absent
Double Switchover (far),double-switchover,far,D,base notation absent
Far Double Switchover,double-switchover,far,D,base notation absent
Far Double Switchover (Reaper),double-switchover-reaper,far,D,base notation absent
Dragon set Stepping op Firewalk,dragon-set-stepping-firewalk,far,D,base notation absent
Fairy ss Butterfly (Park Avenue),fairy-butterfly-park-avenue,same,D,base notation absent
Fairy DLO (ss),fairy-dlo,same,D,base notation absent
Fairy ss DLO (Glaucoma),fairy-dlo-glaucoma,same,D,base notation absent
Fairy ss Double Legover,fairy-double-legover,same,D,base notation absent
Fairy ss Drifter (Casket),fairy-drifter-casket,same,D,base notation absent
Fairy ss Eggbeater (Flaming Homer),fairy-eggbeater-flaming-homer,same,D,base notation absent
Fairy Legover / Toe ss Eggbeater,fairy-legover-toe-eggbeater,same,D,base notation absent
Fairy ss Pickup (Nallegam),fairy-pickup-nallegam,same,D,base notation absent
Fairy Spinning near Barraging far Buterfly,fairy-spinning-barraging-buterfly,same,D,base notation absent
Fairy ss Torque (Muerto),fairy-torque-muerto,same,D,base notation absent
Fairy ss XBD Rake (Swish),fairy-xbd-rake-swish,same,D,base notation absent
Flailing far Butterfly,flailing-butterfly,far,D,base notation absent
Flailing far Symp. Mirage,flailing-symp-mirage,far,D,base notation absent
Flailing ss Symposium Double Legover,flailing-symposium-double-legover,same,D,base notation absent
Flailing ss Symposium Double Over Down,flailing-symposium-double-over-down,same,D,base notation absent
Flailing ss Symposium Eggbeater,flailing-symposium-eggbeater,same,D,base notation absent
Flailing ss Symposium Mirage,flailing-symposium-mirage,same,D,base notation absent
Flailing ss Symposium Mirage (Stampede),flailing-symposium-mirage-stampede,same,D,base notation absent
Flailing ss Symposium Reverse Whirl (Gromitron),flailing-symposium-reverse-whirl-gromitron,same,D,base notation absent
Flailing ss Symposium Whirl,flailing-symposium-whirl,same,D,base notation absent
Frantic op Butterfly,frantic-butterfly,far,D,base notation absent
Frantic ss Butterfly,frantic-butterfly,same,D,base notation absent
Frantic far Double Down Swirl,frantic-double-down-swirl,far,D,base notation absent
Frantic ss Illusion,frantic-illusion,same,D,base notation absent
Frantic ss Mirage,frantic-mirage,same,D,base notation absent
Fusing ss Illusion,fusing-illusion,same,D,base notation absent
Fusing ss Mirage,fusing-mirage,same,D,base notation absent
Grifter (same side),grifter,same,D,base notation absent
Illusioning far Clipper,illusioning-clipper,far,D,base notation absent
Illusioning far Osis,illusioning-osis,far,D,base notation absent
Illusioning far Symp. Butterfly,illusioning-symp-butterfly,far,D,base notation absent
Jolimont ss Mirage,jolimont-mirage,same,D,base notation absent
Leaning ss Mirage,leaning-mirage,same,D,base notation absent
Magellan (Pixie Same Legover),magellan-pixie-legover,same,D,base notation absent
Magellan (Pixie ss Legover),magellan-pixie-legover,same,D,base notation absent
Midtime Toe near Illusion,midtime-toe-illusion,same,D,base notation absent
Midtime Toe near Mirage,midtime-toe-mirage,same,D,base notation absent
Miraging far Legover,miraging-legover,far,D,base notation absent
Miraging Pincher (Stepping op Squeeze),miraging-pincher-stepping-squeeze,far,D,base notation absent
Miraging far Symp. Butterfly,miraging-symp-butterfly,far,D,base notation absent
Miraging far Symp. Double Down,miraging-symp-double-down,far,D,base notation absent
Miraging far Symp. Whirl,miraging-symp-whirl,far,D,base notation absent
Nuclear far Butterfly,nuclear-butterfly,far,D,base notation absent
Nuclear near Butterfly,nuclear-butterfly,same,D,base notation absent
Nuclear ss Butterfly,nuclear-butterfly,same,D,base notation absent
Nuclear ss Butterfly (Barfry),nuclear-butterfly-barfry,same,D,base notation absent
Nuclear far Double Down,nuclear-double-down,far,D,base notation absent
Nuclear ss Dyno (Godzilla),nuclear-dyno-godzilla,same,D,base notation absent
Nuclear Mirage (same side),nuclear-mirage,same,D,base notation absent
Nuclear far Mirage,nuclear-mirage,far,D,base notation absent
Nuclear ss Mirage,nuclear-mirage,same,D,base notation absent
Nuclear ss Reverse Guay,nuclear-reverse-guay,same,D,base notation absent
Nuclear ss Reverse Whirl,nuclear-reverse-whirl,same,D,base notation absent
