set_slug,set_name,lane,rationale
inside_quantum,Inside Quantum,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears. Compound-set pattern kept opaque: no decode into modifier rules; the raw label and staged notes are the record."
levitating,Levitating,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
neo,Neo,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
hyper,Hyper,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
popping,Popping,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
rooted_atomic,Rooted Atomic,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears. Compound-set pattern kept opaque: no decode into modifier rules; the raw label and staged notes are the record."
rooted_fairy,Rooted Fairy,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears. Compound-set pattern kept opaque: no decode into modifier rules; the raw label and staged notes are the record."
rooted_quantum,Rooted Quantum,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears. Compound-set pattern kept opaque: no decode into modifier rules; the raw label and staged notes are the record."
symp_frantic,Symp Frantic,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears. Compound-set pattern kept opaque: no decode into modifier rules; the raw label and staged notes are the record."
symp_furious,Symp Furious,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears. Compound-set pattern kept opaque: no decode into modifier rules; the raw label and staged notes are the record."
tasing,Tasing,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
wontomic,Wontomic,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
hopping,Hopping,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
rifling,Rifling,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
shattering,Shattering,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
sliding,Sliding,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
airing,Airing,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
radiative,Radiative,passback_only_sourced,"No attestation outside PassBack; sourced-only label, no doctrine review unless external evidence appears."
