name,slug,resolved_operator,folk_equiv,recommended_action
Nuclear Symposium DLO (Oh Wheely),nuclear-symposium-dlo-oh-wheely,nuclear,Oh Wheely,Alias-wire to oh-wheely (folk canonical active) + remove doctrine flag
Nuclear Torque,nuclear-torque,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear far Butterfly,nuclear-far-butterfly,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear far Mirage,nuclear-far-mirage,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear near Butterfly,nuclear-near-butterfly,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Butterfly,nuclear-ss-butterfly,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Butterfly (Barfry),nuclear-ss-butterfly-barfry,nuclear,Barfry,"Re-triage to Authoring; verify folk ""Barfry"" (slug barfry) not yet canonical"
Nuclear ss Dyno,nuclear-ss-dyno,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Dyno (Godzilla),nuclear-ss-dyno-godzilla,nuclear,Godzilla,"Re-triage to Authoring; verify folk ""Godzilla"" (slug godzilla) not yet canonical"
Nuclear ss Guay,nuclear-ss-guay,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Illusion,nuclear-ss-illusion,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Legover,nuclear-ss-legover,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Mirage,nuclear-ss-mirage,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Pickup,nuclear-ss-pickup,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Reverse Guay,nuclear-ss-reverse-guay,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Reverse Whirl,nuclear-ss-reverse-whirl,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Whirl,nuclear-ss-whirl,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear ss Whirl (Hurl),nuclear-ss-whirl-hurl,nuclear,Hurl,"Re-triage to Authoring; verify folk ""Hurl"" (slug hurl) not yet canonical"
Quantum Guay,quantum-guay,quantum,,Re-triage to Authoring-ready (quantum doctrine resolved)
Quantum Reverse Guay,quantum-reverse-guay,quantum,,Re-triage to Authoring-ready (quantum doctrine resolved)
Symposium Furious Legover,symposium-furious-legover,symposium,,Re-triage to Authoring-ready (symposium doctrine resolved)
