layer,launch_surface,dex,movement_steps,scored_events,terminal_surface,add,symbolic_formula,structural_family,classification,name,notes
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],SAME shoulder,2,TOE > SAME IN [DEX] > SAME SHOULDER [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],OP shoulder,2,TOE > SAME IN [DEX] > OP SHOULDER [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],SAME shoulder,2,TOE > SAME OUT [DEX] > SAME SHOULDER [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],OP shoulder,2,TOE > SAME OUT [DEX] > OP SHOULDER [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],SAME shoulder,2,TOE > OP IN [DEX] > SAME SHOULDER [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],OP shoulder,2,TOE > OP IN [DEX] > OP SHOULDER [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],SAME shoulder,2,TOE > OP OUT [DEX] > SAME SHOULDER [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],OP shoulder,2,TOE > OP OUT [DEX] > OP SHOULDER [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],head,2,TOE > SAME IN [DEX] > HEAD [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],head,2,TOE > SAME IN [DEX] > HEAD [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],head,2,TOE > SAME OUT [DEX] > HEAD [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],head,2,TOE > SAME OUT [DEX] > HEAD [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],head,2,TOE > OP IN [DEX] > HEAD [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],head,2,TOE > OP IN [DEX] > HEAD [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],head,2,TOE > OP OUT [DEX] > HEAD [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],head,2,TOE > OP OUT [DEX] > HEAD [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],forehead,2,TOE > SAME IN [DEX] > FOREHEAD [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],forehead,2,TOE > SAME IN [DEX] > FOREHEAD [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],forehead,2,TOE > SAME OUT [DEX] > FOREHEAD [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],forehead,2,TOE > SAME OUT [DEX] > FOREHEAD [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],forehead,2,TOE > OP IN [DEX] > FOREHEAD [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],forehead,2,TOE > OP IN [DEX] > FOREHEAD [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],forehead,2,TOE > OP OUT [DEX] > FOREHEAD [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],forehead,2,TOE > OP OUT [DEX] > FOREHEAD [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],neck,2,TOE > SAME IN [DEX] > NECK [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],neck,2,TOE > SAME IN [DEX] > NECK [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],neck,2,TOE > SAME OUT [DEX] > NECK [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],neck,2,TOE > SAME OUT [DEX] > NECK [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],neck,2,TOE > OP IN [DEX] > NECK [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],neck,2,TOE > OP IN [DEX] > NECK [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],neck,2,TOE > OP OUT [DEX] > NECK [DEL],toe-launch / plain-midline square,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],neck,2,TOE > OP OUT [DEX] > NECK [DEL],toe-launch / plain-midline square,grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],peak,2,TOE > SAME IN [DEX] > PEAK [DEL],toe-launch / plain-midline square,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],peak,2,TOE > SAME IN [DEX] > PEAK [DEL],toe-launch / plain-midline square,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],peak,2,TOE > SAME OUT [DEX] > PEAK [DEL],toe-launch / plain-midline square,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],peak,2,TOE > SAME OUT [DEX] > PEAK [DEL],toe-launch / plain-midline square,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],peak,2,TOE > OP IN [DEX] > PEAK [DEL],toe-launch / plain-midline square,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],peak,2,TOE > OP IN [DEX] > PEAK [DEL],toe-launch / plain-midline square,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],peak,2,TOE > OP OUT [DEX] > PEAK [DEL],toe-launch / plain-midline square,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],peak,2,TOE > OP OUT [DEX] > PEAK [DEL],toe-launch / plain-midline square,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [XBD][DEL],SAME clipper,3,TOE > SAME IN [DEX] > SAME CLIPPER [XBD] [DEL],toe-launch / cross-body lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [XBD][DEL],OP clipper,3,TOE > SAME IN [DEX] > OP CLIPPER [XBD] [DEL],toe-launch / cross-body lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [XBD][DEL],SAME clipper,3,TOE > SAME OUT [DEX] > SAME CLIPPER [XBD] [DEL],toe-launch / cross-body lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [XBD][DEL],OP clipper,3,TOE > SAME OUT [DEX] > OP CLIPPER [XBD] [DEL],toe-launch / cross-body lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [XBD][DEL],SAME clipper,3,TOE > OP IN [DEX] > SAME CLIPPER [XBD] [DEL],toe-launch / cross-body lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [XBD][DEL],OP clipper,3,TOE > OP IN [DEX] > OP CLIPPER [XBD] [DEL],toe-launch / cross-body lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [XBD][DEL],SAME clipper,3,TOE > OP OUT [DEX] > SAME CLIPPER [XBD] [DEL],toe-launch / cross-body lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [XBD][DEL],OP clipper,3,TOE > OP OUT [DEX] > OP CLIPPER [XBD] [DEL],toe-launch / cross-body lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [UNS][DEL],SAME heel,3,TOE > SAME IN [DEX] > SAME HEEL [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [UNS][DEL],OP heel,3,TOE > SAME IN [DEX] > OP HEEL [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [UNS][DEL],SAME heel,3,TOE > SAME OUT [DEX] > SAME HEEL [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [UNS][DEL],OP heel,3,TOE > SAME OUT [DEX] > OP HEEL [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [UNS][DEL],SAME heel,3,TOE > OP IN [DEX] > SAME HEEL [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [UNS][DEL],OP heel,3,TOE > OP IN [DEX] > OP HEEL [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [UNS][DEL],SAME heel,3,TOE > OP OUT [DEX] > SAME HEEL [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [UNS][DEL],OP heel,3,TOE > OP OUT [DEX] > OP HEEL [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [UNS][DEL],SAME sole,3,TOE > SAME IN [DEX] > SAME SOLE [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [UNS][DEL],OP sole,3,TOE > SAME IN [DEX] > OP SOLE [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [UNS][DEL],SAME sole,3,TOE > SAME OUT [DEX] > SAME SOLE [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [UNS][DEL],OP sole,3,TOE > SAME OUT [DEX] > OP SOLE [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [UNS][DEL],SAME sole,3,TOE > OP IN [DEX] > SAME SOLE [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [UNS][DEL],OP sole,3,TOE > OP IN [DEX] > OP SOLE [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [UNS][DEL],SAME sole,3,TOE > OP OUT [DEX] > SAME SOLE [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [UNS][DEL],OP sole,3,TOE > OP OUT [DEX] > OP SOLE [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [UNS][DEL],cloud,3,TOE > SAME IN [DEX] > CLOUD [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [UNS][DEL],cloud,3,TOE > SAME IN [DEX] > CLOUD [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [UNS][DEL],cloud,3,TOE > SAME OUT [DEX] > CLOUD [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [UNS][DEL],cloud,3,TOE > SAME OUT [DEX] > CLOUD [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [UNS][DEL],cloud,3,TOE > OP IN [DEX] > CLOUD [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [UNS][DEL],cloud,3,TOE > OP IN [DEX] > CLOUD [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [UNS][DEL],cloud,3,TOE > OP OUT [DEX] > CLOUD [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [UNS][DEL],cloud,3,TOE > OP OUT [DEX] > CLOUD [UNS] [DEL],toe-launch / unusual-surface lifted cube (grade 3),grammar-blocked,,midline landing: terminal-side axis dead (duplicate vertex)
