token,layer,role,short_label,plain_english,weight,example_in_context,glossary_anchor_id
FURIOUS,semantic,set,Furious (set modifier; +1/+2 rot),"Set modifier adding +1 non-rotational / +2 on rotational base. Parallel to Atomic.",+1/+2,FURIOUS PARADOX MIRAGE = fury = 5,notation-set-furious
POGO,semantic,set,Pogo (set modifier; 0 ADD),"Set modifier that does NOT contribute ADD per Red pt6.",0,POGO MIRAGE,notation-set-pogo
SHOOTING,semantic,set,Shooting (set modifier; +3),"Set modifier adding +3 ADD per Red pt7/pt9.",+3,SHOOTING BUTTERFLY = 6,notation-set-shooting
ROOTED,semantic,set,Rooted (set modifier; 0 ADD),"Set modifier with 0 ADD per Red pt8. Held position; no plant.",0,ROOTED MIRAGE,notation-set-rooted
XDEX,semantic,modifier,X-Dex (component flag; +1),"Adds +1 to specific construction tricks (Atom Smasher per pt1). Narrow scope; not a broad modifier.",+1,(see atom-smasher),notation-modifier-xdex
CLIPPER,semantic,delay_surface,Clipper (delay surface),"Inside cross-body delay surface; one of the foundational stalls.",,CLIPPER STALL,notation-surface-clipper
TOE,semantic,delay_surface,Toe (delay surface),"Toe delay surface (top of foot).",,TOE STALL,notation-surface-toe
HEEL,semantic,delay_surface,Heel (delay surface),"Heel delay surface.",,HEEL STALL,notation-surface-heel
INSIDE,semantic,delay_surface,Inside (delay surface),"Inside-of-foot delay surface.",,INSIDE STALL,notation-surface-inside
OUTSIDE,semantic,delay_surface,Outside (delay surface),"Outside-of-foot delay surface.",,OUTSIDE STALL,notation-surface-outside
SOLE,semantic,unusual_surface,Sole (unusual surface),"Sole-of-foot delay surface (non-standard).",,SOLE STALL,notation-surface-sole
KNEE,semantic,unusual_surface,Knee (unusual surface),"Knee delay surface.",,KNEE STALL,notation-surface-knee
HEAD,semantic,unusual_surface,Head (unusual surface),"Head delay surface.",,HEAD STALL,notation-surface-head
CLOUD,semantic,unusual_surface,Cloud (unusual surface),"Cloud delay surface (back of shin).",,CLOUD KICK,notation-surface-cloud
REV,semantic,directionality,Rev (direction prefix),"Reverse-direction prefix. Community-canonical abbreviation per NOTATION_STYLE_GUIDE §3.10.",,REV WHIRL,notation-direction-rev
REVERSE,semantic,directionality,Reverse (direction prefix),"Reverse-direction prefix; same meaning as REV.",,REVERSE WHIRL,notation-direction-reverse
SAME,semantic,footedness,Same (footedness; semantic context),"Same-foot indicator in semantic notation. Used in productive-multiplicity context per pt8.",,(rare in semantic),notation-footedness-same
OP,semantic,footedness,Opposite (footedness; semantic context),"Opposite-foot indicator in semantic notation.",,(rare in semantic),notation-footedness-op
IN,semantic,footedness,In (direction; semantic context),"Inward-arc indicator in semantic notation.",,(rare in semantic),notation-footedness-in
OUT,semantic,footedness,Out (direction; semantic context),"Outward-arc indicator in semantic notation.",,(rare in semantic),notation-footedness-out
DOUBLE,semantic,multiplicity,Double (productive-multiplicity prefix),"Multiplicity prefix per pt8: stabilized examples only (double-leg-over).",,DOUBLE LEGOVER,notation-multiplicity-double
TRIPLE,semantic,multiplicity,Triple (productive-multiplicity prefix),"Multiplicity prefix per pt8: usually rejected as canonical unless community-stabilized.",,TRIPLE ATW,notation-multiplicity-triple
CLIP,operational,surface,Clipper (set position),"Set position: clipper-stall surface used to start the trick.",,CLIP > ...,operational-notation-clip
TOE,operational,surface,Toe (set position),"Set position: toe-stall surface used to start the trick.",,TOE > ...,operational-notation-toe
SAME,operational,side,Same side,"Step on same side as the plant foot.",,SAME IN [DEX],operational-notation-side-same
OP,operational,side,Opposite side,"Step on opposite side from the plant foot.",,OP OUT [DEX],operational-notation-side-op
IN,operational,direction,In (inward arc),"Inward arc direction (toward the body).",,SAME IN [DEX],operational-notation-direction-in
OUT,operational,direction,Out (outward arc),"Outward arc direction (away from the body).",,OP OUT [DEX],operational-notation-direction-out
FRONT,operational,direction,Front (forward direction),"Forward direction. Fuses with WHIRL/SWIRL into a 2-token rotation variant.",,FRONT WHIRL,operational-notation-direction-front
BACK,operational,direction,Back (backward direction),"Backward direction. Fuses with WHIRL/SWIRL into a 2-token rotation variant.",,BACK WHIRL,operational-notation-direction-back
SPIN,operational,body_action,Spin (body rotation),"Body spin (rotation in place).",,(BACK) SPIN [BOD],operational-notation-body-spin
DUCK,operational,body_action,Duck (body action),"Duck body action.",,DUCK [BOD],operational-notation-body-duck
DIVE,operational,body_action,Dive (body action),"Dive body action (forward-downward).",,DIVE [BOD],operational-notation-body-dive
[DEX],operational,component_flag,DEX (dexterity component),"A controlled-flick step contributing 1 to ADD. Foundational trick component.",ADD-bearing,SAME IN [DEX],operational-notation-flag-dex
[DEL],operational,component_flag,DEL (delay component),"The trick's final stall (landing). One [DEL] per trick.",ADD-bearing,OP TOE [DEL],operational-notation-flag-del
[BOD],operational,component_flag,BOD (body component),"Body-position step (pose / spin / duck / dive). No bag-foot interaction.",,(BACK) SPIN [BOD],operational-notation-flag-bod
[XBD],operational,component_flag,XBD (cross-body component),"Cross-body delay on the opposite-side surface.",,OP CLIP [XBD] [DEL],operational-notation-flag-xbd
[PDX],operational,component_flag,PDX (paradox component),"Paradox-direction dex marker on the step.",,OP IN [DEX] [PDX],operational-notation-flag-pdx
[XDEX],operational,component_flag,XDEX (X-Dex component),"Full-circle dex variant (Atom Smasher per pt1).",ADD-bearing,(see atom-smasher),operational-notation-flag-xdex
>,operational,sequence_op,Sequence step (>),"Next step in the trick sequence.",,A > B,operational-notation-sequence
>>,operational,sequence_op,Sequence step major (>>),"Major sequence boundary; often separates the set-source from the trick body.",,CLIP >> SPIN,operational-notation-sequence
(back),operational,pre_state,Pre-state: (back),"Backward direction (next move oriented backward).",,(back) Spin (BOD),operational-notation-prestate-back
(front),operational,pre_state,Pre-state: (front),"Forward direction (next move oriented forward).",,(front) Whirl,operational-notation-prestate-front
(no plant while),operational,pre_state,"Pre-state: (no plant while)","No support-leg plant during this segment.",,(no plant while) OP IN,operational-notation-prestate-no-plant
(rooted),operational,pre_state,Pre-state: (rooted),"Rooted / held position; no plant. Per Red pt8.",,(rooted) ...,operational-notation-prestate-rooted
