trick_name,source,proposed_formula,formula_status,add_status,topology_status,blocker_type,blocker_description,recommended_next_step,wave2_dependency,safe_to_publish_observationally,coverage_tier,notes
Catacomb,footbagmoves,pixie drifter,exact_formula,stable,branch_family_implicit,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Dada Curve,footbagmoves,miraging far symposium butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Dellusion,footbagmoves,double illusion,exact_formula,stable,unknown,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Dimwalk,footbagmoves,pixie butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Diving Butterfly,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Diving Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Double Over Down,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Double Spinning Clipper,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Double Spinning Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Down Double Down,footbagmoves,Clipper set ss Double Over Down,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: clipper,set,over",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Dragonstein,footbagmoves,Double Swirl Dragon,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dragon,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Ducking Butterfly,footbagmoves,ducking butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Ducking Osis,footbagmoves,ducking osis,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Ducking Pdx Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Ducking Pdx Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Dyno (far),footbagmoves,Reverse Blender,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Dyno (same side),footbagmoves,Reverse Blender,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Enterrage,footbagmoves,Terraging Legover,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Fairy Beater,footbagmoves,Fairy Butterfly,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Fairy Ducking Legover,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Ducking Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Eggbeater,footbagmoves,,no_formula_available,external_only,unknown,no_structural_reading,external source supplies no parseable structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external lacks structural decomposition
Fairy ss Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Symposium Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Symposium Mirage,footbagmoves,Fairy Flail,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Fairy Symposium Mirage (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Symposium Mirage (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Whirl (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Far Dyno,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Feral,footbagmoves,Fairy Whirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Ferocious,footbagmoves,Fairy Osis,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Flaming Homer,footbagmoves,Fairy ss Eggbeater,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Flaming Tard,footbagmoves,Stepping Eggbeater,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Flipwalk,footbagmoves,Dragon set Stepping op Firewalk,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: dragon,set,firewalk",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Flog,footbagmoves,Fairy Double Legover,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Flurry,footbagmoves,barraging legover,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Flurry (toe set),footbagmoves,barraging legover,exact_formula,stable,unknown,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Flux,footbagmoves,Reverse Torque,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Freak,footbagmoves,Fairy Crossbody Rake,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Fume,footbagmoves,Fairy Drifter,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Furnace,footbagmoves,Hopover Swirl Dragon,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: hopover,dragon",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Glaucoma,footbagmoves,Fairy ss Double Legover,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Guillotine,footbagmoves,Fairy Ducking Mirage,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Gyro Butterfly,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Gyro DLO,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Gyro Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Gyro Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Hatchet,footbagmoves,Diving Whirl,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Haze,footbagmoves,Stepping Double Legover,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
High Plains Drifter,footbagmoves,Double Drifter,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Hurl,footbagmoves,Nuclear ss Whirl,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Inspinning Butterfly,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Johny Quest,footbagmoves,Neutron Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: neutron,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Leaning Jowler,footbagmoves,Leaning ss Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: leaning,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Legbeater,footbagmoves,atomic butterfly,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Legfreezer,footbagmoves,Frozen Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: frozen,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Little Apple,footbagmoves,Spyro Symposium Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: spyro,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Mantis,footbagmoves,Gyro Eggbeater,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Maverick,footbagmoves,Pixie ss Osis,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
MXZYPTLK,footbagmoves,Bubba Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: bubba,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Neutron Smasher,footbagmoves,Neutron Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: neutron,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Nova,footbagmoves,Symposium Double Legover,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Nuclear Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Nuclear Illusion (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Nuclear Legover,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Nuclear Legover (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Nuclear Mirage,footbagmoves,nuclear mirage,exact_formula,divergent,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Nuclear Mirage (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Nuclear Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Nuclear Pickup (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Omelette,footbagmoves,atomic illusion,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Osmosis,footbagmoves,Slapping Osis,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: slapping,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Paradon,footbagmoves,Toe set os Double Over Down,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Park Avenue,footbagmoves,Fairy ss Butterfly,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Parkwalk,footbagmoves,pixie butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Pdx DLO,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pdx Drifter,footbagmoves,paradox drifter | paradox miraging clipper,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Pdx Whirl,footbagmoves,paradox whirl,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Phase,footbagmoves,Phasing ss Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: phasing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Pigbeater,footbagmoves,pixie eggbeater,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Pixie Drifter (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Ducking Legover,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Ducking Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Ducking Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Eggbeater,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Symposium Illusion,footbagmoves,Pixie Flail,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flail,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Pixie Symposium Illusion (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Symposium Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Symposium Mirage (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Double Switchover (far),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Dragster,footbagmoves,Miraging Dragon,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dragon,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Drifter,footbagmoves,miraging clipper,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Drifter (same-side),footbagmoves,miraging clipper,exact_formula,stable,unknown,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Ducking Clipper,footbagmoves,,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Ducking Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Ducking Legover,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Ducking Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Ducking Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Eggbeater,footbagmoves,atomic legover,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Eggplant,footbagmoves,atomic legover,exact_formula,stable,unknown,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Fairy Illusion (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Legover,footbagmoves,,no_formula_available,external_only,unknown,no_structural_reading,external source supplies no parseable structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external lacks structural decomposition
Fairy Legover (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Mirage (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fairy Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Far Reverse Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Fear,footbagmoves,Fairy Mirage,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Firefly,footbagmoves,Butterfly Dragon,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dragon,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Flail,footbagmoves,symposium illusion,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Flapper,footbagmoves,,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Fudge,footbagmoves,Fairy Illusion,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
